dbn,q1_1,q13_c8_r3,q12_c1_r4,q15_c8_r4,q17_c1_r4,q15_c9_r1,q13_c12_r2,q17_c4_r2,q13_c1_r4,q14_c10_r3,q20_r2_c1,q13_c1_r3,q9_2,q17_c11_r3,q11_r3_c1,q20_r2_c4,q15_c4_r1,q21_r7_c4,q13_c11_r1,q14_c8_r1,q9_11,q15_c6_r2,q16_c2_r2,q14_c8_r4,q14_c12_r3,q14_c7_r3,q9_7,q15_c7_r3,q21_r3_c1,q13_c5_r3,q9_6,q13_c11_r3,q9_13,q17_c6_r4,q16_c12_r2,q20_r5_c3,q14_c9_r2,q14_c9_r1,q13_c13_r3,q11_r2_c1,q16_c12_r1,q16_c12_r3,q21_r3_c4,q20_r3_c2,q16_c10_r2,q13_c3_r2,q14_c11_r3,q21_r5_c4,q13_c9_r2,q14_c1_r2,q8_r2_c1,q16_c11_r4,q16_c13_r3,q15_c3_r4,q14_c12_r4,q14_c10_r2,q17_c13_r2,q20_r4_c4,q15_c11_r2,q6_4,q17_c8_r3,q14_c13_r4,q9_12,q13_c13_r2,q9_5,q17_c3_r1,q16_c14_r3,q21_r4_c2,q11_r2_c3,q3_2,q13_c10_r4,q13_c8_r2,q13_c10_r1,q16_c15_r2,q15_c10_r1,q13_c10_r2,q13_c8_r1,q17_c3_r3,q20_r4_c3,q16_c9_r1,q14_c11_r4,q16_c13_r1,q15_c12_r2,q16_c14_r1,q15_c5_r2,q15_c12_r1,q20_r5_c4,q13_c12_r4,q16_c6_r3,q13_c11_r2,q9_17,q21_r3_c2,q15_c5_r1,q14_c4_r1,q16_c6_r2,q11_r1_c4,q15_c1_r3
06M189,Yvonne,,0,,0.0,,,0.0,8.0,,0,0.0,1,,0,0,0.0,0,,,1,0.0,0.0,,,,1,,0,0.0,1,,0,0.0,,0,,,,1,,,0,0,,52.0,,0,,0.0,1.0,,,50.0,,,,0,,0.0,,,1,,0,20.0,,0,0,0,,,,,,,,0.0,0,,,,,,0.0,,0,,0.0,,1,0,0.0,0.0,52.0,0,0.0
12X129,Agnes Joy,,,,,,,,,,0,,1,,0,0,,0,,,1,,,,,,1,,0,,1,,1,,,0,,,,0,,,0,0,,,,0,,,1.0,,,,,,,0,,0.0,,,0,,0,,,0,0,1,,,,,,,,,0,,,,,,,,0,,,,1,0,,,,0,
03M505,Jeremy,,,,,,,,,,0,,1,,0,0,,0,,,1,,,,,,0,,0,,0,,0,,,0,,,,0,,,0,0,,,,0,,,1.0,,,,,,,0,,0.0,,,0,,0,,,0,0,1,,,,,,,,,0,,,,,,,,0,,,,1,0,,,,0,
02M116,Jane,,14,,14.0,,,,14.0,,0,0.0,0,,1,0,,0,,,1,,3.0,,,,1,,0,,1,,0,,,0,,,,1,,,0,0,,0.0,,0,,0.0,1.0,,,14.0,,,,0,,0.0,,,0,,0,20.0,,0,0,1,,,,,,,,0.0,0,,,,,,,,0,,,,1,0,,,,1,0.0
02M411,Gisele,,,,,,,,,,0,,1,,0,0,,0,,,1,,,,,,1,,0,,1,,0,,,0,,,,0,,,0,0,,,,0,,,0.0,,,,,,,0,,1.0,,,1,,1,,,0,0,1,,,,,,,,,0,,,,,,,,0,,,,1,0,,,,0,
08X182,Mary,,36,,36.0,,,0.0,36.0,,0,5.0,1,,0,0,0.0,0,,,1,,0.0,,,,0,,0,,0,,0,,,0,,,,0,,,0,0,,10.0,,0,,10.0,0.0,,,36.0,,,,0,,0.0,,,1,,0,0.0,,0,0,1,,,,,,,,5.0,0,,,,,,,,0,,,,1,0,,,,0,5.0
17K249,Yaffa,,0,,12.0,,,10.0,0.0,,0,0.0,1,,1,0,0.0,0,,,1,,10.0,,,,0,,0,0.0,1,,0,,,0,,,,1,,,0,0,,0.0,,0,,0.0,1.0,,,0.0,,,,0,,0.0,,,1,,1,0.0,,0,0,1,,,,,,,,0.0,0,,,,,,10.0,,0,,,,1,0,0.0,15.0,,0,0.0
18K576,,,,,,,,,,,0,,1,,0,0,,0,,,1,,,,,,0,,0,,0,,1,,,0,,,,0,,,0,0,,,,0,,,,,,,,,,0,,0.0,,,0,,0,,,0,0,0,,,,,,,,,0,,,,,,,,0,,,,0,0,,,,0,
12X286,Abbey,,,,,,,,,,0,,0,,0,0,,0,,,1,,,,,,1,,0,,1,,0,,,0,,,,0,,,0,0,,,,0,,,0.0,,,,,,,0,,0.0,,,0,,1,,,0,0,1,,,,,,,,,0,,,,,,,,0,,,,0,0,,,,0,
06M467,Alexandra,,,,,,,,,,0,,1,,0,0,,0,,,1,,,,,,0,,0,,0,,0,,,0,,,,0,,,0,0,,,,0,,,0.0,,,,,,,0,,0.0,,,0,,0,,,0,0,1,,,,,,,,,0,,,,,,,,0,,,,0,0,,,,0,
28Q175,Lynn,,240,,120.0,,,160.0,120.0,,0,0.0,0,,0,0,0.0,0,,,1,,120.0,,,,0,,0,0.0,0,,1,,,0,,,,0,,,0,0,,120.0,,0,,120.0,1.0,,,120.0,,,,0,,1.0,,,0,,0,60.0,,0,1,1,,,,,,,,0.0,0,,,,,,120.0,,0,,,,1,0,0.0,0.0,,0,0.0
20K229,Marie,,4,,0.0,,,0.0,0.0,,0,0.0,0,,0,0,0.0,0,,,1,0.0,0.0,,,0.0,0,,0,0.0,1,,0,,,0,,,,1,,,0,0,,0.0,,0,,0.0,2.0,,,0.0,,,,0,,0.0,,,1,,1,14.0,,0,1,1,,,,,,,,0.0,0,,,,,,0.0,,0,,,,1,0,0.0,0.0,,0,0.0
12X318,Suleika,,,,,,,,,,0,,1,,0,0,,0,,,1,,,,,,1,,0,,1,,0,,,0,,,,0,,,0,0,,,,0,,,1.0,,,,,,,0,,0.0,,,1,,0,,,0,0,1,,,,,,,,,0,,,,,,,,0,,,,1,0,,,,0,
10X228,Yizenia,,,,,,,,,,0,,1,,0,0,,0,,,1,,,,,,0,,0,,1,,0,,,0,,,,0,,,0,0,,,,0,,,,,,,,,,0,,0.0,,,0,,1,,,0,0,1,,,,,,,,,0,,,,,,,,0,,,,1,0,,,,0,
26Q205,Karen,,0,,0.0,,,,0.0,,0,0.0,1,,0,0,,0,,,1,,0.0,,,,0,,0,,0,,0,,,0,,,,0,,,0,0,,,,0,,0.0,0.0,,,,,,,0,,0.0,,,0,,0,,,0,0,0,,,,,,,,,0,,,,,,,,0,,,,0,0,,,,0,0.0
25Q670,Anthony,,,,,,,,,,0,,1,,0,0,,0,,,1,,,,,,1,,0,,0,,0,,,0,,,,0,,,0,0,,,,0,,,0.0,,,,,,,0,,0.0,,,0,,1,,,0,0,1,,,,,,,,,0,,,,,,,,0,,,,1,0,,,,0,
12X044,Cheryl,,0,,0.0,,,,0.0,,0,12.0,0,,0,0,,0,,,1,,12.0,,,,0,,0,,1,,0,,,0,,,,0,,,0,0,,,,0,,12.0,0.0,,,,,,,0,,0.0,,,0,,0,,,0,1,1,,,,,,,,,0,,,,,,,,0,,,,1,0,,,,0,12.0
19K013,Paul,,72,,60.0,,,60.0,72.0,,0,20.0,1,,0,0,24.0,0,,,1,,60.0,,,,1,,0,,1,,0,,,0,,,,1,,,0,0,,72.0,,0,,56.0,2.0,,,60.0,,,,0,,0.0,,,0,,1,20.0,,0,0,1,,,,,,,,20.0,0,,,,,,,,0,,,,1,0,,32.0,,0,40.0
28Q161,Deborah,,0,,0.0,,,,0.0,,0,0.0,1,,0,0,,0,,,1,,0.0,,,,0,,0,,0,,0,,,0,,,,0,,,0,0,,0.0,,0,,0.0,0.0,,,0.0,,,,0,,0.0,,,0,,1,0.0,,0,0,0,,,,,,,,0.0,0,,,,,,,,0,,,,1,0,,,,0,0.0
13K008,Julia,,15,,0.0,,,0.0,15.0,,0,0.0,1,,0,0,0.0,0,,,1,,0.0,,,,0,,0,0.0,0,,0,,,0,,,,0,,,0,0,,0.0,,0,,15.0,1.0,,,30.0,,,,0,,0.0,,,0,,0,0.0,,0,0,0,,,,,,,,0.0,0,,,,,,,,0,,,,1,0,,0.0,,0,0.0
09X204,Patricia,,10,,10.0,,,0.0,10.0,,0,0.0,1,,0,0,0.0,0,,,1,0.0,0.0,,,,0,0.0,0,,0,,1,,,0,,,,0,,,0,0,,0.0,,0,,0.0,0.0,,,10.0,,,,0,,0.0,,,0,,0,0.0,,0,0,1,,,,,,,,0.0,0,,,,,,0.0,,0,,0.0,,0,0,0.0,10.0,0.0,0,0.0
24Q236,Gehan,,,,,,,,,,0,,1,,0,0,,0,,,1,,,,,,1,,0,,1,,0,,,0,,,,0,,,0,0,,,,0,,,0.0,,,,,,,0,,1.0,,,0,,1,,,0,0,0,,,,,,,,,0,,,,,,,,0,,,,1,0,,,,0,
06M366,Mercedes,,0,,0.0,,,,0.0,,0,0.0,0,,0,0,,0,,,1,,0.0,,,,0,,0,,0,,0,,,0,,,,0,,,0,0,,,,0,,0.0,0.0,,,,,,,0,,0.0,,,0,,0,,,0,0,1,,,,,,,,,0,,,,,,,,0,,,,1,0,,,,0,0.0
26Q315,Antonio,,,,,,,,,,0,,1,,0,0,,0,,,1,,,,,,0,,0,,1,,0,,,0,,,,0,,,0,0,,,,0,,,0.0,,,,,,,0,,1.0,,,0,,0,,,0,0,0,,,,,,,,,0,,,,,,,,0,,,,1,0,,,,0,
24Q153,Jennifer,,0,0.0,0.0,,,0.0,0.0,,0,0.0,0,,0,0,0.0,0,,,0,0.0,0.0,,,,0,0.0,0,0.0,0,,0,0.0,,0,,,,0,,,0,0,,0.0,,0,,0.0,0.0,,,0.0,,,,0,,0.0,,,0,,0,0.0,,0,0,1,,,,,,,,0.0,0,,,,,,0.0,,0,,0.0,,1,0,0.0,0.0,0.0,0,0.0
11X542,Kimberlee,,,,,,,,,,0,,1,,0,0,,0,,,1,,,,,,0,,0,,0,,0,,,0,,,,0,,,0,0,,,,0,,,1.0,,,,,,,0,,0.0,,,1,,0,,,0,0,1,,,,,,,,,0,,,,,,,,0,,,,1,0,,,,0,
15K154,Kelly,,0,,0.0,,,50.0,0.0,,0,0.0,0,,0,0,,0,,,0,,50.0,,,,0,,0,,0,,0,,,0,,,,0,,,0,0,,50.0,,0,,50.0,0.0,,,0.0,,,,0,,0.0,,,0,,0,0.0,,0,0,1,,,,,,,,0.0,0,,,,,,,,0,,,,0,0,,,,0,0.0
06M552,Yecenia,,,,,,,,,,0,,1,,0,0,,0,,,1,,,,,,1,,0,,1,,0,,,0,,,,0,,,0,0,,,,0,,,1.0,,,,,,,0,,1.0,,,1,,1,,,0,0,1,,,,,,,,,0,,,,,,,,0,,,,1,0,,,,0,
08X100,Faye,,0,,0.0,,,0.0,0.0,,0,10.0,0,,0,0,0.0,0,,,1,,0.0,,,,0,,0,10.0,0,,0,0.0,,0,,,,1,,,0,0,,0.0,,0,,0.0,1.0,,,17.0,,,,0,,0.0,,,0,,0,0.0,,0,0,1,,,,,,,,0.0,0,,,,,,0.0,,0,,0.0,,1,0,0.0,0.0,0.0,0,0.0
17K353,Tricia,,,,,,,,,,0,,1,,0,0,,0,,,1,,,,,,0,,0,,1,,0,,,0,,,,0,,,0,0,,,,0,,,0.0,,,,,,,0,,0.0,,,0,,1,,,0,0,1,,,,,,,,,0,,,,,,,,0,,,,1,0,,,,0,
19K678,,,,,,,,,,,0,,1,,0,0,,0,,,1,,,,,,0,,0,,1,,1,,,0,,,,0,,,0,0,,,,0,,,1.0,,,,,,,0,,0.0,,,0,,1,,,0,0,0,,,,,,,,,0,,,,,,,,0,,,,1,0,,,,0,
27Q137,Rose,,,,,,,,,,0,,1,,0,0,,0,,,1,,,,,,1,,0,,1,,1,,,0,,,,0,,,0,0,,,,0,,,2.0,,,,,,,0,,3.0,,,1,,1,,,0,0,1,,,,,,,,,0,,,,,,,,0,,,,1,0,,,,0,
09X004,Tangela,,0,,0.0,,,0.0,0.0,,0,0.0,1,,0,0,,0,,,1,,0.0,,,,0,,0,,0,,0,,,0,,,,0,,,0,0,,0.0,,0,,0.0,1.0,,,0.0,,,,0,,0.0,,,0,,0,0.0,,0,0,1,,,,,,,,0.0,0,,,,,,,,0,,,,1,0,,0.0,,0,0.0
07X049,Karimah,,4,,30.0,,,10.0,0.0,,0,0.0,1,,1,0,0.0,0,,,0,1.0,2.0,,,,1,,0,20.0,1,,0,30.0,,0,,,,1,,,0,0,,0.0,,0,,1.0,2.0,,,0.0,,,,0,,0.0,,,0,,1,10.0,,0,0,1,,,,,,,,3.0,0,,,,,,1.0,,0,,0.0,,1,0,0.0,0.0,2.0,0,0.0
17K375,Michelle,,0,,0.0,,,,0.0,,0,3.0,1,,0,0,,0,,,1,,0.0,,,,0,,0,,0,,0,,,0,,,,0,,,0,0,,0.0,,0,,0.0,,,,,,,,0,,0.0,,,0,,0,3.0,,0,0,1,,,,,,,,0.0,0,,,,,,,,0,,,,1,0,,,,0,0.0
20K104,Courtney,,0,,0.0,,,10.0,0.0,,0,2.0,1,,0,0,0.0,0,,,1,,10.0,,,,0,,0,2.0,1,,0,,,0,,,,0,,,0,0,,4.0,,0,,4.0,1.0,,,0.0,,,,0,,0.0,,,0,,1,10.0,,0,0,1,,,,,,,,10.0,0,,,,,,2.0,,0,,,,1,0,0.0,0.0,,0,3.0
25Q379,Ilizabeth,,,,,,,,,,0,,0,,0,0,,0,,,1,,,,,,0,,0,,0,,0,,,0,,,,0,,,0,0,,,,0,,,1.0,,,,,,,0,,0.0,,,1,,0,,,0,0,1,,,,,,,,,0,,,,,,,,0,,,,1,0,,,,0,
02M131,Hilda,,,,,,,,,,0,,1,,0,0,,0,,,1,,,,,,1,,0,,0,,1,,,0,,,,0,,,0,0,,,,0,,,1.0,,,,,,,0,,0.0,,,0,,0,,,0,0,1,,,,,,,,,0,,,,,,,,0,,,,0,0,,,,0,
02M500,Alicia,,,,,,,,,,0,,1,,0,0,,0,,,1,,,,,,0,,0,,1,,0,,,0,,,,0,,,0,0,,,,0,,,0.0,,,,,,,0,,1.0,,,0,,0,,,0,0,1,,,,,,,,,0,,,,,,,,0,,,,1,0,,,,0,
06M468,Michael,,,,,,,,,,0,,1,,0,0,,0,,,1,,,,,,1,,0,,1,,0,,,0,,,,0,,,0,0,,,,0,,,0.0,,,,,,,0,,0.0,,,0,,1,,,0,0,1,,,,,,,,,0,,,,,,,,0,,,,1,0,,,,0,
08X036,Michelle,,0,,0.0,,,0.0,0.0,,0,0.0,0,,0,0,0.0,0,,,1,0.0,3.0,,,,0,,0,0.0,1,,0,,,0,,,,0,,,0,0,,0.0,,0,,0.0,0.0,,,0.0,,,,0,,0.0,,,0,,1,0.0,,0,1,0,,,,,,,,0.0,0,,,,,,0.0,,0,,0.0,,0,0,0.0,0.0,3.0,1,0.0
23K184,Andy,,0,,0.0,,,,0.0,,0,0.0,1,,0,0,,0,,,1,,80.0,,,,0,,0,,0,,1,,,0,,,,1,,,0,0,,0.0,,0,,0.0,2.0,,,0.0,,,,0,,0.0,,,1,,0,80.0,,0,1,1,,,,,,,,0.0,0,,,,,,,,0,,,,1,0,,,,0,5.0
16K335,Altagracia Yadira,,88,,44.0,,,,44.0,,0,38.0,1,,1,0,,0,,,1,,0.0,,,,1,,0,,1,,0,,,0,,,,0,,,0,0,,,,0,,0.0,,,,44.0,,,,0,,0.0,,,0,,1,14.0,,0,0,0,,,,,,,,14.0,0,,,,,,,,0,,,,1,0,,,,0,38.0
