physicalid,continuous_parity_flag,the_geom,to_level_code,within_bndy_dist,stname_label,pre_directional,bike_lane,accessible,number_park_lanes,carto_display_level
8519,,"{'type': 'MultiLineString', 'coordinates': [[[-73.836392601416, 40.67948153859], [-73.835651126354, 40.679280936453]]]}",13,,ROCKAWAY BLVD,,,,2.0,20.0
176859,,"{'type': 'MultiLineString', 'coordinates': [[[-74.065504074641, 40.590216911588], [-74.065376921744, 40.590133495909], [-74.065194682124, 40.590315608393], [-74.065255080264, 40.5903554528], [-74.065110351302, 40.590491530388], [-74.064864821702, 40.590349670357]]]}",13,,PEDESTRIAN AND BIKE PATH LINK,,,,,
144488,,"{'type': 'MultiLineString', 'coordinates': [[[-74.076230453453, 40.638591595529], [-74.0762211847, 40.63858045262], [-74.076210646705, 40.638569984771], [-74.076198923677, 40.638560275631], [-74.076186109295, 40.638551402785], [-74.076172305959, 40.638543437137], [-74.076157623972, 40.638536442342], [-74.076142180658, 40.638530474295], [-74.076126099424, 40.638525580686], [-74.076109508776, 40.638521800622], [-74.076092541291, 40.63851916431], [-74.076075332555, 40.638517692815], [-74.076058020085, 40.638517397897]], [[-74.076058020085, 40.638517397897], [-74.075812896374, 40.63852015077]]]}",13,,CENTRAL AVE,,,,2.0,
28922,,"{'type': 'MultiLineString', 'coordinates': [[[-73.908845089859, 40.701692008764], [-73.908102439118, 40.701252570997]]]}",13,,CYPRESS AVE,,,,2.0,
171041,,"{'type': 'MultiLineString', 'coordinates': [[[-74.122796121706, 40.598614410403], [-74.122800369979, 40.598524199011], [-74.122882300629, 40.598325303837]]]}",13,,HENRY KAUFMANN CAMPGROUNDS DVWY,,,,,
46345,,"{'type': 'MultiLineString', 'coordinates': [[[-73.913815301437, 40.65423123369], [-73.913636239025, 40.654230199083], [-73.913570225501, 40.654230212656], [-73.913477314572, 40.654228341706], [-73.913239892495, 40.654224272355], [-73.912792562909, 40.654216603865], [-73.912474622174, 40.654210374403], [-73.912404778869, 40.654209483425]]]}",13,,LINDEN BLVD,,,,0.0,20.0
185567,,"{'type': 'MultiLineString', 'coordinates': [[[-74.018966401748, 40.688698985747], [-74.018934313522, 40.688719963992], [-74.018899753835, 40.688738528588], [-74.018863034875, 40.688754511837], [-74.01882448834, 40.688767769357], [-74.018784462432, 40.688778181391]], [[-74.018784462432, 40.688778181391], [-74.018748971026, 40.688784474433], [-74.018714334009, 40.688793095326], [-74.018680814347, 40.688803978618], [-74.018648666522, 40.688817041684], [-74.0186181346, 40.688832185347], [-74.018589450381, 40.688849294633], [-74.018562831635, 40.688868239649], [-74.018538480452, 40.688888876561], [-74.018516581708, 40.688911048692], [-74.018497301657, 40.688934587709]], [[-74.018497301657, 40.688934587709], [-74.01848032455, 40.68896194498], [-74.018466456349, 40.68899029959], [-74.018455796964, 40.689019447263], [-74.018448423191, 40.689049178007], [-74.01844438815, 40.689079277632], [-74.018443720914, 40.68910952929], [-74.018446426287, 40.689139715038], [-74.018452484781, 40.689169617407]], [[-74.018452484781, 40.689169617407], [-74.018471629473, 40.68922113541]], [[-74.018471629473, 40.68922113541], [-74.018491007862, 40.68925718856], [-74.018514756335, 40.689291694013], [-74.018542664221, 40.689324345675], [-74.01857448395, 40.689354853897], [-74.01860993325, 40.689382948046]], [[-74.01860993325, 40.689382948046], [-74.018648697958, 40.689408379004], [-74.018690433912, 40.689430921045], [-74.018734770872, 40.689450374201], [-74.018781315523, 40.689466565904], [-74.018829654968, 40.689479352521]]]}",13,,PLAY WAY,,1.0,,,
46794,,"{'type': 'MultiLineString', 'coordinates': [[[-73.950772967561, 40.616595758675], [-73.949812867285, 40.61670101977]]]}",13,,AVE N,,,,2.0,
53792,,"{'type': 'MultiLineString', 'coordinates': [[[-74.156706928307, 40.558680189453], [-74.157614130095, 40.56073659028]]]}",13,,DOANE AVE,,,,2.0,
45422,,"{'type': 'MultiLineString', 'coordinates': [[[-73.912399019655, 40.61639794994], [-73.912036639613, 40.616631790943], [-73.911682961812, 40.616860009183]]]}",13,,AVE U,,,,2.0,
54260,,"{'type': 'MultiLineString', 'coordinates': [[[-74.101889989903, 40.597527473185], [-74.102814825527, 40.598217125912]]]}",13,,CHAPIN AVE,,,,2.0,
