parid,caseno,lot,year,curexmptrn,exmp_code_suffix,compute_flg,finexmptrn,curexmptxbl,rectype
1000161573,26589740,1573,2024,183047,68001,A,0,183653,1
1000161186,26588167,1186,2024,119496,68001,A,0,122686,1
1000162133,26593831,2133,2024,111986,68001,A,0,116029,1
1000161016,26587453,1016,2024,132612,68001,A,0,136153,1
1000161738,26590390,1738,2024,157392,68001,A,0,155121,1
1000161046,26587495,1046,2024,147673,68001,A,0,151614,1
1000162024,26592293,2024,2024,108975,68001,A,0,112826,1
1000162058,26592730,2058,2024,116313,68001,A,0,120508,1
1000161027,26587469,1027,2024,134061,68001,A,0,137640,1
1000161838,26591127,1838,2024,209858,68001,A,0,206829,1
1000110001,26587371,1,2024,167584860,63201,A,0,171570600,1
1000161182,26588137,1182,2024,65212,68001,A,0,66953,1
1000161220,26588389,1220,2024,120482,68001,A,0,123699,1
1000161052,26587507,1052,2024,160299,68001,A,0,164578,1
1000162085,26593107,2085,2024,238473,68001,A,0,246899,1
1000162089,26593169,2089,2024,144602,68001,A,0,149712,1
1000161550,26589576,1550,2024,132504,68001,A,0,132943,1
4050201258,27020743,1258,2025,0,51131,A,0,0,1
1000161756,26590501,1756,2024,262321,68001,A,0,258536,1
1000162075,26592979,2075,2024,125703,68001,A,0,130145,1
1000161602,26589911,1602,2024,223424,68001,A,0,224164,1
1000161124,26587777,1124,2024,139419,68001,A,0,143140,1
1000161486,26589140,1486,2024,165102,68001,A,0,165649,1
1000161471,26589017,1471,2024,199519,68001,A,0,200180,1
1000161429,26588703,1429,2024,192034,68001,A,0,192671,1
1000161630,26590112,1630,2024,231439,68001,A,0,232206,1
1000162093,26593238,2093,2024,128177,68001,A,0,132790,1
1000162240,26594519,2240,2024,73290,68001,A,0,78806,1
1000161068,26587546,1068,2024,114630,68001,A,0,117691,1
1000162048,26592600,2048,2024,115459,68001,A,0,119540,1
1000160001,26587392,1,2024,6726870,21911,A,0,6234300,1
1000161437,26588751,1437,2024,157944,68001,A,0,158468,1
1000162022,26592264,2022,2024,113839,68001,A,0,117863,1
1000162109,26593464,2109,2024,135431,68001,A,0,140218,1
1000161517,26589340,1517,2024,309696,68001,A,0,310720,1
1000161004,26587437,1004,2024,128736,68001,A,0,132172,1
1000161746,26590432,1746,2024,201637,68001,A,0,198693,1
1000162025,26592309,2025,2024,86321,68001,A,0,89372,1
1000162216,26594131,2216,2024,71817,68001,A,0,77223,1
1000161805,26590863,1805,2024,189979,68001,A,0,187203,1
1000161878,26591439,1878,2024,215686,68001,A,0,212574,1
1000161839,26591136,1839,2024,233174,68001,A,0,229810,1
1000161507,26589285,1507,2024,168212,68001,A,0,168769,1
1000161411,26588601,1411,2024,224654,68001,A,0,225399,1
