caseno,pyincrpct3,condo_number,tenexmptrn,tenexmptot,boro,curexmptot,lline,j51_prev_exmpt_act,status,pyexmptrn
26593249,0.0,100313.0,166701,172593,1,172593,1,0,A,164379
26593392,0.0,100313.0,249032,257916,1,257916,1,0,A,245528
26591428,0.0,101902.0,273981,270026,1,270026,1,0,A,272903
26588528,0.0,101163.0,64594360,63126000,1,63126000,1,0,A,66969160
26589943,0.0,101623.0,188304,188927,1,188927,1,0,A,188362
26588448,0.0,100308.0,130181,133656,1,133656,1,0,A,128737
26589622,0.0,101623.0,175380,175962,1,175962,1,0,A,175434
26590745,0.0,101902.0,145732,143631,1,143631,1,0,A,145160
26589368,0.0,101623.0,129418,129847,1,129847,1,0,A,129457
26592201,0.0,100313.0,125168,129592,1,129592,1,0,A,123424
26591417,0.0,101902.0,221516,218319,1,218319,1,0,A,220645
2.66e+07,0.0,100308.0,134061,137640,1,137640,1,0,A,132575
26589772,0.0,101623.0,184075,184685,1,184685,1,0,A,184131
26590883,0.0,101902.0,215686,212574,1,212574,1,0,A,214838
26588174,0.0,100308.0,120940,124170,1,124170,1,0,A,119600
26594097,0.0,100385.0,109693,117949,1,117949,1,0,A,109241
27020756,0.0,400713.0,0,0,4,0,1,0,,6260
2.66e+07,0.0,100313.0,111986,116029,1,116029,1,0,A,110393
26588351,0.0,100308.0,130674,134162,1,134162,1,0,A,129226
26587593,0.0,100308.0,77712,79787,1,79787,1,0,A,76851
26593188,0.0,100313.0,145666,150814,1,150814,1,0,A,143637
26588966,0.0,101623.0,123176,123585,1,123585,1,0,A,123214
26589311,0.0,101623.0,249882,250709,1,250709,1,0,A,249959
26593064,0.0,100313.0,161329,167030,1,167030,1,0,A,159081
26593080,0.0,100313.0,142430,147463,1,147463,1,0,A,140446
26590083,0.0,101623.0,342756,343890,1,343890,1,0,A,342861
26591622,0.0,101902.0,221516,218319,1,218319,1,0,A,220645
26587476,0.0,100308.0,117066,120190,1,120190,1,0,A,115767
26588601,0.0,101623.0,224654,225399,1,225399,1,0,A,224723
26589754,0.0,101623.0,178489,179081,1,179081,1,0,A,178543
26591439,0.0,101902.0,215686,212574,1,212574,1,0,A,214838
26593649,0.0,100313.0,111149,115078,1,115078,1,0,A,109602
26587621,0.0,100308.0,109767,112698,1,112698,1,0,A,108551
26592563,0.0,100313.0,117614,121772,1,121772,1,0,A,115975
26589689,0.0,101623.0,262013,262881,1,262881,1,0,A,262095
26588831,0.0,101623.0,163892,164435,1,164435,1,0,A,163942
26589340,0.0,101623.0,309696,310720,1,310720,1,0,A,309791
26587916,0.0,100308.0,148658,152626,1,152626,1,0,A,147009
26588707,0.0,101623.0,156871,157391,1,157391,1,0,A,156919
26588318,0.0,100308.0,126303,129675,1,129675,1,0,A,124904
26593744,0.0,100313.0,112775,116760,1,116760,1,0,A,111202
27020743,0.0,400713.0,0,0,4,0,1,0,,6260
26593464,0.0,100313.0,135431,140218,1,140218,1,0,A,133544
26590628,0.0,101902.0,145732,143631,1,143631,1,0,A,145160
26594509,0.0,100385.0,108817,117187,1,117187,1,0,A,108359
26591736,0.0,101902.0,268151,264281,1,264281,1,0,A,267096
26592182,0.0,100313.0,87936,91044,1,91044,1,0,A,86710
26590618,0.0,101902.0,204027,201083,1,201083,1,0,A,203224
26589762,0.0,101623.0,234765,235542,1,235542,1,0,A,234837
26591349,0.0,101902.0,221516,218319,1,218319,1,0,A,220645
2.66e+07,0.0,101623.0,183047,183653,1,183653,1,0,A,183103
26587677,0.0,100308.0,81133,83300,1,83300,1,0,A,80234
26587405,0.0,,186942200,197830350,1,197830350,1,0,A,182020280
26594164,0.0,100385.0,93946,101017,1,101017,1,0,A,93559
