building_address,nov_11,may_09,nov_09,_1,oct_08,census_tract,jan_11,apr_10,oct_10,aug_10
"557 Pennsylvania Ave [Roberto Clemente School]
",220.0,380.0,288.0,412.0,264.0,1126,240.0,468.0,264.0,428.0
"232 East 103rd St [Roberto Clemente School]
",40640.0,52000.0,48800.0,53920.0,61440.0,164,40800.0,48160.0,48800.0,46080.0
"411 Pearl St [Murry Bergtraum High School]
",690.24,808.0,712.0,876.0,752.0,29,752.64,844.0,701.76,878.4
"2195 Andrews Ave [Institute for Environmental Learning]
",2081.99,804.41,3395.1,833.17,1826.85,255,3665.68,1071.53,2518.51,886.57
"187-01 Foch Blvd [Saint Albans School]
",208.44,160.85,284.76,135.3,211.06,366,219.13,160.51,207.68,144.31
"232 East 103rd St [Roberto Clemente School]
",6640.0,275.0,5039.0,0.0,8096.0,164,7440.0,141.0,5378.0,996.0
"120 East 184th St [Middle School 399]
",220.0,200.0,200.0,22.0,214.0,23703,224.0,226.0,224.0,252.0
"187-01 Foch Blvd [Saint Albans School]
",54480.0,37520.0,67760.0,38880.0,61840.0,366,56880.0,37360.0,53760.0,37360.0
"2195 Andrews Ave [Institute for Environmental Learning]
",192000.0,224000.0,208000.0,233600.0,201600.0,255,204800.0,298400.0,240000.0,178400.0
"360 West 230th St [The Multiple Intelligence School]
",128.0,404.0,356.0,400.0,216.0,29302,208.0,348.0,216.0,300.0
"111 Bristol St [110 Chester St] [Dr. Rose B. English]
",67.0,0.0,0.0,0.0,361.0,924,56.0,48.0,80.0,493.0
"360 West 230th St [The Multiple Intelligence School]
",351.0,227.0,7993.0,177.0,9148.0,29302,6024.0,245.0,8155.0,660.0
"3050 Webster Ave [George J. Werdan III School]
",157600.0,215400.0,159600.0,228000.0,163800.0,425,150800.0,310800.0,182400.0,166800.0
"976 President St [Emma Johnston PS 241]
",1003.39,95.56,1659.05,113.31,1227.53,213,1184.3,163.38,927.59,279.92
"111 Bristol St [110 Chester St] [Dr. Rose B. English]
",72800.0,147200.0,72800.0,135600.0,86800.0,924,70000.0,124400.0,87600.0,85600.0
"990 Dekalb Ave [Thaddeus Stevens School]
",918.65,241.71,233.82,234.38,214.61,289,1190.03,247.24,806.41,495.13
"200 City Island Ave [The City Island School]
",171.57,235.63,183.68,189.49,226.45,516,171.02,273.14,194.23,169.93
"60-85 Catalpa Ave [Seneca School]
",82000.0,82400.0,82000.0,52000.0,84400.0,585,82800.0,87600.0,85600.0,78000.0
"111 East 33rd St [Norman Thomas High School]
",1671.0,1924.0,1747.0,2876.0,1472.0,72,1480.0,2061.0,1828.0,809.0
"715 Ocean Ter [The Michael J. Petrides School]
",370740.0,333720.0,391780.0,338380.0,413620.0,177,397860.0,357440.0,417340.0,279060.0
"1400 Benson Ave [Dyker School]
",7011.0,0.0,5746.0,0.0,5673.0,170,8458.0,17906.0,3114.0,889.0
"794 Monroe St [George E. Wibecan School]
",124.0,76.0,421.0,72.0,0.0,385,101.0,20.0,71.0,47.0
"200 City Island Ave [The City Island School]
",50240.0,69040.0,53760.0,55520.0,66320.0,516,50080.0,80000.0,56880.0,49760.0
"1300 Boynton Ave [James Monroe High School]
",292400.0,363200.0,289200.0,145200.0,202000.0,56,336800.0,422800.0,430000.0,390000.0
"1020 Anderson Ave [P.S.73X]
",247.66,214.66,353.99,203.25,323.88,189,294.44,249.98,394.86,222.45
"557 Pennsylvania Ave [Roberto Clemente School]
",202.75,352.22,274.4,346.76,283.34,1126,242.14,366.37,284.9,309.2
"1020 Anderson Ave [P.S.73X]
",140.8,169.6,144.0,180.8,140.8,189,136.0,196.8,145.6,177.6
