feb_12,postcode,dec_08,mar_12,fy_2011_7_1_2010,feb_09,mar_09,apr_12,may_11,dec_10,community_board,apr_09,dec_09,feb_10
232.0,11207,264.0,320.0,504.0,260.0,352.0,460.0,360.0,264.0,5,404.0,276.0,288.0
38240.0,10029,60640.0,42880.0,45440.0,51200.0,48160.0,52640.0,48320.0,44640.0,11,45280.0,52000.0,38720.0
675.36,10038,772.0,912.0,816.48,828.0,880.0,993.12,750.24,752.64,1,844.0,696.0,836.0
835.49,10453,1865.04,399.87,869.07,1268.11,759.52,551.48,729.39,3782.37,7,742.35,3288.13,1181.95
138.67,11412,200.14,120.54,126.62,145.26,163.93,133.67,134.24,248.96,12,94.2,214.88,129.25
3673.0,10029,2498.0,1584.0,85.0,196.0,270.0,106.0,148.0,9848.0,11,237.0,4934.0,1264.0
220.0,10468,200.0,224.0,226.0,200.1,200.0,224.0,220.0,224.0,5,200.0,196.1,200.1
831.04,10472,324.0,822.72,1006.08,328.0,344.0,1161.92,1025.44,813.6,9,292.0,924.0,900.0
320.0,11225,376.0,360.0,400.0,392.0,344.0,480.0,504.0,440.0,9,328.0,448.0,416.0
688.69,11228,634.82,573.29,541.49,398.82,95.02,632.92,599.35,2753.09,11,210.34,1331.33,651.34
21600.0,11235,24800.0,23680.0,23360.0,24480.0,26240.0,28640.0,18080.0,26560.0,15,29120.0,26400.0,22240.0
3686.0,10453,13135.0,1241.0,1974.0,7275.0,660.0,409.0,468.0,30124.0,7,543.0,25127.0,5485.0
758.0,10038,2174.0,356.0,872.0,1348.0,1892.0,0.0,2931.0,2628.0,1,3191.0,3007.0,1592.0
1032.47,11207,3836.77,762.09,549.86,1667.46,608.86,603.94,630.49,4520.2,5,608.4,4270.0,1203.7
191.2,10464,180.8,188.0,218.4,204.0,251.2,256.0,211.2,154.4,10,237.6,175.2,173.6
158800.0,10040,267200.0,167600.0,175200.0,189600.0,210000.0,205600.0,222000.0,292400.0,12,209600.0,297200.0,185200.0
463.02,10006,667.92,787.68,1219.14,598.66,596.26,1099.18,1318.16,816.85,1,1656.87,771.43,630.07
16320.0,10006,21280.0,19680.0,21760.0,20480.0,22080.0,23840.0,18240.0,20160.0,1,22720.0,17440.0,18400.0
43680.0,11221,58560.0,47280.0,58560.0,53280.0,63600.0,62160.0,59520.0,56400.0,3,64320.0,66960.0,61680.0
192.0,11209,162.0,204.0,204.0,162.0,186.0,204.0,198.0,162.0,10,198.0,156.0,156.0
6704.0,10467,16048.0,2726.0,2789.0,6228.0,885.0,409.0,301.0,7855.0,7,294.0,29367.0,1720.0
120800.0,11228,53040.0,128800.0,155200.0,39120.0,27840.0,174400.0,167200.0,165600.0,11,54480.0,180000.0,124800.0
362.44,11101,599.42,197.71,99.78,492.07,163.37,134.29,104.64,6965.61,2,124.05,7001.32,4597.71
1573.0,11215,338.0,1528.0,122.0,336.0,0.0,56.0,112.0,7427.0,6,316.0,6051.0,2265.0
497.81,10029,456.76,304.75,163.59,194.34,191.37,190.26,179.71,1137.15,11,178.24,670.87,258.55
519.0,10006,622.0,688.0,1243.0,483.0,435.0,766.0,1040.0,679.0,1,0.0,758.0,146.0
2666.0,11101,5042.0,900.0,64.0,3991.0,491.0,106.0,0.0,68493.0,2,147.0,68975.0,44902.0
126400.0,10458,167200.0,138400.0,136000.0,151200.0,161600.0,159200.0,136800.0,113600.0,6,158400.0,182400.0,133600.0
