sep_11,borough,longitude,measurement,mar_11,council_district
252.0,3,-73.893754,Electricity Demand (KW),368.0,42
46400.0,1,-73.944538,Electricity Usage (KWH),40160.0,8
687.36,1,-74.000851,Electricity Demand (KW),867.84,1
1157.23,2,-73.909746,Total Usage (mmBTUs),696.82,14
138.51,4,-73.763907,Total Usage (mmBTUs),121.47,27
2975.0,1,-73.944538,Gas (Therms),1691.0,8
220.0,2,-73.900161,Electricity Demand (KW),224.0,14
66400.0,3,-73.893754,Electricity Usage (KWH),66400.0,42
671.0,3,-74.028086,Gas (Therms),573.0,43
86.0,1,-74.000851,Gas (Therms),105.0,1
3422.0,4,-73.896374,Gas (Therms),714.0,30
115600.0,3,-73.89643,Electricity Usage (KWH),110400.0,37
646.36,3,-73.979287,Total Usage (mmBTUs),562.19,39
164.0,1,-73.917059,Electricity Demand (KW),154.0,10
57600.0,3,-74.028086,Electricity Usage (KWH),63600.0,43
57.0,3,-73.893754,Gas (Therms),45.0,42
281.0,1,-74.012332,Steam (mlbs),522.0,1
295.92,4,-73.727456,Electricity Demand (KW),447.84,23
166.0,3,-73.986139,Electricity Demand (KW),210.8,47
0.0,1,-73.981241,Gas (Therms),0.0,2
340.0,4,-73.76174,Electricity Demand (KW),290.0,31
112.0,4,-73.942447,Electricity Demand (KW),106.0,26
384.0,2,-73.888267,Electricity Demand (KW),408.0,15
9571.0,3,-73.89643,Gas (Therms),1946.0,37
6976.36,2,-73.900161,Gas Cost ($),5263.27,14
804.38,1,-73.917059,Total Usage (mmBTUs),252.38,10
2770.88,1,-74.000851,Total Usage (mmBTUs),2596.27,1
186.0,1,-73.927051,Gas (Therms),81.0,10
