globalid,crewglobalid,locationdetails,wowoodremains,wopriority,recommendedspecies,sidewalkdamage,projstartdate,sanitationassigneddate,wotype,census_tract,streetname,canceldate,nta,crossstreet2,boroughcode,sanitationzone,cancelreason,:@computed_region_92fq_4b7q,communityboard,stateassembly,wowireconflict,:@computed_region_sbqj_enih
4AE59916-C081-416E-947E-01E9E3F09E1F,,1X,No Wood Debris,,,,NaT,,Block Pruning,,HENRYSTREET,,/,HENRY ST,Manhattan,1031B,,32,103.0,65.0,No Util Conflict Present,4
2F2103BB-8DDB-4A38-801E-C669C181C029,,,No Wood Debris,,,,NaT,,Block Pruning,,*,,/,,Queens,4084D,,24,408.0,,No Util Conflict Present,65
CAB97D3A-D353-4813-BB04-543DA4E5D078,,4f,No Wood Debris,,,1.0,NaT,,Stump Removal,,4AVENUE,,/,SENATOR ST,Brooklyn,3101D,,44,310.0,51.0,No Util Conflict Present,41
E026A88F-FAC8-4B3D-82B4-F42CBC75FB11,,SW CORNER OF NORTHERN SECTION,No Wood Debris,,,,NaT,2019-09-09T19:01:26,Block Pruning,,,,/,,Manhattan,1033A,,50,103.0,,No Util Conflict Present,5
CD73B5F5-505E-493C-A91D-BA5CBA2B440C,,SW SECTION,No Wood Debris,,,,NaT,,Block Pruning,,*,,/,,Bronx,2031B,,43,203.0,,No Util Conflict Present,25
9D13456F-07C1-47EA-9A8D-44C89B910264,,1S,No Wood Debris,,,1.0,NaT,,Stump Removal,,138AVENUE,,/,227 ST,Queens,4136E,,47,413.0,29.0,No Util Conflict Present,63
289232D7-F6E3-492C-9F98-69CAE589EE13,,1S,No Wood Debris,,,,NaT,,Block Pruning,,147ST,,/,ALLEY,Queens,4083D,,24,408.0,27.0,No Util Conflict Present,65
82C21212-B221-4D62-BDD6-A61C9874DBEE,,,No Wood Debris,,,,NaT,,Block Pruning,,,,/,BROOKVILLE BLVD,Queens,4138D,,47,413.0,31.0,No Util Conflict Present,63
CC24C357-5E98-4318-B5FA-3BD67D9D0070,,SE CORNER,No Wood Debris,,,,NaT,,Block Pruning,,*,,/,,Queens,4126C,,46,412.0,,No Util Conflict Present,71
F800BDAF-C514-4FF0-864C-794E6A542489,,ifo,No Wood Debris,,,,NaT,,Stump Removal,,SLAYTONAVENUE,,/,ROCKLAND AVENUE,Staten Island,5024C,,14,502.0,63.0,No Util Conflict Present,75
73288C4D-2408-43AA-8EB0-64093ACD9DFC,,1F,No Wood Debris,,,,NaT,,Block Pruning,,WEST74STREET,,/,W 74 ST,Manhattan,1072A,,19,107.0,67.0,No Util Conflict Present,12
2A604BD9-A49B-487F-9717-7944F500B6B0,,1f,No Wood Debris,8.0,,,NaT,,Pruning,,BAY19STREET,,/,ALLEY,Brooklyn,3114D,,44,311.0,47.0,No Util Conflict Present,37
6D9CDCDD-52EF-4C89-913D-B535568FFBF9,,NE CORNER,No Wood Debris,,,,NaT,2019-09-09T15:23:51,Block Pruning,,,,/,,Manhattan,1033A,,50,103.0,,No Util Conflict Present,5
AF76863B-86D9-43B6-8021-215F1C679106,,1f,No Wood Debris,,,,NaT,,Block Pruning,557.0,NORTH  9 STREET,,Williamsburg,N 9 ST,Brooklyn,3011A,,38,301.0,50.0,No Util Conflict Present,57
42E94330-5387-4DA6-8E07-0B422D1C7670,,,No Wood Debris,6.0,,,NaT,2020-07-29T13:41:41,Tree Removal,,COLLEGE POINT BLVD,,/,,Queens,4075E,,20,407.0,,No Util Conflict Present,67
83120D40-A310-4B9E-AC25-4B4A52C8F58D,,2F,No Wood Debris,,,,NaT,,Stump Removal,,134AVENUE,,/,156 ST,Queens,4127C,,46,412.0,32.0,No Util Conflict Present,71
790129C0-C5FA-41CB-8E55-6E20DE9B5AC9,,SE SECTION,No Wood Debris,,Thuja occidentalis - arborvitae,,NaT,,Block Pruning,,*,,/,,Brooklyn,3162A,,37,316.0,,No Util Conflict Present,46
50B50215-0A66-4A2A-86DD-579E04BF9814,,1X,No Wood Debris,,,,NaT,,Block Pruning,,OAKSTREET,,/,OAK ST,Brooklyn,3011A,,38,301.0,50.0,No Util Conflict Present,57
483B7FFC-9A86-4B62-AC1B-F8F6DEC94D71,,2f,No Wood Debris,,,,NaT,,Block Pruning,,LINDENBOULEVARD,,/,,Brooklyn,3173C,,17,317.0,,No Util Conflict Present,40
7CBC8F80-6FA6-4FAD-AA53-02CF8B85FE02,,1 F EPNP 72X50 84X50 Residential  Large  SR8,No Wood Debris,,,,NaT,,Tree Plant-Street Tree,,67AVENUE,,/,CLYDE STREET,Queens,4062E,,28,406.0,28.0,No Util Conflict Present,70
5B755288-0B68-4794-A9BF-71704788CA97,,,No Wood Debris,,,,NaT,,Stump Removal,,,,/,TELLER AV,Bronx,2043B,,42,204.0,77.0,No Util Conflict Present,27
406D66D6-9700-4663-A14B-518BE8B3E5AE,,"1s, on Atlantic Ave",No Wood Debris,,,,NaT,,Block Pruning,,82STREET,,/,ATLANTIC AV,Queens,4092D,,41,409.0,38.0,Electric Utility Open,60
4216F90C-69EC-49BD-833C-47CE0993FF16,,"1F. 10"" Linden. Tagged.",No Wood Debris,9.0,,,NaT,,Tree Removal,245.0,58 LANE,,Woodside,LAUREL HILL BLVD,Queens,4021E,,33,402.0,30.0,No Util Conflict Present,66
7CCA2C2C-884C-4FD7-A753-65BE1FA91546,,3.5 F R 111x62,No Wood Debris,,,,NaT,,Tree Plant-Street Tree,,EAST81STREET,,/,E 81 ST,Manhattan,1083B,,1,108.0,76.0,No Util Conflict Present,11
BC886FB8-C616-4D33-9F27-5C10D1B000AA,,1F,No Wood Debris,7.0,,,NaT,,Tree Removal,,250STREET,,/,HOOK CREEK BLVD,Queens,4137C,,47,413.0,29.0,No Util Conflict Present,63
690BC50A-78AF-458B-B466-6C6475C7D5E1,,"1F 30"" silver maple",No Wood Debris,9.0,,,NaT,,Hanging Limb,,FRANCISLEWISBLVD,,/,FRANCIS LEWIS BLVD,Queens,4076E,,20,407.0,26.0,No Util Conflict Present,67
6234D69A-803B-488F-B57E-082AC4A37060,,SW CORNER,No Wood Debris,,,,NaT,,Block Pruning,,*,,/,,Bronx,2052B,,29,205.0,,No Util Conflict Present,29
56401000-AE7A-4138-A609-4CFFF576604F,,2S,No Wood Debris,,,,NaT,,Block Pruning,,86STREET,,/,86 ST,Queens,4101D,,41,410.0,23.0,Electric Utility Open,64
2E1F0A04-05BF-464D-8F6A-BEB9C81568FC,,Stewart Playground,Unprocessed Wood,9.0,,,NaT,,Pruning,,,,/,PARADE PL,Brooklyn,3141B,,11,314.0,42.0,No Util Conflict Present,43
1DFAB985-6F97-4371-A498-50C4EA6B7200,,DIA,Unprocessed Wood,9.0,,,NaT,,Pruning,376.0,,,QN08 /,TROY AV,Brooklyn,3083B,,49,308.0,56.0,No Util Conflict Present,49
690BAAB0-0E93-465A-A025-6323FD9A5521,,1F,No Wood Debris,,,,NaT,,Block Pruning,,SAUNDERSSTREET,,/,SAUNDERS ST,Queens,4062D,,28,406.0,28.0,No Util Conflict Present,70
EDEDF62B-22C5-4B84-AC91-6C8B45EE9251,,[MAP],No Wood Debris,,,,NaT,,Block Pruning,,,,/,ALLEY,Queens,4126C,,46,412.0,32.0,No Util Conflict Present,71
0090C885-86FB-48F6-B37C-4F9F35F015EE,,1F,No Wood Debris,,,1.0,NaT,,Block Pruning,,126STREET,,/,25 RD,Queens,4075E,,20,407.0,27.0,No Util Conflict Present,67
66314AC9-FDAE-4C64-9DDC-58BCAF949E49,,1F,No Wood Debris,,,,NaT,,Block Pruning,,143STREET,,/,SUTTER AV,Queens,4126C,,46,412.0,32.0,No Util Conflict Present,71
B1622AD2-E2B6-4224-A53F-785733A2C1FB,,1F,Unprocessed Wood,,,,NaT,,Block Pruning,,SUTTERAVENUE,,/,SUTTER AV,Queens,4126C,,46,412.0,32.0,No Util Conflict Present,71
0C414281-3D70-4EA2-BF83-11F6670573B8,,1F,No Wood Debris,,,,NaT,,Block Pruning,,WEST119STREET,,/,W 119 ST,Manhattan,1101B,remove tree,36,110.0,70.0,No Util Conflict Present,18
552614B3-E7AA-440E-98C1-16672538F5D2,,1 S TGB 17.5,No Wood Debris,,,,NaT,,Tree Plant-Street Tree,,EASTERNPARKWAY,,/,PARK PLACE,Brooklyn,3161B,,17,316.0,55.0,No Util Conflict Present,46
EA79F1EC-0007-4D0F-9268-5E687D884101,,1F 13IN TILIA,No Wood Debris,8.0,,1.0,NaT,,Tree Removal,,EXETERSTREET,,/,EXETER ST,Queens,4062C,,28,406.0,28.0,No Util Conflict Present,70
0AEFDF5C-3E71-4DA4-B980-0C403B96046A,,1F,No Wood Debris,7.0,,,NaT,,Pruning,1483.0,243STREET,,QN45 /,82 AVENUE,Queens,4132C,,16,413.0,24.0,No Util Conflict Present,63
816E7369-407B-4DEF-853B-4C7BB074FFC2,,1F,No Wood Debris,,,,NaT,,Stump Removal,,E63ST,,/,NATIONAL DR,Brooklyn,3184D,,8,318.0,59.0,No Util Conflict Present,38
F9F31F1D-1E99-41B4-9261-11B510986601,,3S,No Wood Debris,,,,NaT,,Block Pruning,664.02,148 ROAD,,Rosedale,259 ST,Queens,4137D,,47,413.0,29.0,Electric Utility Open,63
73BC74A4-45AF-4250-9EE5-6930204D439B,,1F RL,No Wood Debris,,,,NaT,,Block Pruning,,LESLIEAVENUE,,/,LESLIE AV,Staten Island,5021D,,14,502.0,64.0,No Util Conflict Present,76
DE5ADDCB-E772-4126-B69D-FE854D25B30F,,,No Wood Debris,,,,NaT,,Block Pruning,,Mosholu Parkway,,/,,Bronx,2073A,,40,207.0,,No Util Conflict Present,34
13247C25-7D23-4EE9-A50E-6955FF2F3C2E,,1F,No Wood Debris,,,,NaT,,Block Pruning,,PITKINAVENUE,,/,PITKIN AV,Queens,4101C,,41,410.0,23.0,Electric Utility Open,64
19BF606D-19DE-4AF1-9E57-210FE21B4DE2,,2F,No Wood Debris,,,,NaT,,Block Pruning,987.0,10 AV,,Whitestone-Beechhurst,151 PL,Queens,4076C,,20,407.0,27.0,Electric Utility Open,67
5EECD828-9E93-4BF2-B913-EC59989DC860,,1f,No Wood Debris,,,,NaT,,Block Pruning,,PARSONSBLVD,,/,PARSONS BLVD,Queens,4083D,,24,408.0,25.0,No Util Conflict Present,65
925F467D-CCB7-416D-84BB-56EA6B182EAF,,1F,No Wood Debris,,,,NaT,,Block Pruning,,MOFFATSTREET,,/,COOPER ST,Brooklyn,3043A,,37,304.0,54.0,No Util Conflict Present,53
BB9C565B-8A4E-4ABA-892F-686BFD7B1A0B,,1F. 24in american elm. prune deadwood,No Wood Debris,8.0,,,NaT,,Pruning,,31DRIVE,,/,31 DR,Queens,4013E,,4,401.0,36.0,No Util Conflict Present,72
552E34F4-3083-4096-BE94-590631D7F392,,1F,No Wood Debris,,,,NaT,,Block Pruning,,WOODVALEAVENUE,,/,WOODVALE AV,Staten Island,5037D,,9,503.0,62.0,No Util Conflict Present,77
4264ACF3-EAB0-4B8E-8CD0-FC41ABAA96DA,,,No Wood Debris,,,1.0,NaT,,Block Pruning,,,,/,MANHATTAN AV,Brooklyn,3013B,,38,301.0,50.0,No Util Conflict Present,57
E3A4AFD8-F7ED-4074-9BAD-EC4334CCFF37,,2f,No Wood Debris,,,,NaT,,Block Pruning,,COURTSTREET,,/,COURT ST,Brooklyn,3061C,,27,306.0,52.0,No Util Conflict Present,48
0B645A8F-A5A8-4F1B-910D-C541333DF66D,,"43"" willow",No Wood Debris,8.0,,,,,Hanging Limb,,,,/,E 12 ST,Manhattan,1034A,,50,103.0,74.0,No Util Conflict Present,5
EE8894BE-05E3-414B-9DBE-5BDE4EE889B1,,1F,No Wood Debris,,,,NaT,,Block Pruning,,147STREET,,/,147 ST,Queens,4126C,,46,412.0,32.0,Electric Utility Open,71
3DA811D8-DC44-41E0-8791-4FD5F6B27F14,,1F,No Wood Debris,,,,NaT,,Block Pruning,,SACKETTSTREET,,/,SMITH ST,Brooklyn,3062E,,27,306.0,52.0,No Util Conflict Present,48
F7CB8DC3-27E8-4A38-B9F3-63F9CFC9F2A6,,1F,No Wood Debris,,,,NaT,,Block Pruning,,SCHAEFERSTREET,,/,SCHAEFER ST,Brooklyn,3043A,,37,304.0,54.0,No Util Conflict Present,53
04375D48-9F27-4761-A1D5-70F072FC7C94,,1S,No Wood Debris,,,1.0,NaT,,Stump Removal,,104AVENUE,,/,197 ST,Queens,4123E,,6,412.0,33.0,No Util Conflict Present,61
6090E75F-F597-40D7-8BBB-47D7673BA8D5,,1F,No Wood Debris,,,,NaT,,Block Pruning,,127ST,,/,14 AV,Queens,4075C,,20,407.0,27.0,Electric Utility Open,67
7BCD6ADF-549B-442D-9857-5AD0DF4D4241,,1F,No Wood Debris,,,,NaT,,Pest & Disease Treatment,,41AVENUE,,/,41 AV,Queens,4073C,,3,407.0,40.0,No Util Conflict Present,67
3B072D39-8743-49C5-91D8-239222029FB3,,1F,No Wood Debris,,,,NaT,,Block Pruning,236.0,50 STREET,,Borough Park,50 ST,Brooklyn,3122C,,18,312.0,48.0,No Util Conflict Present,39
C2120BBA-E846-4A90-87E0-16D809D885E8,,1F,No Wood Debris,,,,NaT,,Block Pruning,,11AVENUE,,/,MALBA DR,Queens,4076D,,20,407.0,27.0,Electric Utility Open,67
5C0322B4-B2F8-438E-B670-1BB5D3B7126A,,1f,No Wood Debris,9.0,,,NaT,,Pruning,65.02,WESTMINSTERRD,,QN70 /,WESTMINSTER RD,Brooklyn,3144E,,26,314.0,44.0,No Util Conflict Present,43
42CBF6C7-62CB-45BC-9C97-4F30F1A93515,,1f,No Wood Debris,8.0,,,NaT,,Tree Removal,,AVENUEP,,/,W 8 ST,Brooklyn,3116E,,18,311.0,47.0,No Util Conflict Present,37
7C02316F-C4DC-4086-9E2D-48BD9B9877DA,,[MAP],No Wood Debris,,,,NaT,,Block Pruning,,,,/,JACKSON AV,Bronx,2012A,,35,201.0,84.0,No Util Conflict Present,23
7D90BEC4-D1BA-4E1D-A987-F46CE9EBE17B,,CENTER,No Wood Debris,,,,NaT,,Block Pruning,,*,,/,,Bronx,2031B,,43,203.0,,No Util Conflict Present,25
DF221BF8-135B-44B5-9F2A-1C21CF1D13F3,,map,No Wood Debris,6.0,,,NaT,,Tree Removal,,,,/,W 163 ST,Manhattan,1121A,,39,112.0,72.0,No Util Conflict Present,21
B6B59FD1-EDB6-44BE-A057-6159C0DBADAC,,1F,No Wood Debris,6.0,,,NaT,,Pruning,,17STREET,,/,PROSPECT PARK W,Brooklyn,3071C,,7,307.0,44.0,No Util Conflict Present,45
87DD20C0-3032-4610-AB47-0203FDB4DE78,,,No Wood Debris,,,,NaT,,Tree Plant-Street Tree,404.0,E 229 ST,,Williamsbridge-Olinville,E 229 ST,Bronx,2123D,,2,212.0,83.0,No Util Conflict Present,30
87CD03C1-83FE-4AFC-A06D-63F8FD67F82A,,Right rear,No Wood Debris,,,,NaT,,Block Pruning,,*,,/,,Brooklyn,3012B,,30,301.0,,No Util Conflict Present,56
43219658-A8CB-4C2A-B033-4F46F382F390,,DIA,Unprocessed Wood,8.0,,,NaT,,Pruning,,,,/,CADMAN PLZ E,Brooklyn,3021B,,38,302.0,52.0,No Util Conflict Present,54
2CA5DD6F-717D-47B2-A875-2325DB9946DF,,1F,No Wood Debris,,,,NaT,,Block Pruning,750.0,EAST  28 STREET,,Midwood,E 28 ST,Brooklyn,3143D,,26,314.0,42.0,No Util Conflict Present,43
BB1EA9F2-AFC3-47B3-812C-04C9C7782CC1,,NORTHSIDE,No Wood Debris,,,,NaT,,Block Pruning,,*,,/,,Bronx,2031A,,43,203.0,,No Util Conflict Present,25
E0D7D030-288A-4E1F-A1D7-C62CB26F3A4B,,SOUTHSIDE,No Wood Debris,,,,NaT,,Block Pruning,,*,,/,,Bronx,2011B,,43,201.0,,No Util Conflict Present,23
15C2CAB1-9351-44CE-877B-76F935B202EE,,1f,No Wood Debris,,,,NaT,,Stump Removal,,203STREET,,/,203 ST,Queens,4123E,,6,412.0,33.0,No Util Conflict Present,61
70382D73-46A5-40CE-BB2C-62F70CD50312,,,No Wood Debris,,,1.0,NaT,,Block Pruning,,133ave,,/,81 ST,Queens,4101C,,41,410.0,23.0,Electric Utility Open,64
DC26FA0E-8D22-4311-B446-7AD2FD9D20A7,,Right middle,No Wood Debris,,,,NaT,,Block Pruning,,*,,/,,Brooklyn,3031B,,49,303.0,,No Util Conflict Present,51
D5BFA6B4-CA08-4517-894F-709FB949FAC1,,2S,No Wood Debris,,,,NaT,,Block Pruning,,138STREET,,/,ALLEY,Queens,4083C,,24,408.0,27.0,No Util Conflict Present,65
A04C739D-0552-42E2-A83D-635B0478C468,,Tree 3780,No Wood Debris,5.0,,,NaT,,Tree Removal,,,,/,3 AVE,Bronx,2103D,,12,210.0,82.0,No Util Conflict Present,28
F470C48D-65B6-49DF-9629-FC682E7245B3,,,No Wood Debris,3.0,,,NaT,2017-11-21T15:26:49,Pruning,,,,/,,Bronx,2011B,,43,201.0,,No Util Conflict Present,23
6FCB0778-004C-48B3-8A47-797B66A90CD6,,2S,No Wood Debris,,,,NaT,,Tree Plant-Street Tree,,WILLOWBROOKROAD,,/,WILLOWBROOK RD,Staten Island,5023C,,14,502.0,63.0,Electric Utility Open,75
7935D332-9A97-4D95-86FE-5BDD43EAC7A5,,"1F. 29"" pin oak.",No Wood Debris,9.0,,,NaT,,Hanging Limb,,160STREET,,/,160 ST,Queens,4078C,,20,407.0,26.0,No Util Conflict Present,67
0C16F707-91F4-445D-8CE5-6CB8C57661FD,,,No Wood Debris,,,1.0,,,Block Pruning,,,,/,E 1 ST,Manhattan,1033B,,50,103.0,66.0,No Util Conflict Present,5
49011CC7-D931-4FDB-8CC5-4C8F18CCFF39,,1F,No Wood Debris,,,,NaT,,Stump Removal,,CORONAAVENUE,,/,CORONA AV,Staten Island,5031C,,9,503.0,62.0,No Util Conflict Present,76
A6EA638B-AFF5-415E-8EEB-6283E3E8E751,,,No Wood Debris,7.0,,,NaT,2019-03-06T16:36:22,Tree Removal,,/,,/,,Bronx,,,40,226.0,,No Util Conflict Present,30
D4F16977-2A8E-4458-887B-4A4FE5CE2D18,,,No Wood Debris,6.0,,,NaT,,Tree Removal,,11AVENUE,,/,138 PLACE,Queens,4076D,,20,407.0,27.0,No Util Conflict Present,67
DC864D19-84C2-4353-AA27-441258551231,,1X,No Wood Debris,,,,NaT,,Block Pruning,,SHOREROAD,,/,SHORE RD,Brooklyn,3101E,,44,310.0,64.0,No Util Conflict Present,41
8094C3B5-8199-4E91-878D-5769285D4ED1,,,No Wood Debris,,,,NaT,,Tree Removal,,,,/,,Queens,4072E,,3,407.0,,No Util Conflict Present,67
57DDDC83-A0C5-490D-9D60-45CB7D2EBAB6,,4f,No Wood Debris,7.0,,,NaT,,Pruning,,EASTENDAVENUE,,/,EAST END AV,Manhattan,1083B,,1,108.0,76.0,No Util Conflict Present,11
224CD86A-8939-4607-AFAD-79D1761A6343,,,No Wood Debris,,,,NaT,,Block Pruning,,,,/,E 14 ST,Brooklyn,3151E,,15,315.0,45.0,No Util Conflict Present,36
3B2D8918-62D7-4E86-A0F4-3C81A3EAD4C0,,1F,No Wood Debris,,,,NaT,,Block Pruning,,125STREET,,/,15 AV,Queens,4075E,,20,407.0,27.0,Electric Utility Open,67
4CBAA9C6-7C53-453B-B44A-F10E503A4A75,,NE SECTION,No Wood Debris,,,,NaT,,Block Pruning,,*,,/,,Manhattan,1103B,,36,110.0,,No Util Conflict Present,20
5B614913-5F24-4FF7-9558-55440FBEFC9F,,IFO,No Wood Debris,,,,NaT,,Stump Removal,,ADLERPLACE,,/,BEND,Bronx,2101D,,2,210.0,82.0,No Util Conflict Present,28
49CC8B1D-E6E4-459A-94BC-270F9D3F3594,,,All Wood Removed,,,,NaT,,Stump Removal,,,,/,,Bronx,2031B,,43,203.0,,No Util Conflict Present,25
BB140F8F-0CDD-4DF5-9E83-1ECA3B3B5FD2,,1f,No Wood Debris,,,,NaT,,Block Pruning,268.0,74 STREET,,Bensonhurst,74 ST,Brooklyn,3112E,,18,311.0,47.0,No Util Conflict Present,37
852ECF67-8723-4274-A693-040B5A8E7FC9,,ROCHDALE SAT WORK,No Wood Debris,6.0,,,NaT,2017-10-25T08:41:32,Pruning,,,,/,,Queens,,,46,412.0,,No Util Conflict Present,71
A02ED388-9694-450F-BDCE-C03D07A86599,,NORTH ALONG THE FENCE,No Wood Debris,,Unknown - Unknown,,NaT,,Stump Removal,,*,,/,,Brooklyn,3054C,,25,305.0,,No Util Conflict Present,47
0366718F-ED47-4D8A-B0B3-BD9CE28B79FB,,,No Wood Debris,7.0,,,NaT,2018-12-11T15:34:01,Tree Removal,,,,/,,Bronx,2043A,,42,204.0,,No Util Conflict Present,27
A9BE5551-E9C6-44C2-9CCB-63340E33F112,,1F AN,No Wood Debris,,,1.0,NaT,,Stump Removal,,MAINSTREET,,/,PITTSVILLE AV,Staten Island,5038D,,9,503.0,62.0,No Util Conflict Present,77
75668643-9E52-45B1-A337-0F26C1BA7554,,,No Wood Debris,,,,NaT,,Stump Removal,,,,/,TELLER AV,Bronx,2043B,,42,204.0,77.0,No Util Conflict Present,27
832EF97A-0FE2-48B4-A7DD-4B0868E97408,,1F,No Wood Debris,,,,NaT,,Block Pruning,,169STREET,,/,168 PL,Queens,4127D,,47,412.0,32.0,Electric Utility Open,71
4E212177-09E7-41ED-AF28-75A857C80682,,WESTSIDE,No Wood Debris,,,,NaT,,Block Pruning,,*,,/,,Bronx,2052B,,29,205.0,,No Util Conflict Present,29
53FAE4B6-DACE-40B1-B8A6-66884CBFE30C,,1F,No Wood Debris,,,,NaT,,Block Pruning,,CROFTCOURT,,/,CROFT CT,Staten Island,5031C,,9,503.0,62.0,No Util Conflict Present,76
46C04E41-DA66-4862-BB1E-2FE468946810,,1 F,No Wood Debris,,,,NaT,,Tree Plant-Street Tree,37.0,HUDSON STREET,,MN24 /,VARICK STREET,Manhattan,1021B,,10,102.0,66.0,No Util Conflict Present,1
5A79C959-A83E-4DEB-B29C-590560458857,,1f,No Wood Debris,,,,NaT,,Block Pruning,,133AV,,/,83 ST,Queens,4101C,,41,410.0,23.0,Electric Utility Open,64
757CDF75-4B06-4039-BEEE-1211189874EB,,,No Wood Debris,6.0,,,NaT,2020-07-29T14:16:48,Tree Removal,,28 AVENUE,,/,,Queens,4075E,,20,407.0,,No Util Conflict Present,67
7FED6E85-42DB-4F1D-9273-4F90223BB3BE,,65 Z LPA 72X72 [COLLEGE POINT FIELDS] PRUNUS MATCH,No Wood Debris,,,,,,Tree Plant-Park Tree,,X,,/,,Queens,4075E,,20,407.0,,No Util Conflict Present,67
DFB0E6E0-AA21-498B-A1A6-B01A4D0BEABC,,,No Wood Debris,8.0,,,,2025-08-05T15:31:48,Tree Removal,,,,/,,Bronx,,,12,210.0,,No Util Conflict Present,28
5882145E-11E1-49B1-8DA7-0E2930CC4EC7,,1F,No Wood Debris,,,,NaT,,Block Pruning,,ALBERTROAD,,/,REDDING ST,Queens,4101C,,41,410.0,23.0,Electric Utility Open,64
AE10ADA4-7C17-4335-8CD3-A982D697D5BF,,,All Wood Removed,8.0,,,NaT,2020-03-04T16:19:36,Pruning,,/,,/,,Bronx,,,22,227.0,,No Util Conflict Present,32
18442AC4-0B17-4FD0-BE38-546C56C604E9,,1F,No Wood Debris,,,,NaT,,Block Pruning,,161PLACE,,/,161 PL,Queens,4127C,,46,412.0,32.0,Electric Utility Open,71
19C61E92-5584-4B5D-A163-533A49E26728,,,No Wood Debris,8.0,,,NaT,2023-03-30T19:10:55,Pruning,,/,,/,,Bronx,,,12,228.0,,No Util Conflict Present,28
40E39475-E19D-426E-9A01-388D9C1882F6,,,No Wood Debris,,,,,,Block Pruning,,,,/,W MOSHOLU PKWY N,Bronx,2073A,,40,207.0,80.0,No Util Conflict Present,34
FEDE92E0-F58C-4B8B-A334-27AA847E4350,,1F,No Wood Debris,,,,NaT,,Block Pruning,379.0,105 STREET,,North Corona,35 AV,Queens,4033C,,21,403.0,35.0,Electric Utility Open,73
D58F49E7-0CB7-440E-85DA-5B4C2041F15B,,1S,No Wood Debris,,,,NaT,,Block Pruning,,3AVENUE,,/,E 14 ST,Manhattan,1061A,,50,106.0,74.0,No Util Conflict Present,7
2B6C64A0-0205-46B8-944C-6A3658136B60,,3M,No Wood Debris,,,,NaT,,Stump Removal,,WESTHOUSTONSTREET,,/,W HOUSTON ST,Manhattan,1021J,,32,102.0,66.0,No Util Conflict Present,1
3E1D8383-0EC6-4917-85AB-163A15B66CE1,,,No Wood Debris,,,1.0,NaT,,Stump Removal,22.0,PEARSALLAVENUE,,BK32 /,PEARSALL AV,Bronx,2113D,,12,211.0,80.0,No Util Conflict Present,32
403A8393-C721-40F6-8506-874124CE98C3,,SOUTH SIDE,No Wood Debris,,,,NaT,,Block Pruning,,*,,/,,Queens,4123D,,6,412.0,,No Util Conflict Present,61
FAC328C1-3C35-405A-84AA-4396F9DF1F01,,1S,No Wood Debris,9.0,,,NaT,,Tree Removal,,VLEIGHPLACE,,/,ALLEY,Queens,4083C,,24,408.0,27.0,No Util Conflict Present,65
34C6A0C8-F169-40AF-BA7B-2FE69B0CC3E6,,CROTONA PARK EAST,No Wood Debris,,,,NaT,2022-05-27T00:00:00,Block Pruning,,/,,/,,Bronx,2031A,,43,203.0,,No Util Conflict Present,25
CE9C6E2B-F116-4464-8CBA-51443072C799,,3S,No Wood Debris,,,,NaT,,Block Pruning,,69Street,,/,69 ST,Queens,4055E,,34,405.0,30.0,No Util Conflict Present,62
33F58A53-840C-449A-BE51-712537A74032,,[MAP],No Wood Debris,,,,NaT,,Block Pruning,,,,/,E 149 ST,Bronx,2012A,,35,201.0,84.0,No Util Conflict Present,23
15833B9F-C340-4C9B-B822-1E0BCDCA088C,,2s,No Wood Debris,,,,NaT,,Block Pruning,268.0,20 Ave,,Bensonhurst,74 ST,Brooklyn,3112E,,45,311.0,49.0,No Util Conflict Present,37
0EDFEAA0-466B-410B-8AF7-771E16BC4930,,,No Wood Debris,,,,NaT,,Stump Removal,,CRAFTON,,/,PURDY AVENUE,Staten Island,5014D,,14,501.0,63.0,No Util Conflict Present,75
45111461-83C9-4C84-AF47-51FA61D69C9F,,[MAP],No Wood Debris,,,,NaT,,Block Pruning,,,,/,25 AV,Queens,4075E,,20,407.0,27.0,No Util Conflict Present,67
BCA9B2FF-9EC2-47C9-85BF-437D0755EE0F,,,No Wood Debris,,,,NaT,,Tree and Sidewalk Repair,840.0,133 AVENUE,,South Ozone Park,122 PLACE,Queens,4102E,,41,410.0,31.0,No Util Conflict Present,64
E17016D4-3075-4373-895A-5BB5EE6194F0,,15 XA LP 80X80 LARGE CML [SPECIAL REQ],No Wood Debris,,,,NaT,,Tree Plant-Street Tree,,NORTHCONDUITAVENUE,,/,,Queens,4102E,VOID-NO FAA PERMIT,41,410.0,,No Util Conflict Present,64
31A5BAF5-58F2-438E-814F-636E99BE9056,,1f,Unprocessed Wood,7.0,Acer - maple,1.0,NaT,,Hanging Limb,,EAST71STREET,,/,E 71 ST,Brooklyn,3184C,,8,318.0,59.0,No Util Conflict Present,38
65640B8B-3458-4A2B-A92B-49AEE3BAB748,,38450,No Wood Debris,6.0,,,NaT,,Tree Removal,,9AVENUE,,/,WEST  207 STREET,Manhattan,1124A,,39,112.0,72.0,No Util Conflict Present,22
2A634876-E776-4D3A-A8A9-93681F9FD5F6,,EAST CENTRAL,No Wood Debris,,Catalpa - catalpa,,NaT,,Block Pruning,,*,,/,,Brooklyn,3054E,,25,305.0,,No Util Conflict Present,47
E86D8EA2-535E-41C1-8D79-C4DF7DC57D42,,,No Wood Debris,8.0,,,NaT,2020-02-06T13:56:17,Pruning,,0,,/,,Queens,4072E,,3,407.0,,No Util Conflict Present,67
