globalid,crewglobalid,locationdetails,wowoodremains,wopriority,recommendedspecies,sidewalkdamage,projstartdate,sanitationassigneddate,wotype,census_tract,streetname,canceldate,nta,crossstreet2,boroughcode,sanitationzone,cancelreason,:@computed_region_92fq_4b7q,communityboard,stateassembly,wowireconflict,:@computed_region_sbqj_enih
52DACA4D-9913-4B5B-BD2B-43DC938FABB9,,2F,No Wood Debris,,,,NaT,,Block Pruning,284.0,20 AV,,Bensonhurst,82 ST,Brooklyn,3113D,,45,311.0,49.0,No Util Conflict Present,37
78F279C3-E516-47B9-84FF-5B7E0A126EE1,,96x62 TG,No Wood Debris,,,,NaT,,Misc Work,,GRANDAVENUE,,/,71 STREET,Queens,4055E,,34,405.0,30.0,No Util Conflict Present,62
3C86AE9B-6355-45E7-99DB-48FD724D0289,,1f,No Wood Debris,,,,NaT,,Block Pruning,,75AV,,/,75 AV,Queens,4083D,,24,408.0,27.0,No Util Conflict Present,65
36D01DA9-55D4-462F-BE9D-5B727E98020E,,"1F 24 LP, DW PRUNE, BUS STOP",No Wood Debris,8.0,,,NaT,,Pruning,,BAYSIDEAVENUE,,/,BAYSIDE AV,Queens,4077E,,20,407.0,40.0,All Conflicts Resolved,67
85144892-E24C-43D7-8C8A-64B85BF03062,,[MAP],No Wood Debris,,,,NaT,,Block Pruning,,,,/,153 ST,Queens,4126C,,46,412.0,32.0,No Util Conflict Present,71
F464DB0E-B0CF-43EF-A6F1-12A3892A35F4,,1F,No Wood Debris,,,,NaT,,Block Pruning,12.0,86 AVENUE,,Woodhaven,DEAD END,Queens,4092D,,41,409.0,38.0,Electric Utility Open,60
1EC035FF-CB5A-4548-8A61-12FAD0BBAF9F,,1F,No Wood Debris,,,,NaT,,Block Pruning,,EAST55STREET,,/,E 55 ST,Brooklyn,3173C,,17,317.0,58.0,No Util Conflict Present,40
F530808A-B854-4936-8C1B-633C83D147B8,,"1s, on 89 st",No Wood Debris,,,,NaT,,Block Pruning,,107ave,,/,89 ST,Queens,4101D,,41,410.0,23.0,Electric Utility Open,64
60ED0163-DE83-4429-8DBA-75E802AC3544,,1F,No Wood Debris,,,1.0,NaT,,Stump Removal,,EAST238STREET,,/,KEPLER AV,Bronx,2124C,,40,212.0,81.0,No Util Conflict Present,30
E701B10C-6D9B-4E16-9466-45767F1EB6B6,,NORTH EAST CORNER,No Wood Debris,,,,NaT,,Block Pruning,,*,,/,,Bronx,2011B,,43,201.0,,No Util Conflict Present,23
E826BA97-93D9-4495-AFED-1173826D5FF9,,2f,No Wood Debris,,,,NaT,,Block Pruning,,EAST101STREET,,/,LEXINGTON AV,Manhattan,1111A,,35,111.0,68.0,No Util Conflict Present,14
9C315A33-5E70-4AD7-96F4-5C39B16E5807,,1F,No Wood Debris,,,,NaT,,Block Pruning,,FOXSTREET,,/,FOX ST,Bronx,2021B,,43,202.0,85.0,No Util Conflict Present,24
51ACE051-875E-4A2D-8D3B-5085206B61D2,,,No Wood Debris,7.0,,,NaT,,Tree Removal,,,,/,ELKMONT AV,Queens,4132C,,16,413.0,24.0,No Util Conflict Present,63
B80A099E-85C7-493B-8BA2-AF8C4DAAEC3E,,across from CS,No Wood Debris,7.0,,,NaT,,Pruning,,,,/,BROOKVILLE BLVD,Queens,4138D,,47,413.0,31.0,No Util Conflict Present,63
CDC9F0B6-A28A-4FFB-BB97-4C826AB3B9FF,,,No Wood Debris,8.0,,,NaT,,Tree Removal,,,,/,BEAVER RD,Queens,4123C,,6,412.0,32.0,No Util Conflict Present,61
C8488FA1-F305-46EE-8952-629EFD4577D2,,2F,No Wood Debris,,,,NaT,,Block Pruning,,DEANSTREET,,/,NEW YORK AV,Brooklyn,3082A,,49,308.0,56.0,Electric Utility Open,49
0B1F340D-F1BE-4AC6-BBA0-68BD2E0975D0,,2F,No Wood Debris,,,,NaT,,Block Pruning,,75ROAD,,/,75 RD,Queens,4083C,,24,408.0,27.0,No Util Conflict Present,65
8DF6946E-D981-4858-863C-16F224152116,,2S,No Wood Debris,,,,NaT,,Block Pruning,,IRVINGPLACE,,/,IRVING PL,Manhattan,1061A,,50,106.0,74.0,No Util Conflict Present,7
D2F5E5AB-7422-4BAD-AEB5-CF776B8800E9,,[MAP],No Wood Debris,,,,NaT,,Block Pruning,,,,/,GUY R BREWER BLVD,Queens,,,46,412.0,32.0,No Util Conflict Present,71
82470F7F-A086-4EA4-A76B-5A3DD169CA15,,1.OX 2428 Burnett st,Unprocessed Wood,9.0,,,NaT,,Pruning,,,,/,STUART ST,Brooklyn,,,8,318.0,59.0,No Util Conflict Present,38
9641FDF6-92A5-4685-8A48-5517E749EB7D,,3F,No Wood Debris,8.0,,,NaT,,Pruning,,PURDY,,/,,Staten Island,,,14,501.0,,No Util Conflict Present,75
7D449096-4107-4818-AC38-4D930AA28292,,3P,No Wood Debris,,,,NaT,,Block Pruning,132.0,73 STREET,,Dyker Heights,,Brooklyn,3104D,,44,310.0,,No Util Conflict Present,41
F8E4BD1E-BE70-4CC5-906A-4B79EA4F30B7,,1F,No Wood Debris,,,,NaT,,Block Pruning,664.03,258 STREET,,Rosedale,CRAFT AV,Queens,4137D,,47,413.0,29.0,Electric Utility Open,63
EB72A96F-2DB5-4255-8403-4D7905344826,,1R,No Wood Debris,,,,NaT,,Pest & Disease Treatment,,COUNTRYLANE,,/,PRATT CT,Staten Island,5035C,,9,503.0,63.0,No Util Conflict Present,77
2B3EDB26-386F-42A8-B560-484B3B1E35B5,,,No Wood Debris,,,,NaT,,Block Pruning,641.02,FOREST PARK,,QN99 /,,Queens,,,34,482.0,,No Util Conflict Present,60
0F830D8E-208C-4BA7-8632-4D8177DE0B35,,,No Wood Debris,6.0,,,NaT,,Tree Removal,,WEST182STREET,,/,W 182 ST,Bronx,2051A,,29,205.0,86.0,No Util Conflict Present,29
9C2F0E90-2EB9-4859-B93F-DC1402B81C12,,,All Wood Removed,9.0,,,NaT,2019-02-02T13:40:50,Pruning,,,,/,,Bronx,2103D,,12,210.0,,No Util Conflict Present,28
109B4CF1-9725-49AB-8B93-7C92418839D2,,,Unprocessed Wood,5.0,,,NaT,,Tree Removal,,,,/,E MOSHOLU PKWY N,Bronx,2073A,,40,207.0,80.0,No Util Conflict Present,34
8D1999C1-267E-4834-ACE9-AF5FA993D0A4,,SW CORNER,No Wood Debris,,,,NaT,2019-09-18T12:30:13,Block Pruning,,,,/,,Manhattan,1043B,,10,104.0,,No Util Conflict Present,10
0DBA27C0-62BF-404E-B1BA-6C10D9297A74,,1F,No Wood Debris,,,,NaT,,Block Pruning,,246PLACE,,/,61 AV,Queens,4115E,,16,411.0,26.0,No Util Conflict Present,69
60C6CC23-8721-4986-AEBC-76EC74361065,,1F,No Wood Debris,,,,NaT,,Block Pruning,,142STREET,,/,142 ST,Queens,4126C,,46,412.0,31.0,Electric Utility Open,71
46BF0FBB-9E07-47A6-8D8C-531C3F6DEAF7,,,No Wood Debris,7.0,,,,,Tree Removal,,,,/,WILKINSON AV,Bronx,,,12,228.0,82.0,No Util Conflict Present,28
287FA219-8575-48F7-9258-A94D8ADFEC2D,,,All Wood Removed,,,,NaT,2023-01-16T17:18:00,Stump Removal,,00000,,/,,Queens,4081D,,16,408.0,,No Util Conflict Present,65
32A86B3A-A2F0-4696-9867-5BEC42480FD3,,1F,No Wood Debris,,,,NaT,,Block Pruning,,52ROAD,,/,ALLEY,Queens,4055E,,34,405.0,30.0,No Util Conflict Present,62
D7A08E48-4CA7-4D37-9C29-205F1D57128B,,1f,No Wood Debris,,,,NaT,,Block Pruning,,CARROLLSTREET,,/,HOYT ST,Brooklyn,3061C,,27,306.0,52.0,No Util Conflict Present,48
F83DB0B3-534D-49AC-B58C-9E0B3565D5AC,,WESTSIDE,No Wood Debris,,Prunus - Cherry,,NaT,,Block Pruning,,*,,/,,Brooklyn,3054C,,25,305.0,,No Util Conflict Present,47
E8E890F9-C7B2-4CBE-80CA-7628F557190E,,1f,No Wood Debris,,,,NaT,,Block Pruning,,78AV,,/,78 AV,Queens,4083E,,24,408.0,27.0,No Util Conflict Present,65
F2F5470B-8A80-4E58-95F3-4D879F4F123F,,Malls,No Wood Debris,,,,NaT,2016-11-17T17:02:00,Tree Removal,,Broadway,,/,,Manhattan,,,23,109.0,,No Util Conflict Present,19
B25109F0-485F-4A22-B3F8-5818C326341B,,1f,No Wood Debris,,,,NaT,,Block Pruning,,77STREET,,/,ATLANTIC AVENUE,Queens,4091C,,41,409.0,38.0,Electric Utility Open,60
AA4D4290-FA87-43A5-B25B-764B87D52F77,,1S,No Wood Debris,,,,NaT,,Block Pruning,,STMARKSAVE,,/,ROGERS AVENUE,Brooklyn,3082A,,49,308.0,43.0,No Util Conflict Present,49
C3753D1E-63DC-4584-99A6-4018365276E6,,,No Wood Debris,,,,NaT,,Stump Removal,,,,/,,Brooklyn,3104C,,44,310.0,,No Util Conflict Present,41
5D187112-25B9-4BC0-AF18-10171DD36495,,CENTRAL,No Wood Debris,,,,NaT,,Stump Removal,,*,,/,,Bronx,2061B,,22,206.0,,No Util Conflict Present,31
827E930C-E167-4DF9-A413-5B11025A24B5,,1F NP MON-FRI 7AM-7PM,No Wood Debris,8.0,,,NaT,,Tree Removal,,DEANSTREET,,/,3 AVENUE,Brooklyn,3022K,,38,302.0,52.0,No Util Conflict Present,54
CF3EB518-61DF-4D6A-9995-5DBD2C2811B5,,1F,No Wood Debris,,,,NaT,,Block Pruning,,154STREET,,/,154 ST,Queens,4127C,,46,412.0,32.0,Electric Utility Open,71
5F9A0DE5-6A7C-4A18-953C-6AE83EBF0911,,2S,No Wood Debris,,,,NaT,,Block Pruning,,KINGSTREET,,/,VARICK ST,Manhattan,1021B,,10,102.0,66.0,No Util Conflict Present,1
3D6460E1-D6C2-44B6-BA9D-14483D79D1BC,,,No Wood Debris,,,,,,Stump Removal,,,,/,,Bronx,,,12,228.0,,No Util Conflict Present,28
6FA634E6-3DF0-426D-BED2-6B9AF41CF75D,,,No Wood Debris,8.0,,,NaT,,Pruning,,,,/,FULTON AV,Bronx,2031B,,43,203.0,79.0,No Util Conflict Present,25
12D17D25-FF3A-4B74-849E-7418D9BD60B9,,1F,No Wood Debris,,,,NaT,,Block Pruning,,JAVASTREET,,/,JAVA ST,Brooklyn,3011B,,38,301.0,50.0,No Util Conflict Present,57
D25BAED8-9353-4A2E-9BC7-5D70551EF263,,1f,No Wood Debris,,,,NaT,,Block Pruning,,3STREET,,/,SMITH ST,Brooklyn,3061C,,27,306.0,52.0,No Util Conflict Present,48
0CC7195E-6B6B-4095-AD0E-F90BFCA75594,,NORTH CENTER,No Wood Debris,,,,NaT,,Block Pruning,,*,,/,,Bronx,2012A,,35,201.0,,No Util Conflict Present,23
3CA4717F-8282-4678-867B-4BA880A95411,,1f,No Wood Debris,,,,NaT,,Block Pruning,,TOMPKINSPLACE,,/,TOMPKINS PL,Brooklyn,3062C,,27,306.0,52.0,No Util Conflict Present,48
C8625AB6-4592-4695-8AD2-53FEBB1FA08E,,1F,No Wood Debris,,,,NaT,,Block Pruning,,69AVENUE,,/,DOUGLASTON PARKWAY,Queens,4115E,,16,411.0,26.0,No Util Conflict Present,69
A4B872A3-66EF-4B4D-9144-6631A1E9D207,,"48"" Oak. Remove deadwood",Unprocessed Wood,9.0,,,NaT,,Pruning,,,,/,233 ST,Queens,4138D,,47,413.0,31.0,No Util Conflict Present,63
0F1E187C-BB2C-470B-A311-CBC0BFDAC433,,,No Wood Debris,,,,NaT,,Stump Removal,,,,/,232 ST,Queens,4138D,,47,413.0,31.0,No Util Conflict Present,63
331CCB27-1A84-4C84-822D-6FE0C041D1BD,,Right side,No Wood Debris,,,,NaT,,Block Pruning,,*,,/,,Brooklyn,3033B,,49,303.0,,No Util Conflict Present,52
B48AAA79-7829-4673-A0D5-52957F58A9EB,,1f,No Wood Debris,,,,NaT,,Block Pruning,,WEST115STREET,,/,W 115 ST,Manhattan,1091B,,23,109.0,69.0,No Util Conflict Present,17
E85BD092-C34B-4DAE-BDDE-CD03FEF75B12,,,All Wood Removed,,,,NaT,2015-06-17T14:25:08,Pruning,,,,/,,Brooklyn,3115E,,44,311.0,,No Util Conflict Present,37
EFDF38DD-3576-421D-B925-4A70420B0A6C,,,No Wood Debris,,,,NaT,,Stump Removal,,PARKAVENUE,,/,JACKSON HOUSES PEDESTRIAN PATH,Bronx,2011B,,43,201.0,79.0,No Util Conflict Present,23
A7CF22B5-2EB0-4425-A86D-7088AD994526,,,No Wood Debris,9.0,,,NaT,,Tree Removal,,84STREET,,/,133 AVENUE,Queens,4101C,,41,410.0,23.0,No Util Conflict Present,64
C3955FCF-762D-4798-96B2-101737BC4FBA,,"6F. 14"" Norway. Tagged",Unprocessed Wood,8.0,,,NaT,,Tree Removal,,147STREET,,/,ROCKAWAY BLVD,Queens,4126C,,46,412.0,32.0,Electric Utility Pending,71
