peer_0_of_range_8,peer_0_of_range_16,peer_percent_of_range_16,ela_unadjusted_growth,peer_100_of_range_14,ela_level_2,peer_100_of_range_1,dbn,math_level_3_4,peer_100_of_range_3,peer_percent_of_range_17,peer_percent_of_range_15,peer_100_of_range_9,peer_percent_of_range,peer_percent_of_range_4,engagement,enrollment,peer_percent_of_range_10,peer_0_of_range_1,peer_100_of_range_8
0.0,6.9,0.833,40.0,7.7,0.115,59.4,75K369,0.012,57.3,0.826,1.0,1.0,0.663,0.409,8.0,509,0.222,10.2,0.226
0.0,6.7,0.1,24.0,8.6,0.042,55.6,75K140,0.0,66.6,0.0,0.35,1.0,0.241,0.0,7.3,284,0.0,2.6,0.222
0.0,6.7,0.8,22.5,8.6,0.075,49.9,75X186,0.042,62.4,0.8,0.85,1.0,0.199,0.583,8.3,549,0.618,4.7,0.218
0.0,6.7,0.611,53.5,8.3,0.17,52.2,75Q075,0.053,59.5,0.39,0.688,1.0,1.0,0.611,7.8,410,0.757,8.6,0.24
0.0,6.8,0.643,34.5,7.8,0.074,58.7,75M169,0.022,47.7,0.72,0.917,1.0,0.551,0.308,7.9,283,0.524,16.3,0.228
