driver,d_purpose_category,hh_member_4,hh_member_11,mode_4,analyst_split_loop,hh_member_9,hh_member_1,mode_3,analyst_split,num_travelers,analyst_merge,park_cost,arrive_time
995,8,995,995,995,0,995,1900904001,995,0,2,0,,2019-06-08T17:59:34.000
995,8,1900765004,995,995,0,995,1900765001,995,0,8,0,,2019-06-02T12:07:21.000
1,2,995,995,995,0,995,1900526701,995,0,1,0,,2019-06-11T11:01:43.000
1,10,0,995,995,0,995,1900773701,995,0,1,0,,2019-06-07T13:55:10.000
1,1,995,995,995,1,995,1900845801,995,0,1,0,,2019-05-30T17:33:09.000
995,-9998,995,995,995,0,995,1900199001,995,0,-9998,0,,2019-06-04T13:14:11.000
995,10,995,995,995,0,995,1900904001,995,0,2,0,,2019-06-10T14:58:59.000
1,6,995,995,995,0,995,1900158301,995,0,1,0,,2019-06-10T16:09:28.000
1,6,995,995,995,0,995,1900526701,995,0,1,0,,2019-06-09T16:33:57.000
995,7,0,995,995,0,995,1900422601,995,0,2,0,,2019-06-11T12:05:13.000
1,1,995,995,995,0,995,1901231201,995,0,1,0,,2019-06-08T12:50:09.000
995,8,995,995,995,0,995,1900785401,995,0,3,0,,2019-06-03T13:39:40.000
1,5,995,995,995,0,995,1900987001,995,1,1,0,,2019-06-04T17:08:48.000
1,6,995,995,995,0,995,1900889601,995,0,1,0,,2019-06-08T17:03:36.000
1,5,995,995,995,0,995,1900526701,995,0,1,0,,2019-06-11T18:22:58.000
1,1,995,995,995,0,995,1900728301,995,0,1,0,,2019-06-11T10:11:11.000
1,1,995,995,995,0,995,1900447401,995,0,1,0,,2019-05-28T20:32:32.000
1,7,995,995,995,0,995,1900447401,995,0,1,0,,2019-05-30T17:23:36.000
1,1,995,995,995,0,995,1900230101,995,0,1,0,,2019-06-12T16:55:01.000
1,7,0,995,995,0,995,1900422601,995,0,1,0,,2019-06-15T10:28:15.000
1,1,995,995,995,0,995,1900526701,995,0,1,0,,2019-06-12T19:27:57.000
1,8,995,995,995,0,995,1900904001,995,0,1,0,,2019-06-07T17:37:27.000
995,8,995,995,995,1,995,1900785401,995,0,3,0,,2019-06-06T14:53:46.000
1,6,995,995,995,0,995,1900948201,995,0,1,0,,2019-06-14T13:22:19.000
