nyc_building_identification_number_bin,last_modified_date_property_use,hospital_general_medical_surgical_percent_that_can_be_cooled,reason_s_for_no_score,parking_partially_enclosed_parking_garage_size_ft,non_refrigerated_warehouse_gross_floor_area_ft,worship_facility_gross_floor_area_ft,data_center_pue,multifamily_housing_number_of_bedrooms,primary_property_type_self_selected,electricity_use_grid_purchase_and_generated_from_onsite_renewable_systems_kwh,hospital_general_medical_surgical_number_of_mri_machines,number_of_active_energy_meters_used_to_compute_metrics,alert_energy_meter_has_gaps,hospital_general_medical_surgical_full_time_equivalent_fte_workers,data_center_it_energy_configuration,wholesale_club_supercenter_gross_floor_area_ft,electricity_use_grid_purchase_kbtu,self_storage_facility_gross_floor_area_ft,data_center_national_median_pue,parent_property_id,municipally_supplied_potable_water_indoor_use_kgal,parking_gross_floor_area_ft,national_median_total_ghg_emissions_metric_tons_co2e,restaurant_weekly_operating_hours,alert_energy_no_meters_selected_for_metrics,office_weekly_operating_hours,weather_normalized_site_energy_use_kbtu,energy_power_station_gross_floor_area_ft,fitness_center_health_club_gym_gross_floor_area_ft,residence_hall_dormitory_gross_floor_area_ft,last_modified_date_property,temporary_values,diesel_2_use_kbtu,performing_arts_gross_floor_area_ft,energy_star_certification_eligibility,medical_office_gross_floor_area_ft,bank_branch_gross_floor_area_ft,hospital_general_medical_surgical_staffed_bed_density_number_per_1_000_sq_ft,electricity_use_generated_from_onsite_renewable_systems_and_exported_kwh,district_hot_water_use_kbtu,data_center_pdu_output_meter_kwh
2021972,08/17/2020 04:20 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,323040,Not Available,3,Ok,Not Available,Not Available,Not Available,1102212.5,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,455.7,Not Available,Ok,Not Available,6157231.5,Not Available,Not Available,Not Available,04/20/2021 10:45 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
3154775,08/11/2020 05:35 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,545600,Not Available,3,Ok,Not Available,Not Available,Not Available,1861587.2,Not Available,Not Available,Not Applicable: Standalone Property,427.1,Not Available,739.7,Not Available,Ok,Not Available,8756931,Not Available,Not Available,Not Available,05/03/2021 01:32 PM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
3095254,08/17/2020 03:49 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,261200,Not Available,3,Ok,Not Available,Not Available,Not Available,891214.4,Not Available,Not Available,Not Applicable: Standalone Property,365.9,Not Available,528.1,Not Available,Ok,Not Available,5098019.1,Not Available,Not Available,Not Available,05/05/2021 08:53 AM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
4302397,08/11/2020 05:36 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,421920,Not Available,2,Ok,Not Available,Not Available,Not Available,1439591,Not Available,Not Available,Not Applicable: Standalone Property,299.2,Not Available,455,Not Available,Ok,Not Available,5335579.1,Not Available,Not Available,Not Available,05/04/2021 11:47 AM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2052739,08/17/2020 04:20 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,289120,Not Available,3,Ok,Not Available,Not Available,Not Available,986477.4,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,320.2,Not Available,Ok,Not Available,4129359.1,Not Available,Not Available,Not Available,04/20/2021 10:46 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1046946,07/29/2020 07:38 AM EDT,Not Available,More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country),Not Available,Not Available,Not Available,Not Available,Not Available,Museum,3064979,Not Available,3,Ok,Not Available,Not Available,Not Available,10457706.9,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,494.2,Not Available,Ok,Not Available,31644227.2,Not Available,Not Available,Not Available,04/19/2021 04:56 PM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2115801,08/05/2020 05:49 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,8400,Not Available,1,Ok,Not Available,Not Available,Not Available,28660.8,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,48.2,Not Available,Ok,Not Available,28660.8,Not Available,Not Available,Not Available,05/05/2021 09:27 AM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
4005016;4005018,02/02/2021 12:10 PM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Office,8570250,Not Available,3,Ok,Not Available,Not Available,Not Available,29241691.8,Not Available,Not Available,Not Applicable: Standalone Property,6028.5,Not Available,9355.7,60,Ok,44.74,Not Available,Not Available,Not Available,Not Available,07/06/2021 04:19 PM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2005133,08/11/2020 05:35 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,538800,Not Available,3,Ok,Not Available,Not Available,Not Available,1838385.6,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,1046.8,Not Available,Ok,Not Available,9308273.2,Not Available,Not Available,Not Available,05/04/2021 01:11 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
3036289,08/17/2020 04:20 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,583600,Not Available,3,Ok,Not Available,Not Available,Not Available,1991243.2,Not Available,Not Available,Not Applicable: Standalone Property,105.4,Not Available,811.8,Not Available,Ok,Not Available,7555317.1,Not Available,Not Available,Not Available,05/03/2021 02:19 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
4008220,08/12/2020 09:16 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,690800,Not Available,3,Ok,Not Available,Not Available,Not Available,2357009.5,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,599.7,Not Available,Ok,Not Available,9765187.1,Not Available,Not Available,Not Available,04/21/2021 02:18 PM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
