maprojid,commit_ccnonexempt,adopt_nccother,typecategory,totalplannedcommit,adopt_nccfederal,maxdate,commit_noncitycost,commit_total,allocate_nccstate,commit_citycost,spent_total,commit_nccstate,magencyname,allocate_ccnonexempt,nccstate,magencyacro
850PW311BLS,5022269.59,0.0,Lump Sum,0,0.0,2026-06-01T00:00:00.000,0.0,120.03,0.0,120.03,6474950.0,0.0,Department of Design and Construction,183610.41,0,DDC
806HAM23B2CC,0.0,0.0,Fixed Asset,460000,0.0,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,Housing Preservation and Development,460000.0,0,HPD
827SAND26MBS,987380.89,0.0,,4372000,3378000.0,2026-06-01T00:00:00.000,0.0,40018.57,0.0,40018.57,987380.89,0.0,Department of Sanitation,993600.54,0,DSNY
846SANDY2-14,56582.16,0.0,Fixed Asset,390000,1386000.0,2030-06-01T00:00:00.000,292460.04,341928.26,0.0,49468.22,806222.2,0.0,Department of Parks and Recreation,49949.62,0,DPR
806HAM24CHBR,0.0,0.0,Fixed Asset,38909000,0.0,2031-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,Housing Preservation and Development,38948000.0,0,HPD
850SANDHW19,0.0,0.0,Fixed Asset,1123000,1124000.0,2030-06-01T00:00:00.000,0.0,0.0,0.0,0.0,506.17,0.0,Department of Design and Construction,129000.0,0,DDC
850MED-616,0.0,0.0,Fixed Asset,0,0.0,2026-06-01T00:00:00.000,0.0,45863.18,0.0,45863.18,349982.29,0.0,Department of Design and Construction,0.0,0,DDC
850HWPLZ006X,114444.01,0.0,Fixed Asset,19140000,1000000.0,2029-06-01T00:00:00.000,0.0,1246555.99,0.0,1246555.99,114444.01,0.0,Department of Design and Construction,18140000.0,0,DDC
801HWQ662D,2727140.64,0.0,Fixed Asset,0,0.0,2033-06-01T00:00:00.000,0.0,0.0,0.0,0.0,4740883.8,0.0,Department of Small Business Services,3859.36,0,SBS
81929201640,2059710.36,0.0,Fixed Asset,413000,0.0,2027-06-01T00:00:00.000,0.0,26918.63,0.0,26918.63,2059710.36,0.0,Health and Hospitals Corporation,413371.01,0,HHC
072C75K9UNIT,3588637.08,0.0,Fixed Asset,282000,0.0,2028-06-01T00:00:00.000,0.0,220677.94,0.0,220677.94,3588637.08,0.0,Department of Correction,702684.98,0,DOC
826ACEDEP502,6421537.0,0.0,Fixed Asset,61000,0.0,2028-06-01T00:00:00.000,0.0,0.0,0.0,0.0,6931253.9,0.0,Department of Environmental Protection,53463.0,0,DEP
042LM058-995,128515.3,0.0,Fixed Asset,0,0.0,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,128515.3,0.0,City University of New York,27484.7,0,CUNY
801LOWMANHUD,3260243.24,0.0,,503000,154573000.0,2033-06-01T00:00:00.000,582106.42,582353.3,0.0,246.88,163278941.62,0.0,Department of Small Business Services,3756.76,0,SBS
826FACIL-DEP,0.0,0.0,Lump Sum,15832000,0.0,2029-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,Department of Environmental Protection,17832000.0,0,DEP
850HLDNTOMO,0.0,0.0,Fixed Asset,2000,0.0,2035-06-01T00:00:00.000,0.0,820299.0,0.0,820299.0,0.0,0.0,Department of Design and Construction,1701.0,0,DDC
846P-400ZO19,0.0,0.0,Fixed Asset,0,0.0,2032-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,Department of Parks and Recreation,220000.0,0,DPR
850CONISPH04,1109432.57,0.0,Lump Sum,30800000,0.0,2027-06-01T00:00:00.000,0.0,958715.4,0.0,958715.4,2799432.57,0.0,Department of Design and Construction,12083000.0,0,DDC
850HWMM100,0.0,0.0,Fixed Asset,6480000,0.0,2030-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,Department of Design and Construction,6785000.0,0,DDC
846P-302GLAF,1076088.94,0.0,Fixed Asset,0,0.0,2028-06-01T00:00:00.000,0.0,294244.46,0.0,294244.46,2076088.94,0.0,Department of Parks and Recreation,-333.4,0,DPR
850HLDNTRANS,70410.0,0.0,"ITT, Vehicles, and Equipment",0,0.0,2027-06-01T00:00:00.000,0.0,0.0,0.0,0.0,70410.0,0.0,Department of Design and Construction,-410.0,0,DDC
850HLQNFHH05,0.0,0.0,"ITT, Vehicles, and Equipment",0,0.0,2029-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,Department of Design and Construction,0.0,0,DDC
850SEQ200490,11845826.68,0.0,Fixed Asset,140000,0.0,2025-10-01T00:00:00.000,0.0,65727.51,0.0,65727.51,14532042.58,0.0,Department of Design and Construction,162500.43,0,DDC
850PWD9SHEM1,0.0,0.0,"ITT, Vehicles, and Equipment",1100000,0.0,2029-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,Department of Design and Construction,1100000.0,0,DDC
846P-4AQAFRG,98646.43,0.0,,51000,0.0,2029-06-01T00:00:00.000,0.0,0.0,0.0,0.0,98646.43,0.0,Department of Parks and Recreation,51353.57,0,DPR
039LQAUB-FFE,0.0,0.0,"ITT, Vehicles, and Equipment",52000,0.0,2027-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,Queens Borough Public Library,52000.0,0,QPL
850HWK1048C,9873000.89,2000.0,"ITT, Vehicles, and Equipment",81000,2234000.0,2032-06-01T00:00:00.000,1111.0,1329996.61,5180000.0,1328885.61,12106245.89,5180000.0,Department of Design and Construction,16561113.5,0,DDC
039LQCS-CCTV,0.0,0.0,"ITT, Vehicles, and Equipment",66000,0.0,2031-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,Queens Borough Public Library,66000.0,0,QPL
850SE-796,7279891.97,0.0,Fixed Asset,371000,0.0,2031-06-01T00:00:00.000,0.0,329963.15,0.0,329963.15,28648616.1,0.0,Department of Design and Construction,3644608.03,0,DDC
111BIC4SALEF,970617.95,0.0,,0,0.0,2026-06-01T00:00:00.000,0.0,19799.28,0.0,19799.28,970617.95,0.0,Unknown,-20417.23,0,UK
826JA-179-L,0.0,0.0,"ITT, Vehicles, and Equipment",10948000,0.0,2030-06-01T00:00:00.000,0.0,19675779.07,0.0,19675779.07,29347616.82,0.0,Department of Environmental Protection,0.0,0,DEP
801MOOREROOF,179962.54,0.0,Fixed Asset,2406000,0.0,2027-06-01T00:00:00.000,0.0,1858007.46,0.0,1858007.46,179962.54,0.0,Department of Small Business Services,2405030.0,0,SBS
801CAROUSEL,2034375.84,0.0,,0,0.0,2033-06-01T00:00:00.000,0.0,0.0,0.0,0.0,2034375.84,0.0,Department of Small Business Services,624.16,0,SBS
846P-1CRACKA,70855.7,0.0,,4000,0.0,2028-06-01T00:00:00.000,0.0,0.0,0.0,0.0,70855.7,0.0,Department of Parks and Recreation,4144.3,0,DPR
801BRONXWORK,490351.25,0.0,,0,0.0,2033-06-01T00:00:00.000,0.0,0.0,0.0,0.0,490351.25,0.0,Department of Small Business Services,-351.25,0,SBS
850SEK002383,138249.54,4792000.0,Lump Sum,5863000,0.0,2028-06-01T00:00:00.000,3287186.48,13133548.54,0.0,9846362.06,11937933.06,0.0,Department of Design and Construction,-98946.0,0,DDC
841HWCOINFAC,63381.64,0.0,Fixed Asset,6731000,0.0,2032-06-01T00:00:00.000,0.0,0.0,0.0,0.0,63381.64,0.0,Department of Transportation,7480618.36,0,DOT
850LNEA13STG,6146905.5,0.0,Fixed Asset,36000,0.0,2028-06-01T00:00:00.000,0.0,8539.61,0.0,8539.61,6146905.5,0.0,Department of Design and Construction,-94445.11,0,DDC
856EO26-0075,0.0,0.0,,21000,0.0,2031-06-01T00:00:00.000,0.0,286065.0,0.0,286065.0,0.0,0.0,Department of Citywide Administrative Services,20935.0,0,DCAS
850HLDNHCARN,0.0,0.0,"ITT, Vehicles, and Equipment",0,0.0,2032-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,Department of Design and Construction,0.0,0,DDC
801SKYPORT,1538921.57,0.0,Fixed Asset,3637000,0.0,2028-06-01T00:00:00.000,0.0,823272.08,0.0,823272.08,1538921.57,0.0,Department of Small Business Services,3637806.35,0,SBS
850SEK002377,0.0,0.0,"ITT, Vehicles, and Equipment",4106000,0.0,2027-06-01T00:00:00.000,0.0,14000.0,0.0,14000.0,1093854.95,0.0,Department of Design and Construction,0.0,0,DDC
81960202401,0.0,0.0,,50000000,0.0,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,Health and Hospitals Corporation,50000000.0,0,HHC
111CITYADMIN,0.0,0.0,"ITT, Vehicles, and Equipment",336957000,0.0,2035-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,336957000.0,0,UK
850HWR890,1463217.8,0.0,,0,0.0,2028-06-01T00:00:00.000,0.0,187822.76,0.0,187822.76,1463217.8,0.0,Department of Design and Construction,3503959.44,0,DDC
039LQBW-FFE,0.0,0.0,"ITT, Vehicles, and Equipment",1000000,0.0,2033-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,Queens Borough Public Library,1000000.0,0,QPL
806R2286BPE,0.0,0.0,Fixed Asset,250000,0.0,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,Housing Preservation and Development,250000.0,0,HPD
850SER200251,6415728.04,2864000.0,Lump Sum,5406000,0.0,2030-06-01T00:00:00.000,2200140.18,8778967.98,0.0,6578827.8,12689663.43,0.0,Department of Design and Construction,2188837.8,0,DDC
