maprojid,projectid,adopt_nccstate,spent_ccnonexempt,allocate_ccexempt,allocate_citycost,magency,spent_citycost,adopt_ccnonexempt,commit_nccfederal,adopt_total,adopt_noncitycost,plannedcommit_ccnonexempt,allocate_noncitycost,totalcityplannedcommit,spent_total_checkbooknyc,allocate_nccfederal,spent_nccother
801P-2CPIRHR,P-2CPIRHR,0.0,0.0,0.0,0.0,801,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
826LFK-RELO,LFK-RELO,0.0,0.0,0.0,0.0,826,0.0,9363000.0,0.0,9363000.0,0.0,9363000,0.0,9363000,0.0,0.0,0.0
850SAND1048,SAND1048,0.0,1382819.76,0.0,5604191.0,850,1382819.76,5041989.24,11505450.42,40540000.0,11712963.14,5045000,11712963.14,5045000,755210.2899999999,11640680.46,198612.82
806HAM18BPBC,HAM18BPBC,0.0,297953.0,0.0,0.0,806,297953.0,47.0,0.0,298000.0,0.0,0,0.0,0,297953.0,0.0,0.0
850HWK1048G,HWK1048G,0.0,16146275.07,0.0,2496024.61,850,16146275.07,-17299.68,0.0,23038000.0,200.0,0,200.0,0,18960847.130000003,0.0,12800.0
850HLDNSPSUR,HLDNSPSUR,0.0,1170458.0,0.0,0.0,850,1170458.0,-458.0,0.0,1170000.0,0.0,0,0.0,0,1170458.0,0.0,0.0
841HWKFRH,HWKFRH,0.0,0.0,0.0,0.0,841,0.0,3901000.0,0.0,3901000.0,0.0,3901000,0.0,3901000,0.0,0.0,0.0
846P-3RVSDHP,P-3RVSDHP,0.0,245260.42,0.0,0.0,846,245260.42,4739.58,0.0,250000.0,0.0,0,0.0,0,0.0,0.0,0.0
846P-308AGPF,P-308AGPF,0.0,0.0,0.0,0.0,846,0.0,108000.0,0.0,108000.0,0.0,108000,0.0,108000,0.0,0.0,0.0
850HWQ724W,HWQ724W,0.0,6550839.81,11500.0,412583.0,850,7438175.1,2941741.9,0.0,10812000.0,500.0,0,500.0,11000,434883.92,0.0,7500.0
850HWPLZ020M,HWPLZ020M,0.0,759210.9,0.0,4741891.6,850,759210.9,123452897.5,0.0,128954000.0,0.0,123453000,0.0,123453000,0.0,0.0,0.0
042BX040-017,BX040-017,0.0,2831956.18,0.0,82372.82,42,2831956.18,11483671.0,0.0,14398000.0,0.0,6430000,0.0,6430000,2310614.37,0.0,0.0
850CT2-INTER,CT2-INTER,0.0,220000.0,2547987.27,1697688.39,850,13621277.18,1047.16,0.0,17868000.0,0.0,0,0.0,2244000,11214248.32,0.0,0.0
846P-4QWCAMS,P-4QWCAMS,0.0,0.0,0.0,0.0,846,0.0,2177000.0,0.0,2177000.0,0.0,2177000,0.0,2177000,0.0,0.0,0.0
850SANDRESM2,SANDRESM2,0.0,1418033.15,2605.98,4069177.06,850,11980261.7,1026955.26,6913457.0,193480000.0,140928.82,831000,140928.82,831000,176150474.60000017,138660.32,5157618.65
850LNCM12NDP,LNCM12NDP,0.0,328998.69,0.0,1967.32,850,328998.69,2033.99,0.0,333000.0,0.0,2000,0.0,2000,140123.15,0.0,0.0
846P-4SAND01,P-4SAND01,0.0,262510.65,0.0,0.0,846,262510.65,-18510.65,19942.59,4492000.0,-136.76,0,-136.76,0,4228194.17,-136.76,0.0
846P-206RHO1,P-206RHO1,0.0,329365.87,0.0,0.0,846,329365.87,1423634.13,0.0,1753000.0,0.0,1424000,0.0,1424000,329365.87,0.0,0.0
801COMMSOLU,COMMSOLU,0.0,999375.0,0.0,0.0,801,999375.0,998625.0,0.0,1998000.0,0.0,0,0.0,0,999375.0,0.0,0.0
801HLKNVITAL,HLKNVITAL,0.0,0.0,0.0,0.0,801,0.0,800000.0,0.0,800000.0,0.0,800000,0.0,800000,0.0,0.0,0.0
801YWHA92,YWHA92,0.0,0.0,0.0,0.0,801,0.0,630000.0,0.0,630000.0,0.0,630000,0.0,630000,0.0,0.0,0.0
