dbn,school_name,code1,requirement_3_3,academicopportunities5,offer_rate2_1,admissionspriority211,eligibility4,academicopportunities1,postcode,diplomaendorsements,code10,grade9geapplicantsperseat5,seats9ge10,admissionspriority31,transfer,grade9swdfilledflag3,seats9swd4,program8,interest4,seats9swd1,code8,prgdesc4,code3,grade9gefilledflag3,seats9ge8,seats4specialized,requirement_1_8,grade9geapplicants5,primary_address_line_1,school_10th_seats,grade9swdapplicantsperseat11,auditioninformation8,admissionspriority112,grade9swdapplicants10,eligibility2,longitude,auditioninformation1,grade9gefilledflag12,offer_rate2_7,appperseat2specialized,grade9gefilledflag4,applicants1specialized,interest3,code6,seats1specialized,overview_paragraph,grade9swdfilledflag6,admissionspriority13,admissionspriority32,college_career_rate,grade9swdfilledflag5,auditioninformation5,code12,community_board,method3,interest8,grade9swdapplicants5,sqr_website,grade9swdapplicantsperseat1,grade9swdapplicantsperseat12,program11,method9,requirement_3_6,campus_name,academicopportunities6,code4,offer_rate3_1,eligibility7,common_audition6,subway,grade9swdapplicantsperseat10,seats106,admissionspriority23,finalgrades,common_audition7,offer_rate1_5,pct_stu_enough_variety,grade9geapplicants4,school_accessibility,method12,start_time,school_sports,earlycollege,admissionspriority16,seats9ge4,seats9ge6,offer_rate2_6,auditioninformation2,grade9geapplicantsperseat4,offer_rate3_3,requirement_2_7,seats9ge11,admissionspriority35,grade9swdapplicants12,offer_rate1_8,prgdesc5
21K559,Life Academy High School for Film and Music,L38A,,"Work Based Learning Opportunities, Internship program",,,,CUNY College Now,11214,,,,,,,,,,,14,,,,,,,,,2630 Benson Avenue,Y,,,,,,-73.98577,,,,,,,,,,"At LIFE Academy High School for Film and Music, we infuse the study of film, filmmaking, video/audio production, and new media into student-centered, project-based courses. We focus on building communication skills through writing, presentation, and creativity. We seek students who want to learn in an exciting atmosphere of excellence and creative collaboration. We offer customized instructional support and challenging academic program in a supportive learning environment.",,,,0.54000002,,,,313,,,,{'url': 'https://tools.nycenet.edu/snapshot/0/21K559/HS/?utm_source=myschools.nyc&utm_medium=DOE_App_referral&utm_campaign=MySchools'},7,,,,,Lafayette Educational Campus,CTE program(s): Film and Video Production,,,,,D to Bay 50th St; N to 86th St,,,,9 to 12,,,0.40000001,,Partially Accessible,,8:15am,,,,,,,,,,,,,,,
02M551,Urban Assembly New York Harbor School,K51A,,"CTE program(s): Aquaculture (NYSED-Approved), Marine Biology Research (NYSED-Approved), Marine Systems Technology (NYSED-Approved), Ocean Engineering (NYSED-Approved), Vessel Operations (NYSED-Approved), Professional Diving",,,,"Aquaculture, Marine Systems Technology, Ocean Engineering, Marine Biology Research, Vessel Operations, Professional Diving, Marine Policy & Environmental Advocacy",10004,CTE,,,,,,,,,,29,,,,,,,,,550 Short Avenue,,,,,,,-74.02024,,,,,,,,,,"Urban Assembly New York Harbor School focuses on marine science, marine technology, and marine policy. We believe in learning by doing. Students should expect to spend time outdoors in sites all over New York Harbor in all seasons. With our partners, including the Billion Oyster Project, we work to develop authentic activities on, around, and related to the water that create a sense of responsibility to New York Harbor and develop a new generation of maritime advocates, enthusiasts, workers, and decision-makers. New York Harbor School's location on Governors Island is easily accessible from Lower Manhattan via the Governors Island ferry.",,,,0.61000001,,,,101,,,,{'url': 'https://tools.nycenet.edu/snapshot/0/02M551/HS/?utm_source=myschools.nyc&utm_medium=DOE_App_referral&utm_campaign=MySchools'},6,,,,,,,,,,,"R, W, 1, 4, 5",,,,9 to 12,,,0.81999999,,Fully Accessible,,8:40am,,,,,,,,,,,,,,,
03M860,Frederick Douglass Academy II Secondary School,M39A,,"Scholars are to complete at least 216 Hours of career development experiences by graduation, including internships and/or paid work experiences.",27% of offers went to this group,,,We have a College Prep curriculum that includes four years of Science and Math. Scholars complete four Performance Tasks/Projects in each course every year.,10026,,,,,Then to New York City residents,,,,,,20,,,,,,,,,215 West 114th Street,Y,,,,,,-73.954142,,,,,,,,,,"Frederick Douglass Academy II is a college-preparatory secondary school focused on creating the next generation of society's leaders, who are committed to excellence in character, scholastic achievement, and community service through a rigorous academic curriculum that exceeds national standards. We are a nurturing and supportive community of learners that provides Scholars an extraordinary opportunity for personal growth.",,,,0.74000001,,,,110,,,,{'url': 'https://tools.nycenet.edu/snapshot/0/03M860/HS/?utm_source=myschools.nyc&utm_medium=DOE_App_referral&utm_campaign=MySchools'},6,,,,,,,,56% of offers went to this group,,,"2, 3 to 110th St-Central Park North; B, C to 116th St",,,,6 to 12,,,0.69999999,,Fully Accessible,,8:00am,,,,,,,,,,,,,,,
28Q687,Queens High School for the Sciences at York College,Q00S,,,,,,"AP courses: Biology, Calculus AB/BC, Chemistry, Chinese, English Lang. and Composition, Environmental Sci., Physics C, Spanish, US/World History",11433,,,,,,,,,,,,,,,,,,,,94-50 159th Street,Y,,,,,,-73.798151,,,,,,16873.0,,,116.0,"Queens High School for the Sciences at York College is dedicated to preparing students for college and career by providing them with a rigorous curriculum that emphasizes the sciences and mathematics. The school philosophy is to educate the 'whole child.' In addition to emphasis on academics, there is a strong focus on the liberal arts and on the development of student interpersonal, intrapersonal, collaborative, and communication skills. Ultimately, we believe that through academic preparation and emphasis on the soft skills, students will become lifelong learners and independent thinker and make tremendous contributions to our society.",,,,0.92000002,,,,412,,,,{'url': 'https://tools.nycenet.edu/snapshot/0/28Q687/HS/?utm_source=myschools.nyc&utm_medium=DOE_App_referral&utm_campaign=MySchools'},,,,,,,,,,,,"E, J, Z to Jamaica Center-Parsons/Archer",,,,9 to 12,,,0.47,,Fully Accessible,,8:00am,"Handball, Swimming, Tennis, Bowling",,,,,,,,,,,,,,
21K728,Liberation Diploma Plus,L72A,,,,,,"Learning to Work, Student Council, Advisory Leadership, Community Service Group, School Leadership Team, Extended-Day/PM School, College Now",11224,,,,,,1.0,,,,,5,,,,,,,,,2865 West 19th Street,Y,,,,,,-73.985953,,,,,,,,,,"The mission of Liberation Diploma Plus High School, is to develop the student academically, socially, and emotionally. We will equip students with the skills needed to evaluate their options so that they can make informed and appropriate choices and create personal goals for success. Our year-round model provides students the opportunity to gain credits and attain required graduation competencies at an accelerated rate. Our partners offer all students career preparation and college exposure. Students have the opportunity to earn college credit(s). In addition to fulfilling New York City graduation requirements, students are required to complete a portfolio to receive a high school diploma.",,,,,,,,313,,,,{'url': 'https://tools.nycenet.edu/snapshot/0/21K728/HST/?utm_source=myschools.nyc&utm_medium=DOE_App_referral&utm_campaign=MySchools'},1,,,,,,,,,,,"D, F, N, Q to Stillwell Ave",,,,"School is structured on credit needs, not grade level",,,0.68000001,,Not Accessible,,8:30am,Basketball,,,,,,,,,,,,,,
02M303,"Facing History School, The",M02R,,"College Prep includes SAT class, senior year College & Career 101 class, scholarship opportunities & AP courses. All graduating seniors apply to college.",64% of offers went to this group,,,Performance-Based Assessments (PBATs): Students present projects in all core subjects and take the ELA Regents to graduate with a Regents diploma.,10019,,,,,Then to New York City residents,,,,,,22,,,,,,,,,525 West 50th Street,Y,,,,,,-73.993105,,,,,,,,,,"Our school graduates lifelong learners who are leaders in their communities. Our students complete inquiry based, Performance-Based Assessment Tasks (PBATs) as a replacement for the Regents exams (except ELA) and graduate with a Regents Diploma. We prepare our students academically, socially, and emotionally through project based learning, art integration with studio classes, a College and Career courses, and a four-year advisory program using restorative justice practices. We foster a college-going culture and provide a great deal of support to our students for college and career readiness. In choosing FHS, you are choosing to think deeply about yesterday, today, and tomorrow, and how to make positive difference in the world.",,,,0.55000001,,,,104,,,,{'url': 'https://tools.nycenet.edu/snapshot/0/02M303/HS/?utm_source=myschools.nyc&utm_medium=DOE_App_referral&utm_campaign=MySchools'},7,,,,,Park West Educational Campus,,,25% of offers went to this group,,,"C, E to 50th St",,,,9 to 12,,,0.83999997,,Partially Accessible,,8:40am,,,,,,,,,,,,,,,
17K745,Brooklyn Institute for Liberal Arts (BILA),L17A,,,2% of offers went to this group,,,"Early College Program with Long Island University, College Now with CUNY with Brooklyn College, and accelerated programs for advanced students.",11203,,,,,,,,,,,26,,,,,,,,,600 Kingston Avenue,,,,,,,-73.942458,,,,,,,,,,"The Brooklyn Institute for Liberal Arts (BILA) is an ideal school for students who want the best academic foundation to prepare them for college or career. We have challenging interactive and online classes with opportunities for students to succeed in a supportive, friendly, and energetic community. We encourage and celebrate student voice, mentor students, and develop student leaders. Monthly trips are part of a curriculum that allows students to see, learn about, and truly participate in this ever-changing world. Students with a love for technology will flourish in this Mac-based iZone school, with a variety of programs in music, art, dance, theater, and STEM to suit individual student choice. At BILA, students are happy and successful.",,,,0.67000002,,,,309,,,,{'url': 'https://tools.nycenet.edu/snapshot/0/17K745/HS/?utm_source=myschools.nyc&utm_medium=DOE_App_referral&utm_campaign=MySchools'},10,,,,,George Wingate Educational Campus,,,,,,"2, 5 to Winthrop St",,,,9 to 12,,,0.76999998,,Not Accessible,,8:00am,,,,,,,,,,,,,,,
23K493,Brooklyn Collegiate: A College Board School,K93X,,"WEB Quest; Laptop access for all students; Parents certified as Learning Leaders, Career Internships, Anti-bias workshops",3% of offers went to this group,,,iLearnNYC: Program for expanded online coursework and self-paced learning,11233,,,,,,,,,,,14,,,,,,,,,2021 Bergen Street,Y,,,,,,-73.913273,,,,,,,,,,"Our staff mentors students before, during, and after-school. Students have a voice here and become lifelong learners. A strong school community equally committed to these ideals supports our students. BC is committed to developing well-rounded individuals. We offer college courses and specialize in college tours; a typical BC student will have visited 12-15 colleges by senior year. We have an outstanding after-school program with varied activities including AA basketball programs for girls and boys. Many of our students have earned academic or athletic scholarships to college. BC is a place where friends are made for life and where graduates know they will always be welcomed back home. We are 'The Home of Urban Scholars.'",,,,0.54000002,,,,316,,,,{'url': 'https://tools.nycenet.edu/snapshot/0/23K493/HS/?utm_source=myschools.nyc&utm_medium=DOE_App_referral&utm_campaign=MySchools'},9,,,,,,,,,,,"C to Rockaway Ave; A, J, L, Z to Broadway Junction",,,,9 to 12,,,0.82999998,,Partially Accessible,,8:00am,Football Track And Field Volleyball Soccer,,,,,,,,,,,,,,
25Q670,Robert F. Kennedy Community High School,Q70A,,,,,,Vaughn College Robotics Courses,11366,"Math, NYS Seal of Biliteracy, Science",,,,,,,,,,24,,,,,,,,,75-40 Parsons Boulevard,,,,,,,-73.810697,,,,,,,,,,"This is a small, college preparatory high school that offers Honors, Advanced Placement (AP), and ICT classes. Our College Head Start Program enables students to earn college credits in 10th, 11th and 12th grades during the school day, after school and on Saturdays. We provide a challenging academic curriculum, Smartboards, computer labs, comprehensive student activities, and personalized counseling program. RFK provides students with an extensive array of Academic Intervention Services, including: Saturday Academy, Free SAT Prep Courses, Saturday and After-School College Advisement, and Saturday and After-School Regents Preparation. Students of Robert F. Kennedy Community High School are required to complete 50 hours of community service.",,,,0.67000002,,,,408,,,,{'url': 'https://tools.nycenet.edu/snapshot/0/25Q670/HS/?utm_source=myschools.nyc&utm_medium=DOE_App_referral&utm_campaign=MySchools'},5,,,,,,,,,,,,,,,9 to 12,,,0.75,,Not Accessible,,8:00am,,,,,,,,,,,,,,,
31R028,"Eagle Academy for Young Men of Staten Island, The",R28L,,Advanced Placement courses will be offered as the school expands,15% of offers went to this group,,,Eagle's Honors Program,10304,,,,,Then to New York City residents,,,,,,19,,,,,,,,,101 Warren Street,,,,,,,-74.081643,,,,,,,,,,"The Eagle Academy for Young Men of Staten Island is an all-male college preparatory school (grades 6-12) that educates and develops young men to be future leaders. We recognize the diversity within our learning community and respect the individuality of each scholar. We are committed to providing 21st century technology, fostering intellectual development, establishing self-esteem, and encouraging personal responsibility. We realize the need for all students to become independent, lifelong learners prepared to successfully meet the demands of a changing world and as such our entire approach is focused around instilling five core values in our scholars: Confidence, Leadership, Effort, Academic Excellence, and Resilience.",,,,,,,,501,,,,{'url': 'https://tools.nycenet.edu/snapshot/0/31R028/HS/?utm_source=myschools.nyc&utm_medium=DOE_App_referral&utm_campaign=MySchools'},2,,,,,,,,4% of offers went to this group,,,SIR to Clifton,,,,6 to 12,,,0.75,,Not Accessible,,8:25am,,,,,,,,,,,,,,,
