programname,monhouropen,thuhouropen
CCNS ST. CHARLES JUBILEE OAC (C17),09:00,09:00
HOPE GARDENS MULTISERVICE (W20),08:00,08:00
ZEST FOR LIFE OAC (C35),08:00,08:00
WAGNER SATELLITE (W24),09:00,09:00
MASARYK TOWER NORC (N71),09:00,09:00
JASA ROCKAWAY PARK (W22),08:00,08:00
CCNS BEST LIFE OAC (C17),09:00,09:00
PSS PARKSIDE (W19),08:00,08:00
PENN SOUTH NORC (N58),09:00,09:00
MIDDLE VILLAGE ADULT CENTER (4AT),,
JASA STOREFRONT CASE MANAGEMENT PROGRAM (2MG),09:00,09:00
SUNNYSIDE COMMUNITY SERVICES OAC (C79),08:30,08:30
ELMCOR GOLDEN PHOENIX CLUB THREE (45D),09:00,09:00
HAMILTON MADISON KNICKERBOCKER NORC (N53),09:00,09:00
POLO GROUNDS SATELLITE (MN10) (C26),09:00,09:00
RAICES FARRAGUT OAC SATELLITE (C72),09:00,09:00
JASA HOLLISWOOD OLDER ADULT CENTER (C83),08:00,08:00
BRONX RIVER (W16),08:00,08:00
ST NICKS ALLIANCE COOPER PARK SOCIAL 2 (C75),09:00,09:00
NEIGHBORHOOD SHOPP NORC -LAFAYETTE ESTATES (N69),09:00,09:00
QCH FOREST HILLS OAC (C56),08:00,08:00
ROCHDALE VILLAGE SC (C63),09:00,09:00
JASA QUEENS HOME DELIVERED MEALS (46G),,
JASA WILLIAMSBURG OLDER ADULT CENTER (C83),08:00,08:00
UJCES LUNCH CLUB OAC (C85),08:00,08:00
LIFELONG LEARNING CENTER @ ENCORE WEST (W14),08:00,08:00
BRONXWORKS MORRIS (ISC) (C11),08:00,08:00
EDUCATIONAL ALLIANCE CO OP VILLAGE NORC (N66),09:00,09:00
JCCGCI OCEAN PARKWAY OLDER ADULT CENTER (C47),08:00,08:00
BREVOORT SENIOR CLUB (W20),09:00,09:00
!JASA SENIOR ALLIANCE OLDER ADULT CENTER (C83),08:00,08:00
MID-BRONX - TRAN INDIVIDUAL RIDES - BX SOUTH (106),08:00,08:00
SEPHARDIC MULTI SERVICES SENIOR CITIZENS CENTER (C68),08:00,08:00
JASA SUE GINSBURG (C83),08:00,08:00
JASA LEGAL SERVICES QN (40A),09:00,09:00
ENCORE AT ST MALACHY'S (W14),08:00,08:00
HMH – CITYWIDE (6K1),07:00,07:00
STUYVESANT HEIGHTS OAC (C35),09:00,09:00
NYFSC MOTT STREET OLDER ADULT CENTER (C51),09:00,09:00
CARTER BURDEN LUNCHEON CLUB & SOCIAL SERVICE UNIT (C16),08:00,08:00
