bble,lot,block,aptno,yrb,lnd_area,curavl,fn_avl,ap_lot,ldep_dec,bldgcl,status2,ap_block,fn_exl,district,tn_ext,corchg,l_acre,tn_exl,fv_chgdt,comint_b,ap_boro,sm_chgdt,curexl_a,year4,cur_fv_l,irreg,new_fv_t,applic2,applic,cbn_txcl,tn_avt,ex_chgdt,ap_date,valref,curext,fn_ext_a,tot_unit,delchg
1000161548,1548,16,24B,2005,0,18872,18871,42,0.0,R4,0,16,18871,33.0,158510,0,,18871,2010-11-30T00:00:00.000,0.004189524,1,2010-11-30T00:00:00.000,18872,2010,41938,I,378407,,7.0,2,158510,,2007-01-08T00:00:00.000,0.0,158223,170283,1,0
1000087501,7501,8,,1985,9053,0,0,32,91.58,R0,0,8,0,,0,0,,0,,0.0,1,,0,2010,0,I,0,,,2,0,,2008-01-09T00:00:00.000,1.0,0,0,0,0
1000161484,1484,16,15A,2005,0,21560,21559,42,0.0,R4,0,16,21559,33.0,181086,0,,21559,2010-11-30T00:00:00.000,0.004786247,1,2010-11-30T00:00:00.000,21560,2010,47911,I,432305,,7.0,2,181086,,2007-01-08T00:00:00.000,0.0,180759,194537,1,0
1000030003,3,3,,0,33600,3546900,3719250,3,370.0,Q1,0,3,3719250,85.0,3719250,0,,3719250,2010-12-14T00:00:00.000,0.0,1,2010-12-14T00:00:00.000,3820499,2010,8489997,I,8745000,,,4,3719250,,2009-08-05T00:00:00.000,0.0,3546900,3935250,1,0
1000151137,1137,15,12C,1930,0,6716,6715,19,0.0,R4,0,15,0,33.0,33816,0,,0,2011-01-03T00:00:00.000,0.002044042,1,2011-01-03T00:00:00.000,0,2010,14924,I,150601,,7.0,2,49938,,2006-05-19T00:00:00.000,0.0,33816,33816,1,0
1000161239,1239,16,PH-A,0,0,109985,109985,90,0.0,R4,0,16,109985,33.0,421496,0,,109985,2011-01-03T00:00:00.000,0.021766758,1,2011-01-03T00:00:00.000,109985,2010,244412,I,1187567,,7.0,2,421496,,1986-12-25T00:00:00.000,,390167,534405,1,0
1000161421,1421,16,5A,2005,0,20350,20350,42,0.0,R4,0,16,20350,33.0,170932,0,,20350,2010-11-30T00:00:00.000,0.004517871,1,2010-11-30T00:00:00.000,20350,2010,45222,I,408064,,7.0,2,170932,,2007-01-08T00:00:00.000,0.0,170621,183629,1,0
1000160015,15,16,,1998,31141,5580000,5580000,3,171.0,D8,0,16,5580000,20.0,13805820,0,,5580000,2010-12-15T00:00:00.000,0.0,1,2010-12-15T00:00:00.000,5580000,2010,12400000,I,34098000,,1.0,2,13805820,,1988-09-30T00:00:00.000,0.0,13122000,15344100,209,0
1000161522,1522,16,20D,2005,0,11447,11446,42,0.0,R4,0,16,11446,33.0,96138,0,,11446,2010-11-30T00:00:00.000,0.002540982,1,2010-11-30T00:00:00.000,11447,2010,25436,I,229507,,7.0,2,96138,,2007-01-08T00:00:00.000,0.0,95965,103278,1,0
%1000161438,1438,16,7D,2005,0,10613,10613,42,0.0,R4,0,16,10613,33.0,89138,0,,10613,2010-11-30T00:00:00.000,0.002356054,1,2010-11-30T00:00:00.000,10613,2010,23584,I,212804,,7.0,2,89138,,2007-01-08T00:00:00.000,0.0,88978,95762,1,0
1000161603,1603,16,32C,2005,0,16154,16153,42,0.0,R4,0,16,16153,33.0,135674,0,,16153,2010-11-30T00:00:00.000,0.003585904,1,2010-11-30T00:00:00.000,16154,2010,35898,I,323887,,7.0,2,135674,,2007-01-08T00:00:00.000,0.0,135429,145749,1,0
1000161726,1726,16,5B,2006,0,26335,24351,35,0.0,R4,0,16,24351,33.0,129374,0,,24351,2011-01-06T00:00:00.000,0.0035,1,2011-01-06T00:00:00.000,18900,2010,42000,I,409963,,7.0,2,129374,,2008-12-08T00:00:00.000,0.0,111000,184483,1,0
1000161430,1430,16,6C,2005,0,13874,13873,42,0.0,R4,0,16,13873,33.0,116529,0,,13873,2010-11-30T00:00:00.000,0.00307999,1,2010-11-30T00:00:00.000,13874,2010,30831,I,278192,,7.0,2,116529,,2007-01-08T00:00:00.000,0.0,116319,125186,1,0
1000165629,5629,16,404,1985,0,0,63984,80,0.0,R4,0,16,0,20.0,0,0,,0,2011-05-20T00:00:00.000,0.011849,1,2011-05-20T00:00:00.000,0,2010,0,,706232,,,2,353972,,2011-04-11T00:00:00.000,0.0,0,0,1,0
1000041005,1005,4,PLA-B,0,0,373783,373783,1,0.0,R5,0,4,0,33.0,0,0,,0,2011-01-03T00:00:00.000,0.007722856,1,2011-01-03T00:00:00.000,0,2010,830629,I,3172606,,1.0,4,1266637,,1993-12-03T00:00:00.000,0.0,0,0,1,0
1000161100,1100,16,25D,0,0,20955,20955,90,0.0,R4,0,16,20955,33.0,80308,0,,20955,2011-01-03T00:00:00.000,0.004147098,1,2011-01-03T00:00:00.000,20955,2010,46567,I,226260,,7.0,2,80308,,1986-12-25T00:00:00.000,,74338,101817,1,0
1000161174,1174,16,3H,0,0,13679,13679,90,0.0,R4,0,16,13679,33.0,52421,0,,13679,2011-01-03T00:00:00.000,0.002707142,1,2011-01-03T00:00:00.000,13679,2010,30398,I,147698,,7.0,2,52421,,1986-12-25T00:00:00.000,,48526,66464,1,0
1000151299,1299,15,33E,1930,0,10805,10805,19,0.0,R4,0,15,0,33.0,54403,0,,0,2011-01-03T00:00:00.000,0.003288318,1,2011-01-03T00:00:00.000,0,2010,24011,I,242277,,7.0,2,80342,,2006-05-19T00:00:00.000,0.0,54403,54403,1,0
1000161153,1153,16,6G,0,0,13517,13517,90,0.0,R4,0,16,13517,33.0,51804,0,,13517,2011-01-03T00:00:00.000,0.002675132,1,2011-01-03T00:00:00.000,13517,2010,30038,I,145952,,7.0,2,51804,,1986-12-25T00:00:00.000,,47953,65678,1,0
1000161061,1061,16,10C,0,0,27195,27195,90,0.0,R4,0,16,27195,33.0,104224,0,,27195,2011-01-03T00:00:00.000,0.005382275,1,2011-01-03T00:00:00.000,27195,2010,60433,I,293650,,7.0,2,104224,,1986-12-25T00:00:00.000,,96477,132143,1,0
1000161197,1197,16,4J,0,0,18238,18237,90,0.0,R4,0,16,18237,33.0,69891,0,,18237,2011-01-03T00:00:00.000,0.003609282,1,2011-01-03T00:00:00.000,18238,2010,40527,I,196918,,7.0,2,69891,,1986-12-25T00:00:00.000,,64696,88613,1,0
