lot,bdep_dec,mbldg,bfrt_dec,hnum_lo,nodesc,condo_s1,o_limit,exmtcl,curexl,fn_avt,ap_time,str_name,yra1_rng,fchgdt,cur_fv_t,yra2_rng,cp_boro,yra1,ext,tn_avl,secvol,reuc,tn_avt_a,yrb_flag,newlot,hnum_hi,corner,tn_ext_a
201,0.0,0.0,0.0,1.0,0,,,X3,11111400,84806280,0,ELLIS ISLAND,0,,193800000,0,1.0,0,,12347280,101,,93722400,E,0,1.0,,93722400
1202,0.0,,0.0,377.0,0,R,,,18718,71741,14356,RECTOR PLACE,0,,160369,0,1.0,0,,18718,101,,90957,,0,377.0,,90957
7501,0.0,0.0,0.0,15.0,0,,,,0,0,190806,STONE STREET,0,,0,0,1.0,0,,0,101,,0,,0,15.0,,0
1595,102.0,0.0,202.0,30.0,0,R,,,23709,199138,230650,LITTLE WEST STREET,0,,483438,0,1.0,0,,23708,101,,213928,,0,30.0,,213928
1107,0.0,,0.0,377.0,0,R,,,13600,52117,14356,RECTOR PLACE,0,,116500,0,1.0,0,,13600,101,,66072,,0,377.0,,66072
1047,0.0,,0.0,377.0,0,R,,,24316,93188,14356,RECTOR PLACE,0,,208324,0,1.0,0,,24316,101,,118154,,0,377.0,,118154
1289,179.58,0.0,78.67,20.0,0,R,,,0,66355,223325,LITTLE WEST STREET,2005,,148404,0,1.0,2004,,8926,101,,90048,,0,20.0,,44934
1292,179.58,0.0,78.67,20.0,0,R,,,0,50967,223325,LITTLE WEST STREET,2005,,113988,0,1.0,2004,,6854,101,,69166,,0,20.0,,34514
1307,179.58,0.0,78.67,20.0,0,R,,,0,80861,223325,LITTLE WEST STREET,2005,,180835,0,1.0,2004,,10874,101,,109730,,0,20.0,,54752
1133,0.0,,0.0,377.0,0,R,,,16479,63151,14356,RECTOR PLACE,0,,141169,0,1.0,0,,16479,101,,80064,,0,377.0,,80064
1212,179.58,0.0,78.67,20.0,0,R,,,0,106910,223325,LITTLE WEST STREET,2005,,239084,0,1.0,2004,,14377,101,,145075,,0,20.0,,72390
1576,102.0,0.0,202.0,30.0,0,R,,,15786,132587,230650,LITTLE WEST STREET,0,,321883,0,1.0,0,,15785,101,,142438,,0,30.0,,142438
1256,179.58,0.0,78.67,20.0,0,R,,,0,85617,223325,LITTLE WEST STREET,2005,,191469,0,1.0,2004,,11515,101,,116180,,0,20.0,,57972
1368,179.58,0.0,78.67,20.0,0,R,,,0,82592,223325,LITTLE WEST STREET,2005,,184709,0,1.0,2004,,11107,101,,112080,,0,20.0,,55926
1276,179.58,0.0,78.67,20.0,0,R,,,0,92855,223325,LITTLE WEST STREET,2005,,207655,0,1.0,2004,,12487,101,,126003,,0,20.0,,62873
1242,100.0,0.0,75.0,31.0,0,C,,,0,28578,205115,MONROE STREET,0,,0,0,1.0,0,,401,107,,28775,,1,31.0,,0
1458,102.0,0.0,202.0,30.0,0,R,,,14242,119622,230650,LITTLE WEST STREET,0,,290400,0,1.0,0,,14242,101,,128507,,0,30.0,,128507
1336,179.58,0.0,78.67,20.0,0,R,,,0,58274,223325,LITTLE WEST STREET,2005,,130330,0,1.0,2004,,7837,101,,79084,,0,20.0,,39462
1095,0.0,,0.0,377.0,0,R,,,20479,78482,14356,RECTOR PLACE,0,,175440,0,1.0,0,,20479,101,,99502,,0,377.0,,99502
1.54e+03,102.0,0.0,202.0,30.0,0,R,,,22635,190115,230650,LITTLE WEST STREET,0,,461537,0,1.0,0,,22635,101,,204237,,0,30.0,,204237
1589,102.0,0.0,202.0,30.0,0,R,,,19545,164162,230650,LITTLE WEST STREET,0,,398529,0,1.0,0,,19544,101,,176355,,0,30.0,,176355
1476,102.0,0.0,202.0,30.0,0,R,,,14869,124895,230650,LITTLE WEST STREET,0,,303204,0,1.0,0,,14868,101,,134173,,0,30.0,,134173
1223,179.58,0.0,78.67,20.0,0,R,,,0,75564,223325,LITTLE WEST STREET,2005,,168995,0,1.0,2004,,10161,101,,102546,,0,20.0,,51168
7,67.0,0.0,38.0,16.0,0,,,,0,1168920,0,BEAVER STREET,0,,2510000,0,1.0,0,,517500,101,,1200600,E,0,16.0,CR,0
1236,179.58,0.0,78.67,20.0,0,R,,,0,67692,223325,LITTLE WEST STREET,2005,,151391,0,1.0,2004,,9103,101,,91864,,0,20.0,,45839
1552,102.0,0.0,202.0,30.0,0,R,,,28223,237053,230650,LITTLE WEST STREET,0,,575480,0,1.0,0,,28222,101,,254658,,0,30.0,,254658
210,0.0,0.0,0.0,399.0,0,,,,2304000,29063250,110923,CHAMBERS STREET,0,,62400000,0,1.0,0,,2304000,101,,29036250,,0,399.0,,29036250
1227,179.58,0.0,78.67,20.0,0,R,,,0,51675,223325,LITTLE WEST STREET,2005,,115562,0,1.0,2004,,6949,101,,70123,,0,20.0,,34990
1587,102.0,0.0,202.0,30.0,0,R,,,16374,137531,230650,LITTLE WEST STREET,0,,333874,0,1.0,0,,16374,101,,147744,,0,30.0,,147744
1178,0.0,,0.0,377.0,0,R,,,13998,53650,14356,RECTOR PLACE,0,,119929,0,1.0,0,,13998,101,,68020,,0,377.0,,68020
1148,179.58,0.0,78.67,20.0,0,R,,,0,55908,223325,LITTLE WEST STREET,2005,,125041,0,1.0,2004,,7519,101,,75874,,0,20.0,,37860
1045,0.0,0.0,0.0,1.0,0,C,,,0,2759911,4356,WATER STREET,0,,5050828,0,1.0,0,,814446,101,,3110813,,0,1.0,,0
1232,179.58,0.0,78.67,20.0,0,R,,,0,86739,223325,LITTLE WEST STREET,2005,,193981,0,1.0,2004,,11666,101,,117705,,0,20.0,,58734
1172,0.0,,0.0,377.0,0,R,,,32394,124143,14356,RECTOR PLACE,0,,277517,0,1.0,0,,32394,101,,157396,,0,377.0,,157396
1612,102.0,0.0,202.0,30.0,0,R,,,21368,179477,230650,LITTLE WEST STREET,0,,435702,0,1.0,0,,21368,101,,192805,,0,30.0,,192805
7501,0.0,0.0,0.0,1.0,0,,,,0,0,4357,WATER STREET,0,,0,0,1.0,0,,0,101,,0,,0,1.0,,0
1501,102.0,0.0,202.0,30.0,0,R,,,11236,94373,230650,LITTLE WEST STREET,0,,229108,0,1.0,0,,11236,101,,101384,,0,30.0,,101384
1165,179.58,0.0,78.67,20.0,0,R,,,0,96341,223325,LITTLE WEST STREET,2005,,215455,0,1.0,2004,,12956,101,,130735,,0,20.0,,65237
1526,102.0,0.0,202.0,30.0,0,R,,,22365,187848,230650,LITTLE WEST STREET,0,,456032,0,1.0,0,,22365,101,,201801,,0,30.0,,201801
1176,179.58,0.0,78.67,20.0,0,R,,,0,87395,223325,LITTLE WEST STREET,2005,,195454,0,1.0,2004,,11754,101,,118599,,0,20.0,,59178
19,66.0,0.0,24.0,25.0,0,,,,0,563300,0,BRIDGE STREET,0,,1630000,0,1.0,1979,,312300,101,,675000,E,0,25.0,,0
1329,179.58,0.0,78.67,20.0,0,R,,,0,60266,223325,LITTLE WEST STREET,2005,,134784,0,1.0,2004,,8107,101,,81783,,0,20.0,,40811
1044,0.0,,0.0,377.0,0,R,,,22476,86139,14356,RECTOR PLACE,0,,192552,0,1.0,0,,22476,101,,109208,,0,377.0,,109208
20,0.0,0.0,0.0,70.0,0,,,,5355000,13605210,145526,BATTERY PLACE,0,,26900000,0,1.0,0,,5355000,101,,14071050,,0,70.0,,14071050
1455,102.0,0.0,202.0,30.0,0,R,,,14588,122519,230650,LITTLE WEST STREET,0,,297437,0,1.0,0,,14587,101,,131619,,0,30.0,,131619
1539,102.0,0.0,202.0,30.0,0,R,,,15716,132000,230650,LITTLE WEST STREET,0,,320456,0,1.0,0,,15716,101,,141807,,0,30.0,,141807
1.04e+03,0.0,,0.0,377.0,0,R,,,22238,85222,14356,RECTOR PLACE,0,,190513,0,1.0,0,,22238,101,,108051,,0,377.0,,108051
7508,100.0,0.0,25.3,16.0,0,,,,0,0,212159,WARREN STREET,0,,0,0,1.0,0,,0,104,,0,,0,16.0,,0
1021,0.0,,0.0,377.0,0,R,,,22558,86449,14356,RECTOR PLACE,0,,193251,0,1.0,0,,22558,101,,109603,,0,377.0,,109603
1222,179.58,0.0,78.67,20.0,0,R,,,0,89053,223325,LITTLE WEST STREET,2005,,199156,0,1.0,2004,,11975,101,,120848,,0,20.0,,60304
1176,0.0,,0.0,377.0,0,R,,,13837,53025,14356,RECTOR PLACE,0,,118535,0,1.0,0,,13837,101,,67227,,0,377.0,,67227
1405,102.0,0.0,202.0,30.0,0,R,,,19736,165769,230650,LITTLE WEST STREET,0,,402427,0,1.0,0,,19736,101,,178080,,0,30.0,,178080
1004,0.0,0.0,0.0,2.0,0,C,,,856725,2278701,135611,AMERICAN EXPRESS PLZ,0,,5266800,0,1.0,0,,857468,101,,2536987,,0,2.0,NE,2536987
1142,179.58,0.0,78.67,20.0,0,R,,,0,88215,223325,LITTLE WEST STREET,2005,,197282,0,1.0,2004,,11862,101,,119709,,0,20.0,,59733
1019,0.0,,0.0,377.0,0,R,,,22077,84606,14356,RECTOR PLACE,0,,189124,0,1.0,0,,22077,101,,107262,,0,377.0,,107262
1044,0.0,0.0,0.0,1.0,0,C,,,0,2759911,4356,WATER STREET,0,,5050828,0,1.0,0,,814446,101,,3110813,,0,1.0,,0
1153,0.0,,0.0,377.0,0,R,,,13517,51804,14356,RECTOR PLACE,0,,115802,0,1.0,0,,13517,101,,65678,,0,377.0,,65678
1149,179.58,0.0,78.67,20.0,0,R,,,0,51417,223325,LITTLE WEST STREET,2005,,114988,0,1.0,2004,,6914,101,,69775,,0,20.0,,34815
