opportunity_id,org_title,org_content_id,recurrence_type,vol_requests,end_date_date,hits,bin
5119,WorldofMoney.org,3155,ongoing,4,February 18 2012,276,
5331,Habitat-NYC,39587,ongoing,10,July 31 2012,953,1001167.0
5097,ARTs East New York Inc.,37775,ongoing,15,February 10 2012,409,3401972.0
5527,Learning Leaders,213,ongoing,20,June 30 2012,386,3029667.0
5165,Queens Satellite High School for Opportunity,38369,ongoing,15,June 02 2012,725,4209031.0
5515,The Grace Children's Foundation,45368,ongoing,100,January 01 2012,280,
5528,Project Mentor Development Council Inc. ,47371,ongoing,8,September 10 2012,54,3041712.0
5679,NYC Service,3747,ongoing,25,August 30 2011,857,1082757.0
4999,Friends of Van Cortlandt Park,161,ongoing,20,June 04 2011,179,2015493.0
5561,Jewish Association for Services for the Aged (JASA),728,ongoing,15,September 06 2012,192,
5432,Catchafire,39853,ongoing,99,June 04 2012,28,1007002.0
5251,Turtle Bay Music School,33503,ongoing,1,April 05 2012,295,
5268,Gorman Park Volunteers,39189,ongoing,2,April 11 2012,483,
5709,Friends of Van Cortlandt Park,161,onetime,100,October 15 2011,99,
5439,Catchafire,39853,ongoing,99,June 05 2012,135,1007002.0
5541,"Services for the UnderServed, Inc.",38951,ongoing,1,September 01 2011,145,1015060.0
5627,Street Project,3001,onetime,30,August 21 2011,74,
5175,Rubin Museum Of Art,3104,ongoing,4,March 08 2012,653,
5266,"Services for the UnderServed, Inc.",38951,ongoing,2,April 11 2012,114,1015060.0
5624,The Fresh Air Fund,602,ongoing,30,December 15 2012,296,1037174.0
5475,Metropolitan Council on Jewish Poverty,974,onetime,10,June 19 2011,54,
5767,Stuyvesant Cove Park,38302,onetime,10,September 28 2011,80,
5726,Bronx ESL Program,52027,ongoing,5,December 15 2011,81,
5680,The Neighborhood Work Play Kids Theater,50876,ongoing,1,October 08 2011,111,
5261,Chhaya Community Development Corporation,3369,ongoing,6,March 01 2012,3533,4029909.0
5170,New York City Department of Parks & Recreation,3706,onetime,34,March 08 2011,0,4442874.0
5301,Children's Museum Of The Arts,1310,onetime,30,May 22 2011,886,1007025.0
5091,"Cents Ability, Inc.",37154,ongoing,100,February 08 2012,325,
5676,The Neighborhood Work Play Kids Theater,50876,ongoing,2,June 29 2012,278,
5107,Street Project,3001,onetime,20,February 19 2011,1,1088138.0
5340,  Brooklyn Center for Quality Life (BCQL),39767,onetime,5,August 28 2011,465,3336906.0
5254,"Going Coastal, Inc.",989,ongoing,3,April 07 2012,285,3004322.0
4997,"""I Have a Dream"" Foundation - NY: Ravenswood Program",744,ongoing,10,May 24 2011,1240,4430696.0
5174,"Services Now for Adult Persons, Inc.",37227,ongoing,10,March 08 2012,834,
5711,Friends of Van Cortlandt Park,161,onetime,100,November 20 2011,105,
5374,The Trevor Project,40060,ongoing,20,May 17 2012,428,1001015.0
5179,MillionTreesNYC,1671,onetime,30,March 20 2011,32,
4982,JBFCS,1891,ongoing,100,September 23 2012,2953,
5156,Where To Turn,2879,ongoing,250,October 31 2011,266,
5569,Friendly Visiting at the JCCGCI,37924,ongoing,100,July 31 2012,152,
5592,Community Service Society/Retired & Senior Volunteer Program (RSVP),4279,ongoing,5,August 02 2012,107,
5610,Bellevue Hospital,264,ongoing,2,August 09 2012,439,
5717,Pace University Community & Volunteer Mobilization AmeriCorps,4019,onetime,25,September 10 2011,410,1001356.0
5656,FEGS,2833,ongoing,1,October 18 2011,155,
5023,Bideawee  ,152,ongoing,5,August 02 2011,556,
5010,World Cares Center,36979,ongoing,2,July 01 2011,246,1083624.0
5212,"Dorchester Senior Citizens Center, Inc.",3449,ongoing,2,March 16 2012,229,
5205,"Body Sculpt Of New York, Inc.",1272,onetime,100,June 11 2011,1679,
5283,New York Futsal,39106,ongoing,2,December 12 2012,216,
5746,New York City Department of Parks & Recreation,3706,ongoing,2,September 13 2012,37,
5564,"Rape, Abuse & Incest National Network",48967,ongoing,30,July 27 2012,377,
5499,ARTs East New York Inc.,37775,ongoing,1,August 24 2011,126,3097067.0
5762,Jewish Association for Services for the Aged (JASA),728,ongoing,1,September 18 2012,10,
5598,The Family Center,44702,ongoing,3,August 03 2012,164,
5733,"New York Therapeutic Communities, Inc.",52380,ongoing,2,September 11 2012,62,3042010.0
5077,Hudson River Park,37596,ongoing,1,November 05 2011,580,
5376,Volunteer Referral Center,1978,ongoing,100,May 17 2012,801,1017035.0
5085,"Brooklyn Bar Association Volunteer Lawyers Project, Inc.",3784,ongoing,20,February 07 2012,4407,
5626,Street Project,3001,onetime,18,August 20 2011,134,
5427,Catchafire,39853,ongoing,99,June 04 2012,26,1007002.0
5677,NYC Service,3747,ongoing,25,August 30 2011,256,1082757.0
5591,iMentor,614,ongoing,500,August 30 2011,82,1000819.0
5415,Catchafire,39853,ongoing,99,June 04 2012,36,1007002.0
5725,FEGS,2833,ongoing,20,June 30 2012,237,1010362.0
5578,Girls Write Now,1111,ongoing,2,August 22 2011,298,
5468,Transportation Alternatives,2308,ongoing,30,September 01 2011,380,
5588,The Future Project,48245,ongoing,100,May 15 2012,1902,
5640,New York Legal Assistance Group,104,ongoing,3,November 15 2012,197,1000855.0
5503,entrepreneurshipEDGE,39403,ongoing,4,August 26 2011,310,1015281.0
5239,American Liver Foundation,38926,ongoing,20,June 12 2011,160,1000803.0
5245,"The Puppetry Arts Theatre, Inc",999,onetime,30,May 07 2011,99,3008585.0
5620,Family and Community Support Services,38868,ongoing,2,August 10 2012,141,3035891.0
5496,Share Our Strength ,42491,onetime,300,July 16 2011,1446,
