safety_net_cases,male_adults,homemaking,rental_assist_manhattan,white,commercial_mou_sro_hotels,family_cases,acms_served_last_12_months,applications_pending,acm_served
26811,22701,52,110,3069,1650,3203,11947,22,9925
25752,23208,30,86,3176,1194,2982,10692,31,9526
25847,21970,18,81,2986,810,2612,10212,29,8552
26549,22710,63,102,3042,1628,3369,11966,28,10247
26580,22989,44,102,3105,1611,3137,11581,35,9772
26866,22907,54,107,3103,1760,3278,12026,19,10149
28330,23880,16,78,3066,573,2616,9824,13,8690
26358,22869,17,79,3001,861,2594,10121,51,8564
26140,22337,18,82,2999,909,2601,10196,52,8544
26041,22233,18,82,2994,865,2603,10178,40,8575
26225,22683,18,84,2998,897,2566,10153,49,8557
27153,23045,40,94,3154,1491,3035,11144,20,9560
26385,22688,50,111,3070,1618,3171,11850,34,9873
26910,22778,54,115,3089,1767,3255,11978,28,10047
25540,22964,0,75,3162,902,2938,10643,42,9457
