unknown_residency,nycha_brooklyn,intake_cases,nycha_bronx,reporting_month,commercial_mou_sro_hotels_1,applications_ineligible,rental_assist_above_enhanced_brooklyn,brooklyn,commercial_mou_sro_hotels_4
32,338,28,285,2019 February,814,9,5071,9730,53
22,321,8,254,2021 February,698,4,5121,10018,39
44,247,46,211,2023 May,489,26,5445,9548,22
37,365,30,310,2018 March,778,9,5066,10004,55
79,199,80,171,2025 March,361,14,6112,9883,11
25,338,21,269,2019 June,801,16,5078,9722,58
27,306,26,235,2021 September,542,7,5296,9943,35
24,273,29,217,2022 July,500,7,5352,9623,28
74,200,63,179,2024 September,452,16,5841,9651,16
62,207,57,177,2024 April,492,15,5644,9556,14
35,258,42,205,2023 February,490,12,5398,9610,21
70,206,59,182,2024 July,471,13,5745,9655,14
36,250,41,212,2023 March,506,14,5414,9646,20
23,334,26,281,2019 March,815,10,5084,9729,54
80,203,73,181,2024 October,450,9,5883,9690,15
