application_eligible,transitional_congregate_1,asian_pacific_native_american,rental_assist_above_enhanced_manhattan,ssd_cases,commercial_mou_sro_hotels_3,rental_assist_enhanced_queens,rental_assist_enhanced_staten,scatter_site_staten_island,rental_assist_enhanced_bronx,nycha_queens,permanent_congregate_bronx,nycha_staten_island,cases_assigned_to_field_office,rental_assist_above_enhanced_bronx,permanent_congregate_manhattan
404,137,299,2102,3784,20,45,14,48,215,51,850,13,434,7469,1105
210,136,331,2290,3706,23,44,9,47,138,41,883,14,238,7542,1110
413,132,341,2444,3458,16,39,4,47,106,31,931,12,423,7770,1069
438,141,294,2032,3800,24,61,11,50,227,48,770,11,457,7303,1110
317,127,335,2422,3710,28,46,11,47,135,38,895,14,342,7630,1092
271,123,328,2204,3745,21,48,8,49,150,38,894,14,296,7614,1104
270,120,332,2417,3739,22,47,11,47,135,39,904,14,295,7621,1096
224,125,329,2223,3733,26,51,7,47,162,37,900,14,247,7577,1103
419,141,300,0,3793,19,0,0,48,0,52,816,12,442,0,1109
418,136,309,2146,3764,22,48,15,50,186,36,895,15,474,7514,1115
341,132,344,2428,3451,15,42,3,46,110,32,930,12,376,7723,1069
270,133,407,2873,3231,53,22,1,45,97,32,834,10,302,9279,988
462,138,299,2175,3772,17,49,15,48,195,40,875,15,515,7497,1106
407,140,333,2450,3503,21,40,6,46,176,29,913,13,428,7534,1098
318,127,337,2249,3740,26,47,9,49,144,42,883,14,343,7548,1135
