permanent_congregate_staten,staten_island,scatter_site_queens,queens,clients_with_earned_income,permanent_congregate_brooklyn,rental_assist_enhanced_1,clients_served,rental_assist_above_enhanced_staten_island,ssi_cases,male_children
0,854,230,2950,1956,371,119,34236,540,9626,26
0,877,211,2992,1384,428,109,34552,571,8836,20
0,772,202,3106,2020,454,78,32781,534,7544,13
0,831,231,2945,2060,381,136,34374,537,9885,31
0,667,196,3707,2937,410,65,35094,493,6545,10
0,879,216,2930,1825,378,116,34394,559,9332,23
0,770,205,3178,1893,456,85,32927,541,7802,14
0,730,198,3265,2364,441,57,33648,517,7186,11
0,804,206,3135,1759,450,91,33018,539,7891,17
0,870,215,2941,1505,416,123,34484,579,9116,22
0,848,206,3152,1373,426,98,34255,566,8489,21
0,838,230,2930,2046,383,138,34328,526,9815,32
0,847,204,3161,1435,429,106,33544,548,8154,16
0,740,200,3205,2308,438,63,33384,516,7293,9
0,818,233,2997,2042,378,143,34496,531,9837,32
0,834,228,2931,2065,376,132,34301,530,9942,31
