grade_3,grade_7,economic_need_index,male,grade_11
0,0,27.9%,253,112
0,0,83.2%,251,166
132,0,11.0%,413,0
0,378,42.6%,605,0
0,0,42.0%,222,114
64,0,9.1%,210,0
0,0,78.5%,116,70
25,0,11.7%,96,0
32,0,88.2%,123,0
0,0,19.0%,222,135
16,43,Above 95%,147,0
118,0,7.9%,339,0
0,0,85.0%,259,123
0,0,81.4%,142,55
67,0,16.2%,211,0
0,117,45.1%,174,0
0,0,87.1%,261,179
0,180,29.5%,329,0
22,0,76.2%,103,0
0,0,90.6%,156,60
94,0,10.6%,299,0
0,0,87.6%,190,48
90,0,39.5%,302,0
0,49,72.7%,333,68
24,44,94.3%,152,0
0,0,78.7%,170,99
0,0,77.5%,188,384
0,0,90.2%,170,85
0,0,85.0%,211,89
64,0,10.2%,186,0
0,0,83.2%,180,61
28,30,37.0%,180,0
12,26,93.3%,102,0
0,137,25.2%,168,0
0,38,88.5%,99,45
0,0,79.4%,203,139
0,365,40.7%,576,0
0,0,92.0%,252,133
0,0,Above 95%,140,21
0,77,80.1%,132,0
62,61,16.8%,286,0
0,0,62.4%,361,109
103,0,11.1%,314,0
0,0,85.6%,112,47
0,0,87.5%,188,66
0,52,77.1%,67,0
70,116,70.7%,421,0
0,0,63.5%,189,116
0,0,75.1%,248,159
0,0,71.7%,30,21
33,48,Above 95%,217,0
0,0,90.0%,311,146
48,53,71.6%,278,0
107,0,68.8%,303,0
41,43,94.2%,183,0
0,0,86.0%,168,68
63,0,34.5%,234,0
74,0,64.9%,274,0
0,0,83.7%,164,60
0,0,39.9%,1901,849
0,0,90.8%,168,102
84,0,49.5%,282,0
0,84,79.3%,125,0
162,0,39.0%,461,0
86,0,78.7%,294,0
0,92,36.9%,134,0
0,0,35.0%,178,116
78,0,90.9%,263,0
125,0,11.5%,338,0
0,0,71.1%,164,118
0,0,80.5%,123,60
0,62,68.8%,111,0
64,0,9.7%,184,0
40,0,88.4%,139,0
0,271,42.3%,376,0
0,0,40.1%,280,167
0,0,82.0%,267,85
0,0,94.2%,186,81
0,0,Above 95%,227,86
0,0,Above 95%,208,88
102,0,48.2%,298,0
66,0,92.1%,238,0
50,0,34.9%,159,0
0,0,81.1%,123,53
0,0,33.0%,549,389
0,0,73.9%,210,105
48,0,44.8%,168,0
48,0,19.2%,218,0
0,0,76.3%,127,95
0,76,26.4%,111,0
97,0,12.4%,354,0
0,0,50.9%,311,200
0,0,92.1%,251,96
82,0,6.7%,273,0
42,60,Above 95%,207,0
64,62,38.9%,306,0
0,0,79.5%,228,104
50,73,91.1%,241,0
0,68,36.8%,247,71
51,55,64.6%,292,0
75,0,28.4%,300,0
28,59,94.9%,197,0
0,0,79.3%,433,311
0,0,27.8%,269,108
0,71,36.5%,244,68
33,66,92.3%,191,0
28,0,69.0%,103,0
106,21,23.3%,307,0
0,71,86.2%,89,0
0,0,74.9%,85,56
67,86,81.8%,361,0
0,105,62.9%,366,93
0,0,83.7%,252,102
99,0,49.4%,317,0
0,0,41.3%,1923,811
0,0,74.6%,289,202
0,0,76.2%,126,325
91,0,17.8%,312,0
38,11,35.9%,168,0
30,0,88.2%,144,0
0,0,87.3%,143,81
0,0,77.9%,245,124
63,0,64.6%,213,0
30,0,14.1%,99,0
0,0,24.4%,245,129
0,0,55.8%,346,132
0,0,39.4%,243,177
0,0,80.1%,271,101
0,0,69.8%,262,94
0,101,65.4%,357,91
0,0,94.8%,172,68
35,51,Above 95%,196,0
0,0,76.2%,557,292
0,0,83.1%,197,87
0,0,45.0%,94,121
27,27,93.4%,124,0
56,0,84.4%,169,0
38,25,34.4%,161,0
0,165,85.7%,247,0
0,0,64.9%,89,74
0,0,34.7%,214,101
0,90,85.3%,145,0
0,0,92.9%,409,263
0,150,16.0%,192,0
81,0,52.9%,270,0
92,83,10.5%,450,0
54,76,93.1%,298,0
68,0,59.7%,235,0
18,31,93.8%,105,0
98,0,9.0%,266,0
0,0,62.9%,60,81
0,0,Above 95%,269,89
0,151,14.5%,196,0
121,0,56.9%,418,0
27,0,18.4%,137,0
0,0,85.3%,314,112
97,0,17.9%,295,0
0,107,32.5%,390,111
0,0,84.5%,127,95
0,0,78.7%,157,108
107,0,8.5%,414,0
0,0,92.2%,397,277
55,81,Above 95%,339,0
0,120,64.2%,179,0
88,95,93.5%,415,0
54,58,13.7%,275,0
0,111,16.2%,135,0
0,0,81.8%,67,31
0,66,21.6%,126,0
35,0,13.8%,131,0
0,0,76.3%,134,330
120,0,21.3%,379,0
0,26,47.5%,60,0
97,63,29.0%,374,0
78,99,94.2%,405,0
46,0,50.5%,169,0
0,124,56.9%,174,0
26,67,90.0%,197,0
0,0,90.6%,417,283
0,67,85.4%,115,0
0,64,72.2%,97,0
0,85,70.2%,118,0
52,0,53.6%,180,0
0,0,87.3%,132,44
0,0,79.4%,300,83
