dbn,hispanic,hispanic_1
02M412,54,0.112
02M529,371,0.654
02M158,60,0.076
02M104,215,0.19
02M414,110,0.248
02M267,43,0.104
02M605,152,0.582
02M150,20,0.111
01M064,160,0.727
02M416,49,0.091
01M034,152,0.557
02M041,63,0.091
01M448,198,0.402
02M135,166,0.591
02M343,62,0.135
03M862,127,0.371
03M505,338,0.676
02M312,31,0.057
01M063,128,0.631
02M427,262,0.91
02M290,55,0.087
02M500,168,0.604
03M084,215,0.324
02M422,258,0.444
03M076,58,0.191
02M545,14,0.035
02M600,970,0.582
02M544,182,0.578
02M500,197,0.627
02M077,17,0.047
02M500,151,0.592
02M225,98,0.295
03M149,67,0.33
03M245,115,0.287
03M415,128,0.409
02M529,289,0.652
02M104,196,0.176
02M542,526,0.989
02M394,76,0.309
01M332,133,0.568
02M397,89,0.159
02M507,245,0.524
02M040,93,0.143
02M313,110,0.47
03M402,195,0.646
03M250,77,0.507
02M126,159,0.201
02M534,228,0.499
02M298,310,0.542
02M586,43,0.581
01M134,146,0.596
02M308,183,0.556
02M077,17,0.047
01M378,156,0.551
02M111,193,0.487
02M586,35,0.574
04M083,279,0.636
02M347,92,0.479
02M529,193,0.639
02M158,64,0.08
02M051,225,0.482
02M150,20,0.107
02M217,88,0.143
04M037,137,0.529
02M316,92,0.335
03M165,232,0.537
02M605,144,0.613
02M198,112,0.243
02M059,66,0.115
03M009,111,0.182
02M343,52,0.118
02M933,124,0.502
02M089,62,0.143
02M392,269,0.666
01M361,114,0.386
02M183,47,0.085
02M255,38,0.099
02M933,100,0.571
02M565,47,0.32
02M565,60,0.375
02M131,46,0.151
02M042,44,0.067
03M243,34,0.145
02M124,16,0.02
03M485,470,0.17
04M012,90,0.15
03M291,131,0.217
02M040,98,0.155
03M180,144,0.281
02M545,14,0.035
02M655,213,0.605
02M376,119,0.256
02M280,173,0.471
01M363,94,0.348
02M427,247,0.918
02M167,209,0.164
02M630,755,0.515
02M051,222,0.455
03M242,40,0.286
03M859,44,0.14
01M292,112,0.569
02M560,267,0.433
02M419,223,0.587
04M038,139,0.577
02M489,338,0.459
01M448,206,0.443
03M494,282,0.56
01M364,136,0.395
02M033,178,0.286
02M655,238,0.604
03M166,104,0.163
02M177,58,0.256
02M047,107,0.648
02M312,30,0.053
02M411,62,0.126
03M452,52,0.155
01M188,249,0.612
03M075,316,0.55
02M111,194,0.47
03M415,124,0.401
01M448,166,0.423
03M403,294,0.702
03M191,190,0.447
01M188,278,0.625
01M292,174,0.588
02M570,167,0.596
02M427,200,0.952
02M545,18,0.045
02M534,221,0.502
02M531,129,0.524
02M560,264,0.421
01M019,180,0.664
26Q376,34,0.197
02M399,171,0.425
02M282,180,0.466
03M492,239,0.596
02M427,221,0.948
02M542,515,0.99
02M534,224,0.46
03M333,135,0.179
04M007,250,0.667
03M291,64,0.189
01M034,182,0.597
02M442,26,0.173
01M650,103,0.617
03M862,187,0.451
02M281,26,0.139
01M363,106,0.346
02M896,64,0.166
02M374,232,0.496
02M422,257,0.422
02M376,110,0.241
02M392,269,0.65
02M520,157,0.386
03M404,108,0.587
02M422,260,0.404
01M364,141,0.403
01M332,128,0.631
03M076,102,0.23
03M334,40,0.077
02M124,10,0.015
02M414,166,0.366
03M166,105,0.162
03M241,52,0.419
02M531,115,0.475
01M015,96,0.505
02M343,62,0.146
03M403,292,0.67
02M560,266,0.442
03M479,280,0.197
04M102,92,0.511
03M299,99,0.5
02M425,313,0.598
01M063,157,0.686
03M492,230,0.568
02M151,114,0.235
02M412,66,0.133
02M580,247,0.576
01M839,144,0.386
02M438,192,0.539
02M288,199,0.531
04M037,103,0.536
01M015,95,0.546
02M408,114,0.204
01M696,121,0.197
