missing_race_ethnicity_data_1,black,poverty_1,grade_10,female,male_1,native_american,white,grade_6
0.023,10,31.7%,153,230,0.524,1,268,0
0.005,130,81.1%,166,316,0.443,5,20,0
0.0,22,12.2%,0,380,0.521,6,571,0
0.006,85,45.1%,0,529,0.534,7,393,368
0.036,54,40.0%,100,221,0.501,5,155,0
0.002,4,13.5%,0,204,0.507,0,303,0
0.015,55,80.8%,58,145,0.444,3,21,0
0.006,0,10.6%,0,84,0.533,1,87,0
0.005,40,91.4%,0,97,0.559,1,9,0
0.028,15,18.7%,135,319,0.41,10,357,0
0.0,104,Above 95%,0,126,0.538,1,8,48
0.0,10,7.2%,0,355,0.488,0,480,0
0.0,81,87.6%,122,233,0.526,2,22,0
0.007,83,81.9%,80,139,0.505,2,9,0
0.0,29,15.1%,0,247,0.461,0,227,0
0.02,90,48.8%,0,168,0.509,4,80,115
0.0,136,Above 95%,229,239,0.522,4,20,0
0.009,10,30.3%,0,212,0.608,0,181,187
0.0,37,81.8%,0,100,0.507,0,24,0
0.0,11,94.4%,99,132,0.542,0,7,0
0.0,14,11.7%,0,332,0.474,1,454,0
0.007,70,91.7%,74,88,0.683,1,13,0
0.002,47,37.6%,0,361,0.456,1,336,0
0.003,149,71.8%,112,248,0.573,2,87,89
0.0,224,Above 95%,0,151,0.502,3,12,36
0.007,5,84.4%,90,233,0.422,0,13,0
0.016,494,81.7%,478,1479,0.113,11,85,0
0.0,108,87.9%,69,145,0.54,3,14,0
0.01,63,89.2%,69,103,0.672,3,16,0
0.0,1,11.7%,0,174,0.517,0,182,0
0.027,75,89.0%,60,75,0.706,1,8,0
0.0,53,31.9%,0,152,0.542,10,122,26
0.0,111,91.1%,0,101,0.502,3,7,31
0.005,50,23.7%,0,233,0.419,6,196,135
0.019,165,82.1%,60,214,0.316,5,6,25
0.002,105,78.1%,94,240,0.458,3,15,0
0.004,84,43.4%,0,540,0.516,6,390,374
0.004,2,87.6%,134,280,0.474,0,1,0
0.0,64,91.9%,58,106,0.569,3,17,0
0.0,67,87.6%,0,102,0.564,1,11,67
0.002,22,17.7%,0,274,0.511,7,298,62
0.03,139,56.0%,126,107,0.771,2,19,0
0.0,18,8.3%,0,336,0.483,2,402,0
0.004,106,79.5%,54,122,0.479,0,10,0
0.007,78,85.1%,94,114,0.623,2,15,0
0.013,57,74.3%,0,85,0.441,4,9,45
0.0,78,79.6%,0,370,0.532,1,62,118
0.024,96,67.8%,118,268,0.414,2,84,0
0.038,191,79.4%,137,324,0.434,0,22,0
0.0,22,81.1%,17,44,0.405,0,6,0
0.015,157,79.7%,116,217,0.468,5,8,0
0.044,64,55.5%,103,224,0.453,2,121,0
0.004,112,62.0%,120,96,0.788,4,34,0
0.044,40,42.9%,97,216,0.468,5,147,0
0.0,67,92.5%,66,131,0.573,4,30,0
0.004,165,68.5%,0,250,0.528,2,65,51
0.0,20,88.1%,12,33,0.441,0,5,0
0.008,76,84.5%,75,141,0.468,3,8,0
0.0,64,27.2%,0,294,0.491,8,107,86
0.019,118,71.5%,117,227,0.47,1,26,0
0.019,83,84.8%,107,275,0.336,1,25,0
0.0,138,91.7%,0,322,0.478,8,6,72
0.001,92,21.3%,0,346,0.498,4,377,64
0.008,223,84.0%,76,139,0.616,4,7,25
0.0,48,Above 95%,0,104,0.579,1,16,0
0.037,97,57.6%,86,247,0.302,3,11,0
0.007,110,65.0%,0,198,0.537,5,69,148
0.033,130,58.1%,116,90,0.803,5,27,0
0.012,31,15.7%,0,294,0.513,2,322,0
0.0,17,27.0%,0,161,0.494,1,183,0
0.0,30,Above 95%,29,139,0.53,8,26,0
0.006,54,Above 95%,0,147,0.553,6,8,0
0.029,29,17.2%,128,494,0.32,5,462,97
0.002,66,67.8%,0,239,0.503,3,22,0
0.0,104,79.9%,124,174,0.593,3,47,0
0.0,17,12.4%,0,254,0.5,6,280,61
0.014,95,83.1%,83,118,0.678,2,10,0
0.0,60,87.6%,0,194,0.477,2,11,0
0.003,31,30.2%,0,167,0.506,0,139,0
0.0,24,46.5%,0,81,0.43,3,37,20
0.014,54,87.8%,40,147,0.0,2,7,0
0.002,51,73.6%,0,244,0.509,4,16,0
0.0,62,75.9%,0,320,0.527,0,39,119
0.007,64,91.9%,0,131,0.559,3,11,0
0.0,39,55.3%,0,199,0.483,1,104,133
0.0,21,21.3%,0,202,0.461,1,181,0
0.002,13,12.9%,0,243,0.467,1,318,0
0.013,99,80.1%,117,104,0.734,2,11,0
0.0,60,89.5%,0,175,0.53,1,7,67
0.008,52,81.7%,65,76,0.704,0,10,0
0.028,116,76.3%,115,234,0.49,3,20,0
0.0,211,86.0%,69,155,0.539,8,9,34
0.01,48,28.5%,0,210,0.475,5,191,134
0.0,7,8.6%,0,90,0.516,0,106,0
0.0,4,86.1%,0,125,0.459,0,9,85
0.051,139,73.0%,89,174,0.506,3,23,0
0.0,15,7.2%,0,201,0.467,0,209,0
0.0,104,90.2%,0,175,0.51,4,12,48
0.043,26,50.7%,166,422,0.38,3,218,0
0.0,12,32.0%,0,144,0.515,1,155,0
0.005,106,81.3%,114,146,0.636,5,17,0
0.007,69,84.8%,0,70,0.493,3,14,42
0.0,62,76.8%,142,212,0.601,1,11,0
0.019,60,72.2%,0,76,0.531,5,13,48
0.0,75,85.5%,49,127,0.441,1,3,0
0.045,95,54.3%,157,186,0.652,5,156,0
0.004,7,6.9%,0,255,0.522,0,347,0
0.012,157,81.5%,125,255,0.403,1,6,0
0.0,53,40.5%,0,363,0.447,1,312,0
0.0,3,82.2%,0,121,0.474,0,10,67
0.011,60,82.8%,75,142,0.456,4,17,0
0.0,13,12.4%,0,184,0.482,0,213,0
0.0,25,20.9%,0,189,0.479,0,168,0
0.038,76,76.9%,82,86,0.7,2,29,0
0.0,3,5.0%,0,171,0.497,2,190,0
0.0,155,84.8%,111,145,0.676,4,9,0
0.0,53,81.9%,0,101,0.477,0,11,0
0.002,13,14.8%,0,233,0.5,1,314,0
0.0,41,86.5%,0,93,0.583,0,12,0
0.013,21,42.6%,110,269,0.415,2,179,0
0.0,104,82.9%,104,216,0.376,4,10,0
0.023,24,46.4%,857,1428,0.571,13,595,0
0.023,127,74.5%,111,142,0.674,3,44,0
0.014,150,82.4%,51,188,0.324,4,8,34
0.019,107,85.9%,116,202,0.532,2,18,0
0.01,45,30.3%,0,215,0.447,1,177,123
0.006,226,83.1%,92,122,0.655,2,4,13
0.0,58,91.9%,94,123,0.599,1,31,0
0.009,80,31.4%,0,632,0.527,7,696,450
0.0,17,22.5%,0,155,0.508,0,184,0
0.0,83,39.9%,116,358,0.523,3,273,104
0.032,17,27.8%,118,246,0.478,5,266,0
0.0,355,Above 95%,0,247,0.477,1,13,53
0.008,175,81.3%,210,302,0.591,8,54,0
0.0,13,10.8%,0,318,0.463,1,428,0
0.0,63,37.5%,0,241,0.493,1,230,0
0.037,42,46.0%,94,220,0.453,4,133,0
0.0,281,72.7%,0,270,0.505,3,59,41
0.017,136,85.1%,128,153,0.679,4,19,0
0.0,29,Above 95%,0,261,0.527,1,5,0
0.017,87,91.0%,110,190,0.551,3,16,0
0.0,5,12.1%,0,213,0.514,0,314,0
0.0,40,54.6%,0,161,0.546,0,121,0
0.001,23,8.2%,0,465,0.467,1,574,0
0.0,72,59.4%,0,232,0.488,2,81,0
0.0,95,86.8%,0,70,0.514,0,4,0
0.017,55,89.4%,51,130,0.274,0,8,0
0.0,162,74.0%,0,231,0.552,1,78,65
0.003,11,11.3%,0,303,0.488,0,394,0
0.009,57,94.6%,0,137,0.568,5,7,0
0.005,134,23.9%,163,831,0.521,13,692,152
0.003,28,43.8%,0,149,0.51,2,140,0
0.0,15,30.0%,0,164,0.503,1,188,0
0.002,1,49.4%,0,322,0.506,0,11,0
0.023,17,40.4%,127,265,0.442,1,202,0
0.0,119,70.1%,0,246,0.551,2,93,0
0.031,65,13.1%,0,400,0.529,3,527,310
0.0,31,12.1%,0,326,0.475,0,380,0
0.0,59,28.2%,0,334,0.461,2,226,32
0.0,84,84.0%,46,103,0.469,3,8,0
0.016,165,79.0%,135,241,0.455,3,10,0
0.003,102,Above 95%,0,170,0.514,1,11,38
0.006,19,18.3%,0,245,0.502,5,238,55
0.011,55,83.7%,69,90,0.658,2,4,0
0.097,152,56.9%,126,408,0.212,2,63,0
0.0,60,62.5%,0,194,0.491,0,93,0
0.0,100,75.1%,0,357,0.512,9,115,49
0.011,67,91.4%,99,82,0.693,2,10,0
0.0,15,10.4%,0,299,0.505,2,404,0
0.062,130,70.3%,86,188,0.447,5,20,0
0.002,11,11.1%,0,313,0.509,0,460,0
0.004,77,32.1%,0,444,0.472,5,440,302
0.0,73,27.2%,0,337,0.473,2,227,34
0.0,1,11.0%,0,173,0.522,0,152,0
0.015,103,84.3%,148,126,0.725,5,17,0
0.006,197,85.4%,67,137,0.573,4,11,27
0.008,165,80.0%,120,334,0.346,0,13,0
0.0,74,75.8%,0,81,0.471,3,19,52
0.0,47,74.8%,122,184,0.617,2,13,0
0.0,109,40.9%,0,284,0.516,28,90,80
0.009,36,81.8%,0,56,0.491,1,7,26
0.001,52,9.0%,0,434,0.505,5,551,0
0.024,16,11.1%,0,247,0.451,5,304,148
0.019,134,80.1%,112,235,0.436,2,16,0
0.017,161,82.8%,77,244,0.324,6,9,24
0.002,242,64.1%,417,919,0.365,8,216,0
