system,precinct,adult_football,the_geom,bocce,flagfootball,borough,cricket,featurestatus,ll_softball,rugby,tennis,basketball,field_lighted
Q020-ZN01-VOLLEYBALL-1,104,False,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.89066919397052, 40.68609752567826], [-73.89072455330634, 40.68616692237024], [-73.89090655681119, 40.686079629901116], [-73.8908512730128, 40.68600809914864], [-73.89066919397052, 40.68609752567826]]]]}",False,False,Q,False,Active,False,False,False,False,False
B153-HANDBALL-1,73,False,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.92059145318363, 40.67567155908011], [-73.92047067425197, 40.67566457951227], [-73.92046027892361, 40.67578542596611], [-73.92058105925686, 40.675792404645044], [-73.92059145318363, 40.67567155908011]]]]}",False,False,B,False,Active,False,False,False,False,False
B105-BASKETBALL-1,79,False,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.96087358756643, 40.695605647475276], [-73.96082638110104, 40.69537677962362], [-73.96065325063344, 40.69539678668857], [-73.96070262435315, 40.695625106038136], [-73.96087358756643, 40.695605647475276]]]]}",False,False,B,False,Active,False,False,False,True,False
M028-ZN01-BASEBALL-2,33,False,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.94701274832774, 40.842145519617034], [-73.94696324164703, 40.84211507910884], [-73.94690803959544, 40.842090941210344], [-73.94684851832969, 40.84207370987801], [-73.94678616797171, 40.842063813526806], [-73.94672254162836, 40.84206149960478], [-73.94665923049864, 40.84206682737765], [-73.94659781407971, 40.84207966250333], [-73.94653982696298, 40.84209968421998], [-73.94648671851449, 40.842126393431464], [-73.9464398125535, 40.84215912259333], [-73.9464002812513, 40.84219705551055], [-73.94636911191675, 40.842239244430424], [-73.94634708326186, 40.842284633443576], [-73.94633474521522, 40.84233209269218], [-73.9463324058629, 40.84238043547289], [-73.94634012311741, 40.84242845335154], [-73.94678824514322, 40.842520704844155], [-73.94688013183904, 40.84249049423376], [-73.94701274832774, 40.842145519617034]]]]}",False,,M,False,Inactive,True,False,False,False,False
Q410-VOLLEYBALL-1,115,False,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.85447936183286, 40.755435956163566], [-73.85445651929952, 40.75538195904958], [-73.85436148865212, 40.75540723592743], [-73.85438537211321, 40.75546282106845], [-73.85447936183286, 40.755435956163566]]]]}",False,,Q,False,Inactive,False,False,False,False,False
M010-ZN37-BASEBALL-6,22,False,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.9574393026074, 40.79135306070041], [-73.95736077921666, 40.79139817196616], [-73.95729456795057, 40.79145352913277], [-73.95724294730162, 40.79151722760742], [-73.95720769122892, 40.79158707534946], [-73.95719001460122, 40.791660670289794], [-73.95719052574431, 40.79173547955441], [-73.95720920504533, 40.791808931306704], [-73.9572454108133, 40.791878497594965], [-73.95729789935322, 40.79194178531243], [-73.95736486163719, 40.79199661725848], [-73.95744399789668, 40.79204110781156], [-73.95753258274813, 40.79207372599252], [-73.95762756942926, 40.79209334863628], [-73.95772569167548, 40.79209930275589], [-73.95782357272525, 40.79209138179367], [-73.95791784499147, 40.79206985917332], [-73.95814987335865, 40.79157267381285], [-73.95811585915783, 40.79152132752765], [-73.9574393026074, 40.79135306070041]]]]}",False,False,M,False,Active,False,False,False,False,False
M164-HANDBALL-4,13,False,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.97511671425953, 40.736838348114375], [-73.97520974860545, 40.73687695583349], [-73.9752910114108, 40.73676661157889], [-73.97519684585235, 40.736726769985566], [-73.97511671425953, 40.736838348114375]]]]}",False,False,M,False,Active,False,False,False,False,False
QS13-TENNIS-1,111,False,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.75009347824172, 40.76886599328749], [-73.75003816684647, 40.768777679433946], [-73.74978599726613, 40.768873929394665], [-73.74984367739454, 40.76895938039631], [-73.75009347824172, 40.76886599328749]]]]}",False,,Q,False,Inactive,False,False,True,False,False
B216-BASKETBALL-3,79,False,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.9397687606306, 40.686578661177975], [-73.93975025962459, 40.686480907920654], [-73.93964275106505, 40.68649091302275], [-73.9396618072602, 40.686589391502054], [-73.9397687606306, 40.686578661177975]]]]}",False,False,B,False,Active,False,False,False,True,False
R046-ZN01-VOLLEYBALL-2,122,False,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.06366527337471, 40.591988767987345], [-74.06358318819112, 40.59193545743684], [-74.06343830856841, 40.59205733417609], [-74.06351817824843, 40.592112508336115], [-74.06366527337471, 40.591988767987345]]]]}",False,False,R,False,Active,False,False,False,False,False
