num_hh_travelers,o_cms_zone,person_id,d_congestion,o_purpose_category_imputed,d_distance_school,leg_num,survey_mode,mode_2,taxi_cost_amount,used_transit,invalid_purpose_flag,hh_member_3,trip_duration,bike_park_location,user_split
2,Upper Manhattan,1900904001,0,1,,1,1,995,,0,0,0,4.8,995,0
4,Manhattan Core,1900765001,1,8,,1,1,995,,0,0,1900765003,3.2,995,0
1,Inner Brooklyn,1900526701,0,1,,1,1,995,,0,0,995,119.3,995,0
1,Inner Brooklyn,1900773701,0,1,,1,1,995,,0,0,0,6.8,995,0
1,Southern Bronx,1900845801,0,8,,1,1,995,,0,0,995,12.6,995,0
-9998,Manhattan Core,1900199001,1,-9998,,1,1,995,,0,0,995,8.7,995,0
2,Upper Manhattan,1900904001,0,10,,3,1,995,,1,0,1900904003,19.0,995,1
1,Manhattan Core,1900158301,1,6,,1,1,995,,0,0,995,2.4,995,0
1,Inner Brooklyn,1900526701,0,10,,2,1,995,,0,0,995,6.5,995,1
1,Northern Bronx,1900422601,0,2,,1,1,995,,0,0,0,6.1,995,0
1,Inner Queens,1901231201,0,8,,1,1,995,3.5,0,0,995,3.9,995,0
3,Northern Bronx,1900785401,0,8,,1,1,995,,0,0,1900785403,4.3,995,0
1,Manhattan Core,1900987001,0,5,,1,1,995,,0,0,0,29.2,995,0
1,Southern Bronx,1900889601,0,8,,1,1,995,,1,0,0,4.5,995,0
1,Inner Brooklyn,1900526701,0,2,,1,1,995,,0,0,995,13.5,995,1
1,Staten Island,1900728301,0,6,,1,1,995,,0,0,0,7.7,995,0
1,Inner Brooklyn,1900447401,0,6,,1,1,995,,0,0,995,15.0,995,0
1,Outer Brooklyn,1900447401,0,2,,1,1,995,,1,0,995,11.1,995,0
1,Southern Bronx,1900230101,0,2,19489.7,1,1,995,,1,0,995,120.0,995,0
1,Northern Bronx,1900422601,0,6,,1,1,995,,0,0,0,5.3,995,0
1,Inner Brooklyn,1900526701,0,6,,1,1,995,,0,0,995,16.9,995,1
1,Upper Manhattan,1900904001,0,1,,1,1,995,,0,0,0,6.0,995,0
3,Northern Bronx,1900785401,0,8,,1,1,995,,0,0,1900785403,9.8,995,0
1,Manhattan Core,1900948201,0,1,,1,1,995,,1,0,995,41.1,995,0
3,Northern Bronx,1900785401,0,8,,1,1,995,,0,0,1900785403,20.6,995,0
1,,1900960901,0,6,,1,1,995,,0,0,0,13.8,995,0
1,Upper Manhattan,1900904001,0,1,,1,1,995,,1,0,0,7.9,995,0
2,Southern Bronx,1900296201,0,1,,1,1,995,,0,0,995,2.4,995,0
1,Northern Bronx,1900422601,0,1,,1,1,995,,0,0,0,3.8,995,0
1,Manhattan Core,1900330701,1,9,,995,2,995,,0,0,995,5.0,995,995
2,Upper Manhattan,1900904001,0,1,,1,1,995,,1,0,1900904003,157.5,995,0
1,Manhattan Core,1900904001,1,3,,1,1,995,,1,0,0,20.0,995,0
1,Northern Bronx,1900023501,0,7,,1,1,49,12.4,1,0,0,11.8,995,0
1,Northern Bronx,1901242801,0,9,,1,1,995,,0,0,0,5.7,995,0
2,Manhattan Core,1900447401,0,10,,3,1,995,,1,0,995,21.7,995,0
2,Outer Queens,1900751101,0,1,,1,1,995,,0,0,0,4.6,995,0
1,Southern Bronx,1900889601,0,11,,1,1,37,13.0,0,0,0,14.0,995,0
1,Outer Brooklyn,1900447401,0,2,,1,1,995,,0,0,995,38.7,995,0
1,Inner Brooklyn,1900526701,0,1,,1,1,995,11.0,0,0,995,18.4,995,0
2,Northern Bronx,1900422601,0,1,,1,1,995,,0,0,1900422603,12.3,995,0
-9998,Upper Manhattan,1900904001,0,8,,1,1,995,,0,0,0,3.0,995,0
1,Manhattan Core,1900987001,1,8,,1,1,995,,0,0,0,8.9,995,0
1,Inner Queens,1901231201,0,1,,1,1,995,,0,0,995,2.5,995,0
-9998,Southern Bronx,1900845801,0,-9998,,1,1,995,,0,0,995,4.2,995,0
2,Northern Bronx,1900422601,0,1,,1,1,995,,0,0,1900422603,4.8,995,0
4,Northern Bronx,1900765001,0,5,,1,1,995,,0,0,1900765003,6.8,995,0
1,Inner Queens,1900610701,0,5,,1,1,995,,0,0,995,4.7,995,0
1,Northern Bronx,1900422601,0,7,,1,1,995,,0,0,0,6.3,995,0
1,Manhattan Core,1900987001,1,2,,1,1,995,,0,0,0,1.7,6,0
3,Northern Bronx,1900785401,0,8,,1,1,995,,0,0,1900785403,42.6,995,0
1,Inner Brooklyn,1900987001,0,10,,2,1,995,,0,0,0,6.3,995,0
2,Northern Bronx,1900765001,0,6,,1,1,995,,0,0,0,21.3,995,0
1,Northern Bronx,1900422601,0,9,,1,1,995,,0,0,0,3.1,995,0
1,Middle Queens,1900960901,0,1,,1,1,995,,1,0,0,50.0,995,0
1,Inner Queens,1901231201,0,11,,1,1,995,,0,0,995,0.5,995,0
1,Northern Bronx,1900422601,0,11,,1,1,995,,0,0,0,14.6,995,0
1,Southern Bronx,1900889601,0,7,,1,1,995,,0,0,0,6.3,995,0
1,Inner Brooklyn,1900447401,0,10,,4,1,995,,0,0,995,10.0,995,0
