high_hus_no,tds_no,viol_appr_dt,issued_in_err,stairhall_no
1010,31,2025-10-30T00:00:00.000,N,5
495,79,2025-09-19T00:00:00.000,N,52
1895,62,2025-11-06T00:00:00.000,N,3
2370,74,2025-11-12T00:00:00.000,N,8
315,199,2025-09-26T00:00:00.000,N,38
401,9,2025-09-30T00:00:00.000,N,21
52,177,2025-09-22T00:00:00.000,N,9
2861,49,2025-09-23T00:00:00.000,N,6
317,168,2025-09-29T00:00:00.000,N,32
2932,216,2025-10-09T00:00:00.000,N,7
1615,32,2025-10-20T00:00:00.000,N,5
52,177,2025-09-22T00:00:00.000,N,9
159-64,37,2025-10-09T00:00:00.000,N,6
843,4,2025-09-16T00:00:00.000,N,33
315,199,2025-09-26T00:00:00.000,N,38
443,122,2025-10-21T00:00:00.000,N,7
1615,32,2025-10-20T00:00:00.000,N,5
824,73,2025-10-08T00:00:00.000,N,23
443,122,2025-10-21T00:00:00.000,N,7
354,6,2025-09-22T00:00:00.000,N,23
17,79,2025-09-15T00:00:00.000,N,84
1350,102,2025-09-18T00:00:00.000,N,7
401,9,2025-09-30T00:00:00.000,N,21
843,4,2025-09-16T00:00:00.000,N,33
144,151,2025-10-01T00:00:00.000,N,44
134,18,2025-09-19T00:00:00.000,N,13
865,82,2025-09-24T00:00:00.000,N,7
3073,267,2025-10-14T00:00:00.000,N,1
588,21,2025-10-10T00:00:00.000,N,58
153,79,2025-09-15T00:00:00.000,N,92
23,178,2025-10-08T00:00:00.000,N,36
23,178,2025-10-08T00:00:00.000,N,36
330,96,2025-10-07T00:00:00.000,N,2
22,7,2025-10-17T00:00:00.000,N,54
80,79,2025-10-22T00:00:00.000,N,59
220,131,2025-09-19T00:00:00.000,N,5
709,23,2025-09-24T00:00:00.000,N,15
2932,216,2025-10-09T00:00:00.000,N,7
1110,223,2025-11-06T00:00:00.000,N,1
1839,17,2025-11-12T00:00:00.000,N,14
22-01,48,2025-10-27T00:00:00.000,N,22
2861,49,2025-09-22T00:00:00.000,N,6
2957,36,2025-10-08T00:00:00.000,N,3
40,23,2025-10-23T00:00:00.000,N,6
930,23,2025-11-23T00:00:00.000,N,10
2112,20,2025-11-22T00:00:00.000,N,14
1785,88,2025-10-16T00:00:00.000,N,1
1615,32,2025-10-20T00:00:00.000,N,5
116-30,91,2025-11-15T00:00:00.000,N,5
342,121,2025-10-20T00:00:00.000,N,4
2370,74,2025-09-24T00:00:00.000,Y,16
144,151,2025-10-01T00:00:00.000,N,44
315,199,2025-09-25T00:00:00.000,N,38
930,23,2025-11-23T00:00:00.000,N,10
300,96,2025-09-28T00:00:00.000,N,1
1370,30,2025-10-28T00:00:00.000,N,6
422,9,2025-12-05T00:00:00.000,N,1
159-70,37,2025-09-16T00:00:00.000,N,7
1615,32,2025-10-20T00:00:00.000,N,5
642,337,2025-11-10T00:00:00.000,N,50
2370,74,2025-09-24T00:00:00.000,Y,16
2370,74,2025-10-16T00:00:00.000,N,16
52,177,2025-09-22T00:00:00.000,N,9
134,18,2025-09-19T00:00:00.000,N,13
53,79,2025-10-06T00:00:00.000,N,65
2370,74,2025-10-24T00:00:00.000,N,8
1817,88,2025-10-17T00:00:00.000,N,18
1815,67,2025-09-18T00:00:00.000,Y,27
315,199,2025-09-25T00:00:00.000,N,38
53,79,2025-10-06T00:00:00.000,N,65
414,61,2025-11-12T00:00:00.000,N,1
2957,36,2025-10-08T00:00:00.000,N,3
1110,223,2025-11-06T00:00:00.000,N,1
1110,223,2025-11-06T00:00:00.000,N,1
22-01,48,2025-09-23T00:00:00.000,N,22
1815,67,2025-09-26T00:00:00.000,N,27
880,82,2025-09-22T00:00:00.000,N,11
23,178,2025-10-08T00:00:00.000,N,36
154-06,53,2025-10-15T00:00:00.000,N,107
1815,67,2025-09-25T00:00:00.000,Y,27
880,82,2025-11-12T00:00:00.000,N,11
1817,88,2025-10-16T00:00:00.000,N,18
401,9,2025-10-08T00:00:00.000,N,21
75,326,2025-10-24T00:00:00.000,N,24
1785,88,2025-10-16T00:00:00.000,N,1
330,96,2025-10-07T00:00:00.000,N,2
234,29,2025-11-03T00:00:00.000,N,2
153,79,2025-09-15T00:00:00.000,N,92
1615,32,2025-10-20T00:00:00.000,N,5
17,79,2025-09-15T00:00:00.000,N,84
1615,32,2025-10-20T00:00:00.000,N,5
412,136,2025-09-22T00:00:00.000,N,10
1815,67,2025-09-25T00:00:00.000,Y,27
865,82,2025-09-24T00:00:00.000,N,7
1010,31,2025-10-30T00:00:00.000,N,5
3023,43,2025-09-22T00:00:00.000,N,27
754,4,2025-11-01T00:00:00.000,N,15
754,4,2025-10-29T00:00:00.000,N,15
2780,63,2025-10-14T00:00:00.000,N,41
1839,17,2025-11-12T00:00:00.000,N,14
67,114,2025-10-06T00:00:00.000,N,11
23,178,2025-10-08T00:00:00.000,N,36
235,38,2025-11-03T00:00:00.000,N,9
53,79,2025-10-19T00:00:00.000,N,64
14,514,2025-09-26T00:00:00.000,N,31
80,79,2025-11-18T00:00:00.000,N,61
2932,216,2025-10-09T00:00:00.000,N,7
2932,216,2025-10-09T00:00:00.000,N,7
2370,74,2025-10-20T00:00:00.000,N,16
1815,67,2025-09-18T00:00:00.000,Y,27
2370,74,2025-09-22T00:00:00.000,N,16
893,82,2025-12-02T00:00:00.000,N,9
2932,216,2025-10-09T00:00:00.000,N,7
2981,149,2025-10-08T00:00:00.000,N,4
22-01,48,2025-09-23T00:00:00.000,N,22
2861,49,2025-09-22T00:00:00.000,N,6
843,4,2025-09-16T00:00:00.000,N,33
53,79,2025-10-19T00:00:00.000,N,64
495,79,2025-09-19T00:00:00.000,N,52
134,18,2025-09-19T00:00:00.000,N,13
880,82,2025-09-22T00:00:00.000,N,11
235,38,2025-11-03T00:00:00.000,N,9
2370,74,2025-09-25T00:00:00.000,N,16
2370,74,2025-09-25T00:00:00.000,N,16
14,514,2025-09-26T00:00:00.000,N,31
1110,223,2025-11-06T00:00:00.000,N,1
315,199,2025-09-25T00:00:00.000,N,38
135,79,2025-10-26T00:00:00.000,N,89
14,514,2025-09-26T00:00:00.000,N,31
233,29,2025-09-30T00:00:00.000,N,4
880,82,2025-09-23T00:00:00.000,N,11
76,100,2025-10-23T00:00:00.000,N,9
135,79,2025-10-26T00:00:00.000,N,89
2780,63,2025-10-14T00:00:00.000,N,41
1010,31,2025-10-30T00:00:00.000,N,5
156,18,2025-10-01T00:00:00.000,N,1
865,82,2025-09-24T00:00:00.000,N,7
234,29,2025-12-05T00:00:00.000,N,2
495,79,2025-09-21T00:00:00.000,N,54
1817,88,2025-10-16T00:00:00.000,N,18
2861,49,2025-09-22T00:00:00.000,N,6
2861,49,2025-09-22T00:00:00.000,N,6
153,79,2025-09-15T00:00:00.000,N,92
880,82,2025-09-22T00:00:00.000,N,11
23,178,2025-10-03T00:00:00.000,N,36
235,38,2025-11-03T00:00:00.000,N,9
41-08,5,2025-10-28T00:00:00.000,N,8
1110,223,2025-11-06T00:00:00.000,N,1
1815,67,2025-09-25T00:00:00.000,Y,27
40-29,54,2025-10-04T00:00:00.000,N,1
354,6,2025-09-22T00:00:00.000,N,23
2370,74,2025-10-17T00:00:00.000,N,16
134,18,2025-09-19T00:00:00.000,N,13
865,582,2025-09-19T00:00:00.000,N,14
1760,123,2025-10-06T00:00:00.000,N,2
220,131,2025-09-19T00:00:00.000,N,5
134,18,2025-09-19T00:00:00.000,N,13
843,4,2025-09-16T00:00:00.000,N,33
315,199,2025-09-25T00:00:00.000,N,38
453,4,2025-11-03T00:00:00.000,N,39
1815,67,2025-09-25T00:00:00.000,Y,27
2861,49,2025-09-23T00:00:00.000,N,6
1010,31,2025-10-30T00:00:00.000,N,5
250,76,2025-10-21T00:00:00.000,N,6
40-29,54,2025-10-04T00:00:00.000,N,1
350,74,2025-10-16T00:00:00.000,N,21
167,4,2025-09-24T00:00:00.000,N,9
1815,67,2025-09-25T00:00:00.000,Y,27
70,30,2025-11-25T00:00:00.000,N,5
412,136,2025-09-24T00:00:00.000,N,10
330,96,2025-10-07T00:00:00.000,N,2
144,151,2025-10-01T00:00:00.000,N,44
401,9,2025-09-30T00:00:00.000,N,21
40-29,54,2025-10-04T00:00:00.000,N,1
588,21,2025-10-10T00:00:00.000,N,58
22-01,48,2025-09-23T00:00:00.000,N,22
156,18,2025-09-30T00:00:00.000,N,1
300,96,2025-10-01T00:00:00.000,N,1
80,79,2025-10-22T00:00:00.000,N,59
22,4,2025-09-30T00:00:00.000,N,47
180,27,2025-09-16T00:00:00.000,N,4
2400,74,2025-10-20T00:00:00.000,N,22
212,131,2025-10-01T00:00:00.000,N,4
177,29,2025-11-01T00:00:00.000,N,7
1815,67,2025-09-18T00:00:00.000,N,27
797,4,2025-09-16T00:00:00.000,N,18
401,9,2025-09-30T00:00:00.000,N,21
30,83,2025-11-06T00:00:00.000,N,2
17,79,2025-09-15T00:00:00.000,N,84
1815,67,2025-09-26T00:00:00.000,N,27
300,96,2025-10-01T00:00:00.000,N,1
330,96,2025-10-07T00:00:00.000,N,2
14,514,2025-09-26T00:00:00.000,N,31
67,114,2025-10-04T00:00:00.000,N,11
401,9,2025-09-30T00:00:00.000,N,21
218,62,2025-11-06T00:00:00.000,N,14
154-06,53,2025-10-15T00:00:00.000,N,107
53,79,2025-10-19T00:00:00.000,N,64
824,73,2025-10-08T00:00:00.000,N,23
2370,74,2025-09-24T00:00:00.000,Y,16
22,4,2025-09-19T00:00:00.000,N,46
1839,17,2025-11-12T00:00:00.000,N,14
67,114,2025-10-04T00:00:00.000,N,11
22-01,48,2025-09-23T00:00:00.000,N,22
167,4,2025-09-24T00:00:00.000,N,9
401,9,2025-09-30T00:00:00.000,N,21
2957,36,2025-10-08T00:00:00.000,N,3
412,136,2025-09-22T00:00:00.000,N,10
