development_name,lot,bin,zip,bbl,viol_desc,insp_dt
ALBANY,80,3324616,11213,3013520080,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE CEILING   IN THE  BATHROOM  LOCATED AT APT 4H, 4th STORY, 2nd APARTMENT FROM EAST AT SOUTH",2025-10-28T00:00:00.000
RED HOOK WEST,1,3332222,11231,3005380001,"§ 27-2045(B)(1)(A) HMC, § 12-01, § 12-03 RCNY REPAIR, REPLACE OR PROVIDE AN APPROVED AND OPERATIONAL SMOKE DETECTING DEVICE, INSTALLED IN ACCORDANCE WITH DEPARTMENT OF BUILDINGS RULES AND REGULATIONS  THAT IS DEFECTIVE  IN THE  ENTIRE APARTMENT  LOCATED AT APT 5B, 5th STORY, 1st APARTMENT FROM WEST AT NORTH",2025-09-19T00:00:00.000
WASHINGTON,1,1082343,10029,1016470001,"§ 27-2005 ADM CODE  REPLACE WITH NEW THE MISSING ESCUTCHEON PLATE AT SHOWERHEAD  IN THE  BATHROOM  LOCATED AT APT 14H, 14th STORY, 1st APARTMENT FROM SOUTH AT WEST",2025-11-05T00:00:00.000
WAGNER,1,1081291,10035,1018080001,"§ 27-2005 HMC: PROPERLY REPAIR OR REPLACE THE BROKEN OR DEFECTIVE ELECTRIC LIGHT FIXTURE AT CEILING.  IN THE  1st ROOM  FROM NORTH LOCATED AT APT 13B, 13th STORY, 4th APARTMENT FROM SOUTH AT WEST",2025-11-07T00:00:00.000
CORSI HOUSES,45,1079357,10029,1016880045,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR UNKEYED CEILING APPROX 3 SQUARE FEET   IN THE  BATHROOM  LOCATED AT APT 14G, 14th STORY, 4th APARTMENT FROM NORTH AT EAST",2025-09-25T00:00:00.000
EAST RIVER,1,1083936,10029,1016960001,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT THE CEILING AND ALL WALLS   IN THE  3rd ROOM  FROM EAST LOCATED AT APT 4G, 4th STORY, 1st APARTMENT FROM NORTH AT EAST",2025-09-30T00:00:00.000
ROOSEVELT II,24,3341752,11221,3015950024,"HMC ADM CODE: § 27-2017.4 ABATE THE INFESTATION CONSISTING OF ROACHES IN THE  ENTIRE APARTMENT  LOCATED AT APT 14C, 14th STORY, 1st APARTMENT FROM NORTH AT EAST",2025-09-22T00:00:00.000
MARBLE HILL,1,2100931,10463,2032650001,"§ 27-2005, 27-2007, 27-2041.1 HMC, §238, § 309; § 107 (2) ( C) MDL AND 28 RCNY §25-171: REPLACE OR REPAIR THE SELF-CLOSING DOORS THAT IS MISSING OR DEFECTIVE  HINGE  IN THE  ENTRANCE  LOCATED AT APT 2F, 2nd STORY, 3rd APARTMENT FROM SOUTH AT WEST",2025-09-22T00:00:00.000
HUGHES APARTMENTS,21,3333397,11212,3035260021,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT CEILING IN CLOSET AT SOUTH WALL   IN THE  PRIVATE HALLWAY  LOCATED AT APT 8H, 8th STORY, 1st APARTMENT FROM NORTH AT EAST",2025-09-29T00:00:00.000
CONEY ISLAND I (SITES 4 & 5),14,3385303,11224,3070530014,"§ 27-2026, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK AT CEILING   IN THE  1st ROOM  FROM NORTH AT WEST LOCATED AT APT 416B, 4th STORY, 4th APARTMENT FROM NORTH AT EAST",2025-10-09T00:00:00.000
BRONX RIVER,2,2092908,10472,2038860002,"§ 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE CONCRETE FLOOR  IN THE  4th ROOM  FROM NORTH LOCATED AT APT 14B, 14th STORY, 5th APARTMENT FROM WEST AT NORTH",2025-10-20T00:00:00.000
ROOSEVELT II,24,3341752,11221,3015950024,"§ 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE CRACKED VINYL FLOOR TILES  IN THE  KITCHEN  LOCATED AT APT 14C, 14th STORY, 1st APARTMENT FROM NORTH AT EAST",2025-09-22T00:00:00.000
RANGEL,320,1084186,10039,1021060320,"§ 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT AT CEILING AND ALL WALLS   IN THE  BATHROOM  LOCATED AT APT 13E, 13th STORY, 1st APARTMENT FROM NORTH AT EAST",2025-10-09T00:00:00.000
RED HOOK EAST,1,3398223,11231,3005380001,"§  27-2005 ADM CODE  PAINT METAL IN ACCORDANCE WITH DEPT. REGULATION THE HEAT RISER AT WEST WALL  IN THE  BATHROOM  LOCATED AT APT 3A, 3rd STORY, 2nd APARTMENT FROM WEST AT NORTH",2025-09-15T00:00:00.000
CORSI HOUSES,45,1079357,10029,1016880045,"HMC ADM CODE: § 27-2017.4 ABATE THE INFESTATION CONSISTING OF ROACHES IN THE  ENTIRE APARTMENT  LOCATED AT APT 14G, 14th STORY, 4th APARTMENT FROM NORTH AT EAST",2025-09-25T00:00:00.000
LAFAYETTE,1,3321868,11238,3019380001,"HMC ADM CODE: § 27-2017.4 ABATE THE INFESTATION CONSISTING OF MICE IN THE  ENTIRE APARTMENT  LOCATED AT APT 2G, 2nd STORY, 1st APARTMENT FROM WEST AT NORTH",2025-10-21T00:00:00.000
BRONX RIVER,2,2092908,10472,2038860002,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE EAST WALL  IN THE  1st ROOM  FROM NORTH AT EAST LOCATED AT APT 14B, 14th STORY, 5th APARTMENT FROM WEST AT NORTH",2025-10-20T00:00:00.000
SUMNER,15,3338599,11206,3017490015,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE NORTH WALL ,EAST WALL, SOUTH WALL AND  WEST WALL   IN THE  4th ROOM  FROM NORTH AT WEST LOCATED AT APT 5E, 5th STORY, 1st APARTMENT FROM SOUTH AT WEST",2025-10-08T00:00:00.000
LAFAYETTE,1,3321868,11238,3019380001,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT CEILING,WEST, EAST AND SOUTH WALL AT 1ST CLOSET FROM WEST AT SOUTH   IN THE  PRIVATE HALLWAY  LOCATED AT APT 2G, 2nd STORY, 1st APARTMENT FROM WEST AT NORTH",2025-10-21T00:00:00.000
VLADECK,1,1077529,10002,1002600001,"§ 27-2005 HMC: REFIT… DOOR TO ENTRANCE  IN THE  2nd ROOM  FROM EAST LOCATED AT APT 5B, 5th STORY, 1st APARTMENT FROM NORTH AT EAST",2025-09-22T00:00:00.000
RED HOOK WEST,1,3326207,11231,3005330001,"§ 27-2005 ADM CODE  REPLACE WITH NEW THE MISSING WOOD BASE CABINET AT WEST WALL  IN THE  KITCHEN  LOCATED AT APT 1D, 1st STORY, 1st APARTMENT FROM NORTH AT EAST",2025-09-11T00:00:00.000
MORRIS I,1,2092083,10456,2029100001,"§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... LESS THAN 10 SQ FT AT WEST  WALL  IN THE  KITCHEN  LOCATED AT APT 11E, 11th STORY, 1st APARTMENT FROM EAST AT SOUTH",2025-09-18T00:00:00.000
EAST RIVER,1,1083936,10029,1016960001,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT THE CEILING AND ALL WALLS  IN THE  KITCHEN  LOCATED AT APT 4G, 4th STORY, 1st APARTMENT FROM NORTH AT EAST",2025-09-30T00:00:00.000
RED HOOK EAST,1,3398223,11231,3005380001,"§  27-2005 ADM CODE  PAINT METAL IN ACCORDANCE WITH DEPT. REGULATION THE RADIATOR AT NORTH WALL  IN THE  2nd ROOM  FROM EAST LOCATED AT APT 3A, 3rd STORY, 2nd APARTMENT FROM WEST AT NORTH",2025-09-15T00:00:00.000
WSUR (SITE A) 120 WEST 94TH STREET,42,1032540,10025,1012240042,"§ 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE VINYL FLOOR TILES   IN THE  KITCHEN  LOCATED AT APT 3B, 3rd STORY, 4th APARTMENT FROM WEST AT NORTH",2025-10-01T00:00:00.000
RIIS,10,1077504,10009,1003620010,"§ 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE PORCELAIN ENAMEL GLAZE OF THE WASH/BASIN   IN THE  BATHROOM  LOCATED AT APT 4A, 4th STORY, 3rd APARTMENT FROM NORTH AT EAST",2025-09-19T00:00:00.000
DOUGLASS I,1,1081300,10025,1018360001,"§ 27-2005 HMC: PROPERLY REPAIR OR REPLACE THE BROKEN OR DEFECTIVE BASE CABINET AT WEST  IN THE  KITCHEN  LOCATED AT APT 13F, 13th STORY, 4th APARTMENT FROM EAST AT SOUTH",2025-09-24T00:00:00.000
MORRISANIA AIR RIGHTS,9020,2102829,10451,2024209020,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT CEILING  IN THE  PRIVATE HALLWAY  LOCATED AT APT 7C, 7th STORY, 2nd APARTMENT FROM SOUTH AT WEST",2025-10-14T00:00:00.000
MARCY,1,3324244,11206,3017380001,"§ 27-2005, 27-2007, 27-2041.1 HMC, §238, § 309; § 107 (2) ( C) MDL AND 28 RCNY §25-171: REPLACE OR REPAIR THE SELF-CLOSING DOORS THAT IS MISSING OR DEFECTIVE  LATCH, AT HOPPER DOOR AT NORTH WALL  AT PUBLIC HALL, 2nd STORY",2025-10-09T00:00:00.000
RED HOOK WEST,1,3323703,11231,3005570001,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT NORTH WALL  IN THE  1st ROOM  FROM EAST AT SOUTH LOCATED AT APT 2A, 2nd STORY, 1st APARTMENT FROM NORTH AT EAST",2025-09-10T00:00:00.000
WSUR (BROWNSTONES),21,1081758,10024,1012040021,"§ 27-2005, 27-2007, 27-2041.1 HMC, §238, § 309; § 107 (2) ( C) MDL AND 28 RCNY §25-171: REPLACE OR REPAIR THE SELF-CLOSING DOORS THAT IS MISSING OR DEFECTIVE  LATCH SET TO DOOR   IN THE  ENTRANCE  LOCATED AT APT 2A, 2nd STORY, 1st APARTMENT FROM SOUTH AT WEST",2025-10-03T00:00:00.000
WSUR (BROWNSTONES),21,1081758,10024,1012040021,"§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT THE CEILING LESS THAN 10 SQUARE FEET   IN THE  BATHROOM  LOCATED AT APT 2A, 2nd STORY, 1st APARTMENT FROM SOUTH AT WEST",2025-10-03T00:00:00.000
TILDEN,1,3326543,11212,3035760001,"HMC ADM CODE: § 27-2017.4 ABATE THE INFESTATION CONSISTING OF ROACHES IN THE  ENTIRE APARTMENT  LOCATED AT APT 3G, 3rd STORY, 1st APARTMENT FROM SOUTH AT WEST",2025-10-07T00:00:00.000
VLADECK II,1,1083399,10002,1002630001,"§  27-2005 ADM CODE  PAINT METAL IN ACCORDANCE WITH DEPT. REGULATION DOOR AND DOOR FRAME   IN THE  ENTRANCE  LOCATED AT APT 1B, 1st STORY, 1st APARTMENT FROM SOUTH AT WEST",2025-10-15T00:00:00.000
RED HOOK WEST,1,3332223,11231,3005380001,"HMC ADM CODE: § 27-2017.4 ABATE THE INFESTATION CONSISTING OF ROACHES IN THE  ENTIRE APARTMENT  LOCATED AT APT 5E, 5th STORY, 1st APARTMENT FROM NORTH AT EAST",2025-10-22T00:00:00.000
TOMPKINS,1,3324251,11206,3017400001,"§ 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT THE NORTH WALL  IN THE  2nd ROOM  FROM NORTH LOCATED AT APT 3A, 3rd STORY, 3rd APARTMENT FROM SOUTH AT WEST",2025-09-17T00:00:00.000
WALD,1,1078054,10009,1003560001,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT SOUTH WALL  IN THE  1st ROOM  FROM NORTH AT EAST LOCATED AT APT 12C, 12th STORY, 1st APARTMENT FROM WEST AT NORTH",2025-09-24T00:00:00.000
CONEY ISLAND I (SITES 4 & 5),14,3385303,11224,3070530014,"§ 27-2005 HMC: PROPERLY REPAIR OR REPLACE THE BROKEN OR DEFECTIVE COUNTER BALANCE AT LOWER WINDOW SASH,  1ST WINDOW FROM NORTH AT EAST   IN THE  2nd ROOM  FROM NORTH LOCATED AT APT 416B, 4th STORY, 4th APARTMENT FROM NORTH AT EAST",2025-10-09T00:00:00.000
TELLER AVENUE-EAST 166TH STREET,1,2002141,10456,2024290001,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT CEILING AND ALL WALLS  IN THE  1st ROOM  FROM EAST LOCATED AT APT 3J, 3rd STORY, 1st APARTMENT FROM SOUTH AT WEST",2025-11-06T00:00:00.000
JOHNSON,21,1087213,10029,1016400021,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE CEILING   IN THE  KITCHEN  LOCATED AT APT 7C, 7th STORY, 1st APARTMENT FROM WEST AT NORTH , SECTION ""1839""",2025-11-12T00:00:00.000
RAVENSWOOD,2,4430706,11106,4003350002,"§  27-2005 ADM CODE  PAINT METAL IN ACCORDANCE WITH DEPT. REGULATION THE            1st RISER  FROM NORTH AT EAST WALL IN THE  KITCHEN  LOCATED AT APT 5A, 5th STORY, 3rd APARTMENT FROM NORTH AT EAST",2025-10-27T00:00:00.000
MARBLE HILL,1,2100931,10463,2032650001,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR CEILING AND SOUTH WALL  IN THE  BATHROOM  LOCATED AT APT 2F, 2nd STORY, 3rd APARTMENT FROM SOUTH AT WEST",2025-09-22T00:00:00.000
SHEEPSHEAD BAY,1001,3344550,11235,3074051001,"§ 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE DRAWER, 1ST FROM NORTH AT BOTTOM CABINET AT EAST WALL   IN THE  KITCHEN  LOCATED AT APT 5D, 5th STORY, 2nd APARTMENT FROM NORTH AT EAST",2025-10-08T00:00:00.000
WALD,1,1078058,10009,1003560001,"§ 27-2005 HMC: PROPERLY REPAIR OR REPLACE THE BROKEN OR DEFECTIVE DOOR HANDLE AT ENTRANCE  IN THE  BATHROOM  LOCATED AT APT 6C, 6th STORY, 1st APARTMENT FROM EAST AT SOUTH",2025-10-23T00:00:00.000
WALD,1,1078052,10009,1003560001,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE CEILING   IN THE  1st ROOM  FROM NORTH LOCATED AT APT 7C, 7th STORY, 1st APARTMENT FROM EAST AT SOUTH",2025-11-20T00:00:00.000
LINCOLN,1,1081115,10037,1017570001,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR CEILING  IN THE  PRIVATE HALLWAY  LOCATED AT APT 1A, 1st STORY, 2nd APARTMENT FROM SOUTH AT WEST",2025-11-18T00:00:00.000
MONROE,1,2092761,10473,2036630001,"§ 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE MARBLE SADDLE AT THE ENTRANCE   IN THE  BATHROOM  LOCATED AT APT 11E, 11th STORY, 1st APARTMENT FROM WEST AT NORTH",2025-10-15T00:00:00.000
BRONX RIVER,2,2092908,10472,2038860002,"§ 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT THE CEILINGS, WALLS, DOORS, AND TRIM  IN THE  ENTIRE APARTMENT  LOCATED AT APT 14B, 14th STORY, 5th APARTMENT FROM WEST AT NORTH",2025-10-20T00:00:00.000
BAISLEY PARK,22,4529903,11434,4122350022,"§ 27-2045(B)(1)(A) HMC, § 12-01, § 12-03 RCNY REPAIR, REPLACE OR PROVIDE AN APPROVED AND OPERATIONAL SMOKE DETECTING DEVICE, INSTALLED IN ACCORDANCE WITH DEPARTMENT OF BUILDINGS RULES AND REGULATIONS  DEFECTIVE   IN THE  ENTIRE APARTMENT  LOCATED AT APT 1H, 1st STORY, 2nd APARTMENT FROM EAST AT SOUTH",2025-11-13T00:00:00.000
