census_tract,blk,str_nm,sctn_boro_nm,council_district,latitude,low_hus_no
343,1352,ST MARKS AVENUE,BROOKLYN,36,40.67458,1008
85,538,COLUMBIA STREET,BROOKLYN,38,40.675587,493
15602,1647,2 AVENUE,MANHATTAN,8,40.785233,1893
192,1808,1 AVENUE,MANHATTAN,8,40.799537,2370
188,1688,EAST 116 STREET,MANHATTAN,8,40.796935,307
162,1696,EAST 102 STREET,MANHATTAN,8,40.787054,401
287,1595,STUYVESANT AVENUE,BROOKLYN,36,40.694664,50
283,3265,EXTERIOR STREET,BRONX,14,40.875278,2861
906,3526,SUTTER AVENUE,BROOKLYN,41,40.667437,315
342,7053,WEST 25 STREET,BROOKLYN,47,40.575048,2926
62,3886,EAST 174 STREET,BRONX,17,40.833901,1605
287,1595,STUYVESANT AVENUE,BROOKLYN,36,40.694664,50
24302,2106,HARLEM RIVER DRIVE,MANHATTAN,9,40.834054,159-62
85,538,HICKS STREET,BROOKLYN,38,40.674671,829
188,1688,EAST 116 STREET,MANHATTAN,8,40.796935,307
233,1938,LAFAYETTE AVENUE,BROOKLYN,36,40.689147,433
62,3886,EAST 174 STREET,BRONX,17,40.833901,1605
28502,1749,PARK AVENUE,BROOKLYN,36,40.698327,808
233,1938,LAFAYETTE AVENUE,BROOKLYN,36,40.689147,433
202,260,MADISON STREET,MANHATTAN,1,40.713324,350
85,533,LORRAINE STREET,BROOKLYN,38,40.675118,1
14701,2910,WASHINGTON AVENUE,BRONX,16,40.834096,1350
162,1696,EAST 102 STREET,MANHATTAN,8,40.787054,401
85,538,HICKS STREET,BROOKLYN,38,40.674671,829
177,1224,WEST 94 STREET,MANHATTAN,7,40.791944,120
24,362,AVENUE D,MANHATTAN,2,40.72437,132
189,1836,COLUMBUS AVENUE,MANHATTAN,7,40.79693,861
173,2420,PARK AVENUE,BRONX,16,40.8227,3071
255,1738,PARK AVENUE,BROOKLYN,36,40.697302,582
85,557,RICHARDS STREET,BROOKLYN,38,40.676742,147
177,1204,WEST 90 STREET,MANHATTAN,6,40.788299,23
177,1204,WEST 90 STREET,MANHATTAN,6,40.788299,23
912,3576,DUMONT AVENUE,BROOKLYN,41,40.664292,330
202,263,JACKSON STREET,MANHATTAN,1,40.713346,18
85,538,BUSH STREET,BROOKLYN,38,40.674827,70
25902,1740,THROOP AVENUE,BROOKLYN,36,40.696568,220
20,356,F D R DRIVE,MANHATTAN,2,40.720591,709
342,7053,WEST 25 STREET,BROOKLYN,47,40.575048,2926
175,2429,TELLER AVENUE,BRONX,16,40.829818,1098
182,1640,LEXINGTON AVENUE,MANHATTAN,8,40.796762,1829
47,335,36 AVENUE,QUEENS,26,40.759447,22-01
283,3265,EXTERIOR STREET,BRONX,14,40.875278,2861
572,7405,AVENUE X,BROOKLYN,46,40.593933,2949
20,356,AVENUE D,MANHATTAN,2,40.721637,40
20,356,EAST 6 STREET,MANHATTAN,2,40.72193,920
210,1757,MADISON AVENUE,MANHATTAN,9,40.810296,2102
42,3663,STORY AVENUE,BRONX,18,40.823197,1775
62,3886,EAST 174 STREET,BRONX,17,40.833901,1605
278,12235,GUY R BREWER BOULEVARD,QUEENS,28,40.686109,116-30
41,2304,ALEXANDER AVENUE,BRONX,8,40.812552,340
572,7405,AVENUE X,BROOKLYN,46,40.593933,2949
194,1797,2 AVENUE,MANHATTAN,8,40.800359,2370
14701,2894,WEBSTER AVENUE,BRONX,16,40.834189,1318
25902,1740,THROOP AVENUE,BROOKLYN,36,40.697417,200
14701,2894,WEBSTER AVENUE,BRONX,16,40.834189,1318
982,8174,EAST 105 STREET,BROOKLYN,42,40.650186,615
177,1224,WEST 94 STREET,MANHATTAN,7,40.791944,120
85,538,HICKS STREET,BROOKLYN,38,40.675777,791
85,538,HENRY STREET,BROOKLYN,38,40.675409,748
172,1637,LEXINGTON AVENUE,MANHATTAN,8,40.794548,1760
177,1204,WEST 91 STREET,MANHATTAN,6,40.788994,38
162,1696,EAST 105 STREET,MANHATTAN,8,40.788766,410
42,3663,STORY AVENUE,BRONX,18,40.823496,1815
85,538,COLUMBIA STREET,BROOKLYN,38,40.675587,493
14701,2910,WASHINGTON AVENUE,BRONX,16,40.834096,1350
24302,2106,HARLEM RIVER DRIVE,MANHATTAN,9,40.834339,159-70
172,1637,LEXINGTON AVENUE,MANHATTAN,8,40.794548,1760
172,1637,LEXINGTON AVENUE,MANHATTAN,8,40.794548,1760
177,1224,WEST 94 STREET,MANHATTAN,7,40.791944,120
24,362,AVENUE D,MANHATTAN,2,40.72437,132
194,1797,2 AVENUE,MANHATTAN,8,40.800359,2370
87,490,27 AVENUE,QUEENS,22,40.774976,3-02
2201,338,PITT STREET,MANHATTAN,2,40.717872,50
194,1797,2 AVENUE,MANHATTAN,8,40.801435,2400
283,3265,EXTERIOR STREET,BRONX,14,40.875278,2861
180,1662,EAST 115 STREET,MANHATTAN,8,40.797132,210
69,2416,EAST 156 STREET,BRONX,17,40.821568,301
982,8174,EAST 105 STREET,BROOKLYN,42,40.650186,615
162,1696,EAST 102 STREET,MANHATTAN,8,40.787054,401
20,356,EAST 6 STREET,MANHATTAN,2,40.72193,920
912,3576,DUMONT AVENUE,BROOKLYN,41,40.664292,330
41,2304,ALEXANDER AVENUE,BRONX,8,40.812552,340
177,1224,WEST 94 STREET,MANHATTAN,7,40.791944,120
20,356,EAST 6 STREET,MANHATTAN,2,40.72193,920
41,2304,ALEXANDER AVENUE,BRONX,8,40.812552,340
162,1696,EAST 102 STREET,MANHATTAN,8,40.787054,401
233,1938,LAFAYETTE AVENUE,BROOKLYN,36,40.689147,433
24302,2106,FREDERICK DOUGLASS BOULEVARD,MANHATTAN,9,40.830242,2965
910,3794,LIVONIA AVENUE,BROOKLYN,41,40.663467,395
85,538,HENRY STREET,BROOKLYN,38,40.675409,748
871,5037,COLLEGE POINT BOULEVARD,QUEENS,20,40.757599,40-21
89,716,WEST 19 STREET,MANHATTAN,3,40.74405,400
87,490,27 AVENUE,QUEENS,22,40.775281,2-10
23,71,SANDS STREET,BROOKLYN,35,40.699726,233
85,533,DWIGHT STREET,BROOKLYN,38,40.677638,35
194,1797,2 AVENUE,MANHATTAN,8,40.800359,2370
180,1662,3 AVENUE,MANHATTAN,8,40.796106,2065
2201,338,PITT STREET,MANHATTAN,2,40.718605,90
189,1855,COLUMBUS AVENUE,MANHATTAN,7,40.797347,870
41,2304,ALEXANDER AVENUE,BRONX,8,40.812552,340
42,3663,STORY AVENUE,BRONX,18,40.823496,1815
908,3709,CHRISTOPHER AVENUE,BROOKLYN,37,40.670864,108
180,1662,3 AVENUE,MANHATTAN,8,40.796106,2065
162,1696,EAST 102 STREET,MANHATTAN,8,40.787054,401
912,3576,DUMONT AVENUE,BROOKLYN,41,40.664292,330
572,7408,AVENUE X,BROOKLYN,46,40.594231,3021
343,1352,ST MARKS AVENUE,BROOKLYN,36,40.67458,1008
194,1797,2 AVENUE,MANHATTAN,8,40.800359,2370
2901,2040,AUBURN PLACE,BROOKLYN,35,40.694318,14
24302,2106,HARLEM RIVER DRIVE,MANHATTAN,9,40.834339,159-70
194,1797,2 AVENUE,MANHATTAN,8,40.800359,2370
44,3730,BRUCKNER BOULEVARD,BRONX,18,40.825724,1815
