entity_name,street_address,owner_officer_1_last_name,individual_role_4,owner_officer_4_first_name,census_tract,individual_role_2,owner_officer_2_last_name
SIGNATURE ROOFING INC,285 Division Ave,Mandel,,,529.0,,
"NEW YORK STEEL ERECTORS, INC","22 Arlo Rd, #2B",Woode,,,39.0,,
DENIS MECHANICAL & HEATING CORP,11 saddle rock road,denis,,,,,
PETRONE ERECTORS INC.,96 Shell Bank Place,Petrone,,,,,
JANTILE INC,100 Business Park Drive,Casola,,,,Officer,Casola
KING CONTRACTING GROUP NY INC,26 Journal Square Plaza,Steinberg,Owner,Evan,,Owner,STEINBERG
GREY-RUSO CONSTRUCTION CORP.,168-04 12th Road,Caruso,,,991.0,,
BLUEWATER PLUMBING,75-14 Jamaica Ave,Asencio,,,4.0,Both,Asencio
"HIGHRISE SAFETY SYSTEMS, INC.",273 Walt Whitman Road,Tersigni,,,,Both,Tersigni
EXTERIOR WALL AND BUILDING CONSULTANTS,72 Whitehall Street,Padin,,,,,
WITH PRIDE AIR CONDITIONING & HEATING INC,77 Marine Street,Dolan,Officer,Mike,,Owner,Dolan
"CERTIFIED ALARM TECH SYSTEMS, INC.",1260 WAters Place,Lidharrie,,,284.0,,
ZATOS PLUMBING,277 Broadway,Stratis,,,21.0,Officer,Stratis
SINGH WELDING LLC,2939 Edson Ave,Singh,,,46208.0,,
D-STAR WATERPROOFERS,365 babylon turnpike,Ramirez,,,,,
BREEZE NATIONAL INC,843 S. Ocean Ave,Romano,,,,Officer,Romano
cosmopolitan interiors,315 West 33rd Street,Maqbool,,,103.0,Owner,Maqabool
JOY CONSTRUCTION CORP.,40 Fulton Street,Shalhov,Owner,Amnon,1502.0,Owner,Shalhov
RYAN'S EXCAVATION OF THE BRONX LLC,P.O.Box 9,Mushi,,,,,
LED PLUMBING & HEATING LLC,102-53 JAMAICA AVENUE,CHELSTOWSKI,,,26.0,,
GIANT SECURITY,400 2nd Avenue@,Erez,Owner,Barak,64.0,Owner,Ron
MECHANICAL EAST,40 Dobbin Street,Flanchrych,Owner,Amir,569.0,Owner,Vandalovsky
KILCLARE CONSTRUCTION INC,941 McClean Avenue,Vaughan,,,,Owner,Vaughan
U ARIAS CORP,1855 Imperial Ave,arias,,,,,
A-L SERVICES,669 Littleton Road,appleby,,,,,
A.V.K. CONTRACTING CORP,22-59 77th Street East,Deleuos,,,317.0,,
ECONOMY IRON WORK,670 Southern Blvd,lopez,,,83.0,,
LASTRADA GENERAL CONTRACTING CORP.,3 Filasky Court,Guglielmi,,,,Owner,Guglielmi
"CAESARSTONE USA, INC.",9275 Corbin Avenue,O'Brien,,,,,
FREEDOM DOORS,PO BOX 790118,Odom,,,,,
