year,ela_level_2,female,ela_level_1,ell_french,ell_bengali,ell_bengali_1,math_level_3_1,math_l3_l4,math_level_3,white,ela_level_1_1,ell_spanish_1
2017-18,46,202,s,,,,s,s,s,18,s,
2017-18,s,100,s,,,,s,s,s,42,s,
2017-18,18,152,23,,,,s,s,s,s,50.0%,
2017-18,s,s,s,s,s,s,s,s,s,s,s,s
2017-18,20,199,s,,,,s,s,s,26,s,
2017-18,s,s,s,s,s,s,s,s,s,s,s,50.0%
2017-18,s,101,s,,,,41.2%,s,7,21,s,
2017-18,46,275,s,,,,s,s,s,24,s,
2017-18,44,364,10,,,,s,s,s,30,9.3%,
2017-18,s,24,s,,,,s,s,s,s,s,
2017-18,38,s,12,,,,s,s,s,s,19.0%,
2017-18,28,147,19,,,,s,s,s,15,32.2%,
2017-18,9,25,s,,,,s,s,s,s,s,
2017-18,s,16,s,,,,s,s,s,11,s,
2017-18,26,148,29,,,,s,s,s,9,41.4%,
2017-18,40,166,s,,,,s,s,s,9,s,
2017-18,s,8,s,,,,s,s,s,s,s,
2017-18,s,s,s,,,,s,s,s,s,s,
2017-18,s,162,20,23,11,3.1%,s,s,s,6,95.2%,76.8%
2017-18,s,83,11,,,,s,s,s,s,32.4%,
2017-18,s,327,s,,,,22.1%,59,15,347,s,
2017-18,,139,,,,,,,,26,,
2017-18,6,s,s,,,,s,s,s,14,s,
2017-18,s,9,s,,,,s,s,s,6,s,
2017-18,7,122,16,7,31,11.2%,s,s,s,15,69.6%,77.3%
2017-18,7,60,14,,,,s,s,s,s,66.7%,
2017-18,33,381,s,,,,24.7%,28,22,68,s,
2017-18,6,28,13,s,s,s,44.0%,s,11,s,68.4%,s
2017-18,,28,,,,,,,,s,,
2017-18,s,26,s,s,s,s,s,s,s,s,s,100.0%
2017-18,s,8,s,,,,s,s,s,s,s,
2017-18,41,198,s,,,,s,s,s,s,s,
2017-18,26,75,s,,,,s,s,s,8,s,
2017-18,8,254,24,,,,s,s,s,s,66.7%,
2017-18,s,59,s,,,,s,s,s,6,s,
2017-18,37,207,13,,,,s,s,s,29,13.5%,
2017-18,s,12,s,,,,s,s,s,s,s,
2017-18,s,s,s,,,,s,s,s,s,s,
2017-18,s,21,7,,,,s,s,s,s,46.7%,
2017-18,,s,,,,,,,,s,,
2017-18,46,104,18,,,,s,s,s,s,21.4%,
2017-18,s,19,s,,,,s,s,s,s,s,
2017-18,17,209,17,,,,40.8%,53,29,7,21.3%,
2017-18,20,60,s,,,,s,s,s,9,s,
2017-18,42,233,s,,,,s,s,s,17,s,
2017-18,s,10,s,,,,s,s,s,s,s,
2017-18,s,92,8,,,,s,s,s,s,88.9%,
2017-18,15,268,7,,,,41.5%,53,34,85,6.6%,
2017-18,9,34,s,,,,s,s,s,31,s,
2017-18,s,10,s,,,,s,s,s,s,s,
2017-18,s,21,s,,,,s,s,s,s,s,
2017-18,s,52,9,,,,s,s,s,s,69.2%,
2017-18,,27,,,,,,,,6,,
2017-18,s,23,s,,,,s,s,s,s,s,
2017-18,s,19,8,,,,s,s,s,s,61.5%,
2017-18,s,s,s,s,s,s,s,s,s,s,s,s
2017-18,s,30,s,,,,s,s,s,s,s,
2017-18,s,18,s,,,,s,s,s,s,s,
2017-18,,s,,s,s,s,,,,s,,s
2017-18,9,42,11,,,,s,s,s,s,52.4%,
2017-18,s,24,s,,,,s,s,s,s,s,
2017-18,32,174,12,,,,s,s,s,s,21.4%,
2017-18,,11,,,,,,,,s,,
2017-18,30,118,11,,,,s,s,s,18,19.6%,
2017-18,34,111,18,,,,s,s,s,s,29.5%,
2017-18,s,6,s,,,,s,s,s,s,s,
2017-18,17,176,19,,,,s,s,s,6,41.3%,
2017-18,,7,,,,,,,,s,,
2017-18,s,265,s,,,,37.3%,46,28,16,s,
2017-18,36,266,47,,,,s,s,s,s,43.5%,
2017-18,s,s,s,,,,s,s,s,s,s,
2017-18,s,6,s,s,s,s,s,s,s,s,s,83.3%
