male_1,ell_arabic_1,ela_level_3_1,white_1,hispanic_1,ela_test_takers,math_level_4_1,ell_russian,black_1,ell_korean,ela_level_4,math_l3_l4_1,other_1
38.6%,,38.8%,2.8%,4.5%,85,32.4%,,3.5%,,17,75.7%,3.0%
53.3%,,,s,53.3%,,,,43.3%,,,,s
66.4%,,s,s,70.1%,34,s,,27.0%,,s,s,s
65.8%,,s,34.2%,31.6%,s,s,,26.3%,,s,s,s
38.3%,,s,1.8%,55.8%,88,s,,38.9%,,s,s,1.6%
31.6%,,s,s,31.6%,s,s,,42.1%,,s,s,s
s,s,s,s,s,s,s,s,s,s,s,s,s
80.9%,,33.6%,10.4%,55.2%,107,s,,22.8%,,14,s,3.9%
71.4%,,s,s,57.1%,6,s,,33.3%,,s,s,s
90.8%,,s,s,46.9%,29,s,,36.7%,,s,s,s
s,s,,s,s,,,s,s,s,,,s
63.9%,,s,s,77.8%,s,s,,19.4%,,s,s,s
62.2%,,s,32.9%,47.6%,19,s,,13.4%,,s,s,s
s,,s,s,s,s,s,,s,,s,s,s
79.6%,,30.9%,2.0%,67.8%,97,s,,28.9%,,6,s,s
38.2%,,s,s,67.6%,6,s,,26.5%,,s,s,s
64.5%,,s,8.0%,65.2%,32,s,,24.6%,,s,s,s
46.8%,,,s,55.3%,,,,23.4%,,,,s
38.9%,,s,s,69.4%,s,s,,25.0%,,s,s,s
47.2%,,,s,61.9%,,,,34.9%,,,,s
59.8%,10.6%,s,s,56.8%,19,s,s,19.3%,s,s,s,s
83.3%,,s,s,58.3%,18,s,,36.7%,,s,s,s
49.3%,,41.0%,2.5%,63.5%,83,s,,25.6%,,6,s,3.7%
61.9%,s,s,s,71.4%,s,s,s,19.0%,s,s,s,s
s,,,s,s,,,,s,,,,s
33.8%,,31.5%,3.4%,36.8%,54,s,,55.9%,,s,s,s
50.0%,s,,s,100.0%,,,s,s,s,,,s
51.5%,,s,s,52.4%,26,s,,31.1%,,s,s,s
s,,,s,s,,,,s,,,,s
57.5%,,s,1.8%,29.6%,s,s,,10.4%,,s,s,1.1%
23.8%,,s,16.7%,40.5%,10,s,,35.7%,,s,s,s
