ell_korean_1,math_level_1_1,ell_chinese,ela_level_2_1,grade_9,ell_haitian_creole,ell_other_1,total_enrollment,asian
,45.1%,,42.2%,119,,,436,10
,s,,s,11,,,160,s
,75.6%,,39.1%,102,,,329,s
s,s,s,s,s,s,s,s,s
,26.3%,,40.8%,60,,,242,s
s,s,s,s,6,s,s,12,s
,s,,s,34,,,180,28
,42.5%,,50.0%,126,,,398,50
,39.8%,,41.1%,138,,,491,18
,s,,s,16,,,43,s
,53.3%,,60.3%,79,,,309,s
,67.9%,,47.5%,86,,,324,15
,50.0%,,69.2%,20,,,42,s
,s,,s,s,,,22,s
,86.2%,,37.1%,80,,,289,s
,46.0%,,44.4%,97,,,355,7
,s,,s,s,,,17,s
,s,,s,s,,,13,s
s,90.0%,s,s,107,s,7.8%,357,16
,30.0%,,s,40,,,92,s
,s,,s,133,,,541,91
,,,,173,,,296,134
,s,,60.0%,28,,,61,s
,s,,s,16,,,19,s
s,83.8%,s,30.4%,75,s,s,278,31
,75.0%,,33.3%,32,,,87,s
,28.1%,,29.7%,129,,,478,17
s,s,47,31.6%,29,s,s,48,48
,,,,,,,52,s
s,100.0%,s,s,8,s,s,58,s
,s,,s,s,,,18,s
,62.7%,,49.4%,92,,,387,s
,34.0%,,46.4%,73,,,255,10
,70.0%,,22.2%,96,,,472,s
,s,,s,6,,,92,s
,48.2%,,38.5%,108,,,367,23
,s,,s,s,,,20,s
,s,,s,s,,,9,s
,86.7%,,s,16,,,59,s
,,,,s,,,12,s
,50.0%,,54.8%,88,,,344,11
,90.0%,,s,14,,,40,s
,s,,21.3%,94,,,344,306
,30.8%,,35.7%,58,,,253,21
,42.5%,,49.4%,113,,,333,40
,s,,s,s,,,22,s
,65.2%,,s,49,,,171,s
,13.4%,,14.2%,120,,,450,131
,42.9%,,50.0%,23,,,52,s
,s,,s,13,,,28,s
,s,,35.3%,17,,,62,10
,s,,s,s,,,9,s
,30.1%,,29.4%,233,,,907,58
,70.0%,,87.5%,21,,,44,s
,91.3%,,29.2%,41,,,111,s
,s,,s,s,,,23,s
s,80.0%,s,s,18,s,14.0%,50,9
,45.6%,,45.3%,137,,,386,40
,s,,53.8%,15,,,29,s
s,87.5%,s,s,26,s,s,112,s
,77.8%,,s,25,,,66,s
,,,,21,,,94,s
,92.3%,,46.2%,31,,,62,s
,,,,s,,,64,s
,58.3%,,s,11,,,77,s
s,s,s,s,s,s,s,12,s
,,,,29,,,137,s
,63.6%,,s,11,,,148,s
,39.5%,,42.7%,105,,,402,16
,s,,s,124,,,457,39
,s,,s,s,,,10,s
s,,s,,s,s,s,11,s
,,,,24,,,184,s
,s,,s,7,,,17,s
,74.5%,,51.0%,94,,,274,s
s,s,s,s,s,s,s,s,s
,69.0%,,21.6%,117,,,524,s
,s,,s,,,,116,s
,,,,,,,s,s
,s,,s,17,,,63,s
,,,,,,,8,s
,38.8%,,45.0%,92,,,315,s
,29.3%,,25.0%,75,,,264,10
,70.0%,,s,14,,,37,s
,63.0%,,48.4%,66,,,197,7
,s,,s,9,,,14,s
s,s,s,s,s,s,s,10,s
s,85.7%,s,s,13,s,s,30,s
,s,,s,44,,,192,130
,70.0%,,s,71,,,269,s
s,90.5%,s,s,34,s,s,86,s
s,s,s,s,s,s,s,16,s
