block,signoff_date,in_compliance_with_nycecc,curb_cut,apt_condo_no_s,borough,built_2_a_information_value,temporary_place_of_assembly_work_type_,existing_height,proposed_no_of_stories
4901,,No,0,,BROOKLYN,,0,25.0,3.0
895,,No,0,,MANHATTAN,,0,,
1973,,No,0,,MANHATTAN,,0,75.0,7.0
1211,2023-09-18T00:00:00.000,No,0,,MANHATTAN,,0,,
3087,2022-12-27T00:00:00.000,Yes,0,,BRONX,,0,,
4888,,No,0,,BROOKLYN,,0,,
1018,2024-03-14T00:00:00.000,No,0,,MANHATTAN,,0,,
5309,2024-03-14T00:00:00.000,No,0,,BROOKLYN,,0,9.0,
4976,,No,0,,QUEENS,,0,10.0,1.0
693,2020-09-09T00:00:00.000,No,0,,MANHATTAN,,0,,
4.98E+2,,No,0,,MANHATTAN,,0,132.0,9.0
143,,No,0,,MANHATTAN,,0,55.0,5.0
244900.00%,2024-06-24T00:00:00.000,Yes,0,,BRONX,No,0,,
825,2024-07-26T00:00:00.000,No,0,,MANHATTAN,,0,,
1439,,No,0,,BROOKLYN,,0,,
833,2021-09-27T00:00:00.000,No,0,,MANHATTAN,,0,,
1261,2019-06-03T00:00:00.000,No,0,OSP,MANHATTAN,,0,,
1203,,Yes,0,,MANHATTAN,,0,,
1960,,Yes,0,,MANHATTAN,,0,,
2325,,No,0,,BRONX,,0,,
448,2021-08-13T00:00:00.000,Yes,0,,BROOKLYN,No,0,,
1549,,No,0,,QUEENS,,0,75.0,7.0
504,,No,0,,MANHATTAN,,0,58.0,6.0
1427,,No,0,,MANHATTAN,,0,200.0,19.0
5075,,No,0,,BROOKLYN,,0,,
1186,2025-02-18T00:00:00.000,No,0,,MANHATTAN,,0,,
1.142E+3,2025-01-28T00:00:00.000,No,0,,BROOKLYN,,0,,
75,2024-05-21T00:00:00.000,No,0,,MANHATTAN,,0,336.0,28.0
5414,2024-05-23T00:00:00.000,No,0,,BRONX,,0,,
1068,,Yes,0,,STATEN ISLAND,,0,,
3074,,Yes,0,,BRONX,,0,,
6587,2021-10-12T00:00:00.000,No,0,,QUEENS,,0,,
2326,,No,0,,BROOKLYN,,0,44.0,3.0
1374,,No,0,,MANHATTAN,,0,,
441,,No,0,,MANHATTAN,,0,52.0,5.0
1413,,No,0,,MANHATTAN,,0,150.0,14.0
2006,,No,0,,MANHATTAN,,0,,
260,,No,0,,BROOKLYN,,0,45.0,4.0
9756,2024-10-25T00:00:00.000,No,0,,QUEENS,,0,,
7158,,No,0,,BROOKLYN,,0,24.0,3.0
122,,No,0,,MANHATTAN,,1,,
4849,2025-01-24T00:00:00.000,No,0,,BRONX,,0,,
1292,2021-05-13T00:00:00.000,Yes,0,,MANHATTAN,,0,,
3396,2025-07-29T00:00:00.000,No,0,,QUEENS,,0,,
2073,,No,0,,BROOKLYN,,0,40.0,4.0
5111,2025-12-15T00:00:00.000,No,0,,BROOKLYN,,0,10.0,
402,,No,0,,QUEENS,,0,,12.0
73,2022-08-12T00:00:00.000,No,0,,MANHATTAN,,0,,
3937,,No,0,,BRONX,,0,,13.0
1544,,No,0,,MANHATTAN,,0,,
5079,2023-10-27T00:00:00.000,No,0,,BROOKLYN,,0,,
5066,2019-03-18T00:00:00.000,No,0,,QUEENS,,0,,
895,,Yes,0,,MANHATTAN,,0,50.0,5.0
1287,,No,0,,MANHATTAN,,0,677.0,51.0
5469,,No,0,,BRONX,,0,26.0,3.0
1485,2020-09-11T00:00:00.000,Yes,0,,QUEENS,No,0,,
1952,2023-09-18T00:00:00.000,No,0,,BROOKLYN,,0,,
3699,,No,0,,STATEN ISLAND,,0,13.0,1.0
829,,No,0,,MANHATTAN,,0,,
2050,,No,0,,MANHATTAN,,0,,
927,,Yes,0,,MANHATTAN,,0,133.0,10.0
346,,No,0,,MANHATTAN,,0,,
1439,2024-12-02T00:00:00.000,No,0,,MANHATTAN,,0,,
1039,,No,0,,MANHATTAN,,0,,
2411,2023-04-27T00:00:00.000,No,0,,BROOKLYN,,0,,
4343,2025-03-04T00:00:00.000,No,0,,QUEENS,No,0,,
1892,,Yes,0,,MANHATTAN,,0,80.0,7.0
1.290E+3,2023-12-29T00:00:00.000,No,0,,MANHATTAN,,0,,
1382,2020-10-07T00:00:00.000,No,0,,MANHATTAN,,0,,
2746,2022-08-12T00:00:00.000,No,0,,QUEENS,,0,,
416,2025-07-28T00:00:00.000,No,0,,MANHATTAN,,0,65.0,6.0
1774,2025-04-07T00:00:00.000,No,0,,MANHATTAN,,0,,
5929,,No,0,,BROOKLYN,,0,37.0,3.0
632,,No,0,,MANHATTAN,,0,,3.0
603,,No,0,,MANHATTAN,,0,90.0,8.0
6401,2024-08-12T00:00:00.000,No,0,,QUEENS,No,0,13.0,1.0
2742,2021-04-20T00:00:00.000,No,0,,BROOKLYN,,0,,
1234,2023-09-11T00:00:00.000,No,0,,MANHATTAN,,0,,
1545,,No,0,,MANHATTAN,,0,75.0,8.0
856,2020-02-11T00:00:00.000,No,0,,MANHATTAN,,0,,
4972,2022-12-05T00:00:00.000,No,0,,QUEENS,No,0,174.0,12.0
867,,No,0,,MANHATTAN,,0,,
1114,,No,0,,MANHATTAN,,0,489.0,36.0
4567,2021-09-23T00:00:00.000,Yes,0,,BRONX,,0,,
154,,No,0,,BROOKLYN,,0,91.0,6.0
1299,,No,0,,QUEENS,,0,40.0,3.0
8215,,No,0,,BROOKLYN,,0,19.0,1.0
3240,2023-06-09T00:00:00.000,No,0,,QUEENS,,0,,
596,2023-12-07T00:00:00.000,Yes,0,,MANHATTAN,No,0,,
1.249E+3,,No,0,,MANHATTAN,,0,,
8686,,No,0,,BROOKLYN,,0,,
482,,No,0,,MANHATTAN,,0,24.0,2.0
1014,,No,0,,MANHATTAN,,0,,
830,,No,0,,MANHATTAN,,0,,
4838,,Yes,0,,QUEENS,No,0,21.0,2.0
3540,,No,0,,BRONX,,0,,
562,2025-03-26T00:00:00.000,No,0,,STATEN ISLAND,,0,,
1673,,No,0,,BROOKLYN,,0,,
500,,No,0,,MANHATTAN,,0,92.0,7.0
