comparable_rental_2_market_value_per_sqft,longitude,comparable_rental_1_address,staten_island_condominium_property_address,census_board,latitude,comparable_rental_1_market_value_per_sqft
,-74.157963,121 FREEDOM AVENUE,120 WELLINGTON COURT,27702,40.579853,47.9
,-74.096213,1000 TARGEE STREET,163 CROMWELL AVENUE,9602,40.590267,41.3
,-74.098623,1000 TARGEE STREET,850 HOWARD AVENUE,47,40.612648,41.3
23.77,-74.107779,150 PARKINSON AVENUE,100 COLFAX AVENUE,11402,40.579906,24.41
41.1,-74.158363,121 FREEDOM AVENUE,95 ESSEX DRIVE,27702,40.58151,47.9
