council_district,staten_island_condominium_property_total_units,staten_island_condominium_property_year_built,comparable_rental_2_building_classification,_comparable_rental_1_boro_block_lot,comparable_rental_1_est_gross_income,comparable_rental_2_year_built,comparable_rental_2_neighborhood,comparable_rental_1_year_built,bin,comparable_rental_1_dist_from_coop_in_miles,community_board,comparable_rental_2_address,postcode
51,31,1989,,5-02102-0028,567703,,,1971,5095350,1.1,2,,10314
51,177,1983,,5-03157-0001,1833563,,,1973,5040473,4.1,2,,10314
49,102,1987,D1-ELEVATOR,5-00240-0003,1327093,1965.0,CLOVE LAKES,1965,5042253,2.15,1,961 VICTORY BOULEVARD,10305
49,93,1987,D1-ELEVATOR,5-00589-0053,897807,1940.0,GRYMES HILL,1940,5089818,1.15,1,650 VICTORY BOULEVARD,10304
