staten_island_condominium_property_market_value_per_sqft,comparable_rental_2_dist_from_coop_in_miles,comparable_rental_1_gross_income_per_sqft,comparable_rental_2_boro_block_lot,staten_island_condominium_property_est_gross_income,nta,staten_island_condominium_property_neighborhood
37.3,,13.14,,0,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ,NEW SPRINGVILLE
37.2,,13.14,,0,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ,NEW SPRINGVILLE
32.5,,11.98,,0,Grymes Hill-Clifton-Fox Hills                                              ,SUNNYSIDE
40.2,,13.14,,0,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ,NEW SPRINGVILLE
36.4,,11.98,,0,Stapleton-Rosebank                                                         ,ROSEBANK
