staten_island_condominium_property_condo_section,comparable_rental_2_gross_sqft,staten_island_condominium_property_building_classification,staten_island_condominium_property_gross_income_per_sqft
113-R4,,R4-ELEVATOR,0
122-R1,,R4-ELEVATOR,0
113-R2,43200.0,R4-ELEVATOR,0
107-R2,,R4-ELEVATOR,0
100-R1,74260.0,R4-ELEVATOR,0
