latitude,longitude,bin,inspection_date,block,gi_result_overflow_pipes,house_num,lab_name,inspection_performed,si_req_biological_growth,gi_req_air_vents
40.714807,-74.005764,1083094.0,07/13/2015,154,N,290,"Environmental Building Solutions, LLC",Y,Y,Y
40.857216,-73.935538,1064381.0,05/27/2025,2179,N,689,ENVIRONMENTAL BUILDING SOLUTIONS LLC,Y,Y,Y
40.724743,-73.997341,1079998.0,05/03/2024,511,N,584,EMSL,Y,Y,Y
40.864433,-73.908922,2092433.0,12/19/2024,3226,N,2420,EMSL,Y,Y,Y
40.738935,-73.981308,1019811.0,08/14/2024,905,N,229,EMSL,Y,Y,Y
40.67524,-73.969483,3029313.0,12/22/2023,1170,N,36,EMSL,Y,Y,Y
40.76009,-73.994502,1083746.0,02/08/2024,105200.00%,N,484,EMSL,Y,Y,Y
40.75886,-73.984843,1022661.0,09/12/2020,999,N,1560,EMSL Analytical,Y,Y,Y
40.754611,-73.986761,1022563.0,10/17/2022,993,N,1440,ENVIRONMENTAL BUILDING SOLUTIONS LLC,Y,Y,Y
40.726148,-73.991236,1006546.0,06/28/2017,458,N,8,EMSL,Y,Y,Y
40.6934,-73.988915,3392969.0,06/23/2022,140,N,345,Barclay water managment,Y,Y,Y
40.739851,-74.002439,1013711.0,12/14/2019,764,N,80,EMSL,Y,Y,Y
40.817344,-73.953384,1084129.0,11/20/2017,1984,N,1470,EMSL ANALYTICAL,Y,Y,Y
40.75903,-73.970321,1036482.0,08/13/2016,1309,N,641,EMSL,Y,Y,Y
40.778624,-73.979527,1030011.0,10/18/2022,1145,N,141,EMSL,Y,Y,Y
40.744902,-73.980126,1018477.0,04/09/2019,888,N,153,EMSL,Y,Y,Y
40.804624,-73.96571,1075433.0,06/27/2017,1883,N,545,ENVIRONMENTAL BUILDING SOLUTIONS LLC,Y,Y,Y
40.735349,-73.996164,1009632.0,08/21/2020,576,N,49,"ENVIRONMENTAL BUILDING SOLUTIONS, LLC",Y,Y,Y
40.701313,-73.981949,3325909.0,08/31/2020,71,N,224,EMSL Analytical,Y,Y,Y
40.812475,-73.961931,1076684.0,08/22/2015,1993,N,120,Environmental Building Solutions,Y,Y,Y
40.749988,-73.980395,1017247.0,12/12/2023,868,N,35,EMSL,Y,Y,Y
40.75778,-73.96572,1039960.0,08/15/2015,1347,N,310,ESML,Y,Y,Y
40.70943,-74.011102,1001068.0,12/18/2018,62,N,1,ENVIRONMENTAL BUILDING SOLUTIONS LLC,Y,Y,Y
40.69195,-73.979965,3426373.0,06/21/2023,2085,N,196,EMSL,Y,Y,Y
40.734899,-73.862526,4047335.0,04/27/2016,1918,N,97-05,EMSL,Y,Y,Y
40.800015,-73.971683,1057187.0,03/20/2024,1890,N,305,EMSL,Y,Y,Y
40.775114,-73.960884,1043230.0,06/30/2020,1413,N,885,EMSL Analytical,Y,Y,Y
