latitude,street_name,gi_result_air_vents,gi_req_roof_access,borough,gi_result_external_structure,gi_result_access_ladders,reporting_year,longitude-gi_result_roof_access
40.74869,West 34th Street,N,Y,MANHATTAN,N,N,2021,-73.985138-N
40.790637,WEST END AVENUE,N,Y,MANHATTAN,N,N,2025,-73.976591-N
40.77438,Central Park West,N,Y,MANHATTAN,N,N,2025,-73.977312-N
40.75903,LEXINGTON AVE,N,Y,MANHATTAN,N,N,2015,-73.970321-N
40.715534,River Terrace,N,Y,MANHATTAN,N,N,2016,-74.016651-N
40.693398,FURMAN STREET,N,Y,BROOKLYN,N,N,2015,-73.999488-N
40.75417,West 36th Street,N,Y,MANHATTAN,N,N,2022,-73.994167-N
40.777622,West 72 Street,N,Y,MANHATTAN,N,N,2021,-73.979315-N
40.732484,Fifth Avenue,N,Y,MANHATTAN,N,N,2022,-73.996193-N
40.750017,PENN PLAZA,N,Y,MANHATTAN,N,N,2018,-73.991345-N
40.757519,Madison Avenue,N,Y,MANHATTAN,N,N,2023,-73.975827-N
40.710536,Broadway,N,Y,MANHATTAN,N,N,2023,-74.009378-N
40.689011,Fulton Street,N,Y,BROOKLYN,N,N,2023,-73.981228-N
40.74482,MADISON AVENUE,N,Y,MANHATTAN,N,N,2018,-73.985113-N
40.765051,Park Avenue,N,Y,MANHATTAN,N,N,2020,-73.968254-N
40.784248,Lexington Avenue,N,Y,MANHATTAN,N,N,2022,-73.952103-N
40.761614,River Place,N,Y,MANHATTAN,N,N,2022,-74.00022-N
40.772894,EAST   75 STREET,N,Y,MANHATTAN,N,N,2016,-73.961997-N
40.763625,EAST 63 STREET,N,Y,MANHATTAN,N,N,2020,-73.96371-N
40.751754,7th Avenue,N,Y,MANHATTAN,N,N,2025,-73.990075-N
40.715447, Street,N,Y,MANHATTAN,N,N,2015,-74.00189-N
40.857216,FORT WASHINGTON AVE,N,Y,MANHATTAN,N,N,2025,-73.935538-N
40.786274,Park Avenue,N,Y,MANHATTAN,N,N,2022,-73.952766-N
40.694032,Metrotech,N,Y,BROOKLYN,N,N,2018,-73.987205-N
