inspection_date,meet_standards,community_board,analytes,gi_req_overflow_pipes,zip,gi_req_internal_structure,lot,bbl
09/15/2021,,5.0,B,Y,10019.0,Y,34,1012670034.0
04/30/2023,,2.0,B,Y,11201.0,Y,6,3001180006.0
11/30/2019,,5.0,B,Y,10001.0,Y,22,1008320022.0
06/25/2020,Y,2.0,B,Y,11205.0,Y,1,3020270001.0
10/22/2022,,5.0,B,Y,10016.0,Y,29,1008630029.0
05/02/2025,,1.0,B,Y,10271.0,Y,7501,1000477501.0
07/22/2024,,8.0,B,Y,10065.0,Y,10,1013980010.0
04/03/2021,,5.0,B,Y,10022.0,Y,35,1012860035.0
12/14/2020,,2.0,B,Y,11217.0,Y,1,3011180001.0
12/19/2020,Y,5.0,B,Y,10016.0,Y,24,1008590024.0
02/20/2020,Y,10.0,B,Y,10026.0,Y,69,1017170069.0
06/25/2016,,1.0,B,Y,10038.0,Y,8,1000770008.0
08/29/2020,,1.0,B,Y,10004.0,Y,29,1000240029.0
07/16/2018,,8.0,B,Y,10075.0,Y,18,1014730018.0
11/03/2023,,6.0,B,Y,10022.0,Y,7501,1013087501.0
09/26/2022,,6.0,B,Y,10016.0,Y,1,1008920001.0
06/27/2023,,6.0,B,Y,10016.0,Y,64,1008930064.0
/2020,Y,5.0,B,Y,10010.0,Y,25,1008500025.0
10/14/2016,,7.0,B,Y,10024.0,Y,47,1012470047.0
12/08/2020,Y,7.0,B,Y,10023.0,Y,60,1011430060.0
10/12/2017,,7.0,B,Y,10024.0,Y,87,1011860087.0
10/23/2025,,6.0,B,Y,10016.0,Y,1,1008940001.0
04/19/2017,,2.0,B,Y,10003.0,Y,18,1005660018.0
08/31/2022,,3.0,B,Y,10013.0,Y,7501,1002027501.0
02/08/2024,,4.0,B,Y,10036.0,Y,1,1010520001.0
03/08/2022,,2.0,B,Y,10011.0,Y,43,1005720043.0
07/28/2025,,7.0,B,Y,10024.0,Y,7504,1012507504.0
08/13/2020,,6.0,B,Y,10016.0,Y,1,1009340001.0
_08/10/2017,,5.0,B,Y,10018.0,Y,75,1007890075.0
06/03/2020,Y,11.0,B,Y,10035.0,Y,5,1017770005.0
12/04/2023,,2.0,B,Y,10012.0,Y,1,1005310001.0
11/11/2017,Y,5.0,B,Y,10016.0,Y,58,1008580058.0
06/25/2019,Y,8.0,B,Y,10021.0,Y,10,1014240010.0
05/27/2025,,12.0,B,Y,10040.0,Y,500,1021790500.0
06/09/2016,,6.0,B,Y,11374.0,Y,7501,4031027501.0
09/04/2025,,7.0,B,Y,10023.0,Y,18,1011460018.0
03/11/2023,,1.0,B,Y,10038.0,Y,31,1000420031.0
12/19/2015,,5.0,B,Y,10018.0,Y,30,1008380030.0
09/28/2024,,5.0,B,Y,10001.0,Y,11,1008040011.0
06/18/2020,,6.0,B,Y,10016.0,Y,24,1008650024.0
03/12/2025,,5.0,B,Y,10036.0,Y,9,1012580009.0
08/16/2023,,6.0,B,Y,10010.0,N,1,1009290001.0
03/,,11.0,B,Y,10467.0,Y,1,2044290001.0
10/27/2021,,8.0,B,Y,10028.0,Y,20,1015100020.0
