cd_41,cd_35,cd_12,cd_13,cd_05,cd_33,african_american,cd_40,multi_ethnic,cd_30,cd_49,male,has_limited_english
0,*,0,0,0,0,*,0,*,0,0,0,*
0,*,*,*,*,0,32,*,13,*,0,61,100
0,0,0,0,0,0,0,0,0,0,0,0,*
0,0,0,0,0,0,*,0,*,0,*,*,*
0,0,0,0,0,0,0,0,0,0,0,*,*
0,0,0,0,0,0,*,0,0,0,0,*,0
374,151,283,149,24,97,5202,170,1011,67,263,4479,1615
0,0,0,0,0,0,*,0,0,0,0,*,*
0,0,0,0,0,0,*,0,0,0,0,*,*
*,*,0,*,0,*,56,*,27,*,*,71,62
*,*,*,*,*,0,60,0,24,*,*,50,40
52,18,17,13,0,*,519,18,81,*,*,428,126
413,311,356,318,55,232,4892,326,1858,182,333,6213,5908
12,*,10,*,*,10,139,*,21,*,12,36,30
0,0,0,0,0,0,*,0,*,0,0,*,*
0,*,*,0,0,0,*,0,0,0,0,*,0
0,0,0,0,0,0,*,0,0,0,*,0,*
*,0,0,*,0,0,14,0,*,0,0,14,*
17,14,20,13,*,*,276,20,87,*,14,294,222
0,0,0,0,0,0,*,0,0,0,0,0,0
0,0,0,0,0,0,*,0,*,0,0,*,*
*,*,*,*,*,*,59,*,18,*,*,103,142
*,0,0,0,*,0,29,*,*,*,*,34,35
127,80,95,77,14,62,1634,102,446,45,91,2158,1549
0,*,0,*,0,0,16,*,*,0,0,14,0
*,0,*,0,0,0,15,0,*,*,0,*,*
0,0,0,0,0,0,0,0,0,0,0,0,0
*,*,*,*,*,*,132,*,41,*,10,172,102
0,*,*,0,0,0,*,0,*,0,*,*,10
*,0,0,0,0,0,*,0,0,0,0,0,0
0,0,0,0,0,0,0,*,0,0,0,0,0
*,0,*,*,0,0,*,*,*,0,0,*,*
0,0,0,0,0,0,*,0,0,0,0,*,*
*,0,*,*,0,0,15,0,*,*,*,12,22
21,*,19,10,0,*,229,*,75,*,10,203,196
0,0,0,0,0,0,0,0,0,0,0,0,0
141,101,90,96,10,40,1555,97,466,33,99,2248,1479
*,*,0,*,0,*,73,*,*,0,0,50,*
0,0,0,0,0,0,0,0,0,0,0,*,0
0,0,0,0,0,*,*,*,0,0,*,*,*
0,0,0,0,0,0,0,0,*,0,0,*,*
0,0,0,0,0,0,*,0,*,0,0,*,0
0,*,*,*,*,0,34,*,*,*,0,49,23
*,0,*,0,0,0,14,0,*,0,0,12,14
*,0,*,0,0,0,*,0,0,0,0,*,*
0,0,0,0,0,0,0,0,0,0,0,0,*
0,0,0,0,0,0,*,0,0,0,0,*,*
*,*,0,0,0,0,16,*,0,0,0,*,*
156,92,126,91,21,53,1797,109,513,49,123,2433,1931
0,0,0,0,0,0,*,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,*,0,0
*,0,0,0,0,*,13,*,*,0,0,*,*
291,186,228,198,23,149,3043,191,1125,107,199,3591,3457
0,0,*,0,0,*,*,0,*,0,*,10,*
0,0,0,0,0,0,0,0,0,0,0,*,0
0,0,0,0,0,0,*,0,0,0,0,0,*
307,151,243,138,17,98,4625,173,854,59,229,4192,1533
0,0,*,0,0,0,*,0,*,0,0,*,0
*,0,0,0,0,0,*,0,0,0,0,*,0
0,0,0,0,0,0,*,0,0,0,*,*,0
0,0,0,*,0,*,17,0,10,0,*,22,15
0,0,0,0,0,0,0,0,0,0,0,0,*
*,*,*,*,*,*,103,*,20,*,*,161,346
0,0,0,0,0,0,*,0,*,*,*,*,*
0,0,0,*,0,0,*,0,*,*,0,*,*
0,0,0,0,0,0,*,0,0,0,0,*,*
0,0,0,0,0,0,*,0,0,0,0,*,0
*,0,0,0,0,0,*,0,*,0,0,*,0
0,0,0,0,0,0,0,0,0,0,0,*,0
