jun_16,dec_14,may_17,feb_12,jun_11,jan_13,aug_13,jan_19,dec_11,may_14,mar_14,may_18,jul_10,feb_13,sep_15,feb_19,nov_17,nov_16,apr_17
21,17,21,16,29,6,21,22.0,25,16,10,13,14,11,32,10.0,22,19,9
10,26,14,33,32,16,23,8.0,29,10,15,10,34,14,16,9.0,24,9,5
17,33,17,13,21,19,29,11.0,26,26,27,12,16,17,9,7.0,8,16,21
91.03,93.32,99.22,96.20,95.30,95.70,95.90,,94.30,90.30,87.30,98.41,95.50,92.60,96.73,,91.56,100.00,99.16
0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0
0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0.0,0,0,0
6.25,6.14,6.03,4.96,5.55,5.60,5.15,6.19,5.63,5.69,5.12,6.08,5.38,5.02,6.01,5.69,6.23,6.23,
13.87,15.08,13.51,13.16,13.14,14.61,13.82,18.75,13.70,12.88,13.83,16.48,13.66,13.82,14.05,16.06,18.94,14.61,14.09
2,2,3,1,2,3,1,1.0,0,1,0,0,2,0,2,1.0,1,0,1
11.16,10.69,11.43,8.49,8.20,9.73,8.66,13.85,8.56,8.46,9.21,11.84,8.75,8.63,10.70,12.97,11.58,12.08,11.31
100.00,91.72,92.03,95.50,93.30,96.90,94.30,,91.00,94.80,90.30,96.07,97.80,91.60,94.78,,90.64,98.27,95.47
8,13,9,10,13,10,17,4.0,21,12,9,12,12,13,15,13.0,12,8,21
107,106,141,77,145,90,118,106.0,107,111,86,116,77,71,110,77.0,102,105,109
,91.79,93.70,95.40,97.80,97.30,94.90,,92.50,91.90,96.90,96.53,94.60,91.50,92.04,,92.76,98.66,100.00
1,0,0,0,1,0,2,0.0,0,1,1,1,0,2,2,0.0,1,0,1
191,219,144,147,167,205,197,164.0,231,172,127,146,206,132,165,132.0,176,191,163
95.04,97.14,93.06,96.00,91.70,93.20,93.10,,89.80,96.20,94.60,98.50,95.40,93.60,86.14,,97.12,95.37,98.90
95.82,91.79,93.48,98.50,93.50,90.70,92.90,,91.50,97.50,91.80,97.59,97.00,89.60,94.89,,95.78,97.49,92.45
10.10,9.44,9.82,9.03,9.75,9.24,9.17,8.85,9.67,10.55,9.48,9.67,8.89,8.97,9.82,8.34,9.48,9.48,
10,6,4,3,8,9,4,6.0,24,2,6,11,10,5,11,7.0,7,3,5
2,0,0,0,0,1,5,1.0,0,1,0,0,0,1,1,0.0,2,1,1
5,27,4,14,11,24,25,5.0,18,19,16,5,25,10,9,4.0,9,10,3
0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0
10.39,10.07,10.18,9.89,10.43,9.94,9.98,9.92,10.27,10.58,9.97,10.39,9.03,9.97,10.00,9.77,10.44,10.19,
-,1.64,-,-,-,-,-,,-,-,0.90,0.38,0.40,-,0.70,,-,-,-
0,0,0,0,1,0,0,0.0,2,0,0,1,2,0,0,1.0,0,1,0
4,3,4,4,7,5,13,4.0,4,4,10,2,15,5,7,4.0,4,5,1
1,1,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0.0,2,0,0
12.33,12.25,12.42,11.81,12.74,11.67,11.91,10.99,12.42,12.46,11.85,12.20,12.40,11.73,12.04,11.11,11.97,11.99,
2,1,1,1,2,1,2,0.0,2,0,3,0,0,0,3,2.0,3,1,1
113,110,120,127,130,95,97,98.0,192,86,59,107,158,95,140,71.0,101,111,103
132,166,103,114,157,134,213,75.0,138,160,112,108,137,98,152,81.0,97,97,94
2,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0.0,0,0,0
-,-,1.10,0.50,-,-,1.10,,0.60,1.40,3.40,1.14,0.70,-,-,,2.35,-,-
7,21,7,5,5,9,12,7.0,8,8,9,2,8,7,8,1.0,6,8,4
95.36,93.12,94.88,91.70,96.10,93.20,95.50,,97.30,97.70,86.50,97.96,94.30,92.00,97.87,,98.68,96.82,95.38
16.44,16.61,189.43,13.61,16.65,17.43,13.77,15.07,16.62,16.11,14.18,16.14,14.60,17.01,16.83,14.6,15.69,16.07,15.12
6.33,6.51,6.14,5.23,5.73,5.65,5.39,6.23,6.04,6.04,5.57,6.17,5.45,5.26,6.07,5.9,6.32,6.50,
1,0,2,2,1,0,1,0.0,0,0,2,1,0,0,0,0.0,1,0,0
5.29,4.65,74.98,3.58,4.11,3.86,4.32,6.05,3.96,4.55,3.92,5.91,4.40,3.49,4.94,5.91,5.80,5.34,5.65
112,159,103,112,110,133,130,73.0,138,137,122,105,115,130,125,71.0,102,106,78
0,0,0,0,0,2,2,0.0,1,0,0,2,1,1,2,1.0,0,0,0
13.99,13.81,13.89,14.72,14.93,14.21,13.38,11.17,14.90,14.04,13.40,11.74,14.40,14.38,13.57,11.32,11.69,13.96,
19,42,16,21,22,19,25,12.0,26,23,19,10,11,25,27,12.0,17,16,11
10.69,9.72,10.42,9.59,11.09,10.01,11.06,9.78,9.90,11.23,9.67,11.04,10.71,9.70,10.21,9.51,10.14,9.68,
0,1,0,1,0,0,3,0.0,2,1,0,1,3,1,1,0.0,0,2,0
23.89,23.00,296.47,20.04,20.91,21.60,20.00,27.48,22.59,21.74,20.26,25.77,15.38,20.24,23.72,25.83,25.16,25.17,26.46
21.37,23.43,246.51,17.91,21.86,19.03,19.32,18.82,22.07,20.45,18.87,19.82,20.34,17.38,19.95,18.05,20.08,21.86,20.13
100.00,100.00,99.11,96.10,98.70,97.10,97.50,,98.40,100.00,95.90,100.00,98.20,94.10,100.00,,95.88,97.45,97.35
7.81,7.03,90.37,4.80,5.02,5.69,4.92,8.21,4.90,5.91,5.75,7.55,4.45,5.09,7.28,7.65,7.68,7.79,7.47
11,13,8,4,21,32,25,10.0,5,15,10,4,16,24,13,11.0,6,12,7
16,25,11,32,36,17,28,11.0,34,21,17,14,27,13,18,8.0,20,20,17
7.71,8.34,7.31,6.26,6.52,6.45,6.45,7.21,7.07,6.88,6.46,7.24,6.35,6.25,7.62,6.29,7.18,7.81,
34,33,39,22,27,31,41,39.0,26,31,36,43,32,24,51,39.0,34,50,41
81,89,97,66,77,86,109,93.0,80,79,88,110,74,63,96,64.0,109,81,72
49,37,25,34,30,25,45,29.0,44,39,37,24,29,23,42,31.0,36,32,23
223,259,208,155,163,199,180,193.0,219,178,205,216,218,167,202,144.0,238,201,170
92,75,69,76,74,92,88,74.0,105,81,72,84,90,75,94,77.0,96,101,68
16,13,10,24,37,17,25,3.0,33,20,18,9,18,12,20,3.0,11,12,7
97.71,83.32,88.40,95.90,90.20,96.10,89.40,,93.80,93.50,86.70,99.31,96.20,95.90,81.33,,84.54,95.57,97.41
-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,-,-,-
0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1.0,0,0,0
