x_not_male_or_female_count,black_or_african_american_1,another_gender_percentage,not_sure_percentage,female_percentage,geography_type,data_os_of_date,x_not_male_or_female,female_gender_identity,native_hawaiian_or_other,not_hispanic_or_latino_a_1
0.0,2.71,0.0,0.07,19.43,Community District,2020-06-26T00:00:00.000,0.0,6.25,6,29.43
,0.74,,,1.05,Community District,2019-06-01T00:00:00.000,,,0,0.0
,0.18,,,6.07,Community District,2019-06-01T00:00:00.000,,,0,0.0
0.0,0.03,0.0,0.0,0.57,Community District,2020-06-26T00:00:00.000,0.0,0.39,0,0.78
0.0,0.25,0.0,0.0,0.57,Community District,2020-06-26T00:00:00.000,0.0,0.53,0,0.25
0.0,2.28,0.0,0.03,27.68,Community District,2020-06-26T00:00:00.000,0.0,0.46,2,12.57
0.0,0.0,0.0,0.0,0.03,Community District,2020-06-26T00:00:00.000,0.0,0.03,0,0.0
0.0,0.0,0.0,0.0,2.39,Community District,2020-06-26T00:00:00.000,0.0,2.39,0,3.17
0.0,0.35,0.0,0.0,0.64,Community District,2020-06-26T00:00:00.000,0.0,0.64,0,0.42
0.0,0.5,0.0,0.0,4.92,Community District,2020-06-26T00:00:00.000,0.0,4.78,0,1.07
,1.54,,,2.72,Community District,2019-06-01T00:00:00.000,,,0,0.0
0.0,2.46,0.0,0.0,1.14,Community District,2020-06-26T00:00:00.000,0.0,0.57,0,2.53
0.0,3.21,0.0,0.0,35.14,Community District,2020-06-26T00:00:00.000,0.0,0.0,12,15.39
,0.0,,,0.68,Community District,2019-06-01T00:00:00.000,,,0,0.0
0.0,1.46,0.0,0.07,30.57,Community District,2020-06-26T00:00:00.000,0.0,0.46,2,46.96
0.0,12.68,0.0,0.0,15.6,Community District,2020-06-26T00:00:00.000,0.0,3.89,6,19.14
0.0,0.25,0.0,0.0,0.21,Community District,2020-06-26T00:00:00.000,0.0,0.21,0,0.25
0.0,10.67,0.0,0.0,12.25,Community District,2020-06-26T00:00:00.000,0.0,4.14,6,8.42
0.0,0.0,0.0,0.0,0.1,Community District,2020-06-26T00:00:00.000,0.0,0.1,0,0.17
0.0,1.21,0.0,0.07,15.71,Community District,2020-06-26T00:00:00.000,0.0,0.25,1,24.21
,0.06,,,0.12,Community District,2019-06-01T00:00:00.000,,,0,0.0
,0.18,,,1.73,Community District,2019-06-01T00:00:00.000,,,0,0.0
0.0,0.25,0.0,0.0,0.39,Community District,2020-06-26T00:00:00.000,0.0,0.39,1,0.32
0.0,1.64,0.0,0.0,5.17,Community District,2020-06-26T00:00:00.000,0.0,2.07,0,8.42
,0.0,,,0.03,Zip Code,2019-06-01T00:00:00.000,,,0,0.0
0.0,0.53,0.0,0.0,0.39,Community District,2020-06-26T00:00:00.000,0.0,0.14,0,0.42
0.0,1.07,0.0,0.0,2.39,Community District,2020-06-26T00:00:00.000,0.0,0.03,0,2.25
0.0,41.21,0.0,0.1,62.0,Community District,2020-06-26T00:00:00.000,0.0,3.25,8,40.04
,5.02,,,2.66,Community District,2019-06-01T00:00:00.000,,,0,0.0
0.0,0.1,0.0,0.0,0.57,Community District,2020-06-26T00:00:00.000,0.0,0.32,0,0.96
,0.12,,,0.0,Community District,2019-06-01T00:00:00.000,,,0,0.0
0.0,0.0,0.0,0.0,0.03,Community District,2020-06-26T00:00:00.000,0.0,0.0,0,0.03
0.0,0.75,0.0,0.0,0.71,Community District,2020-06-26T00:00:00.000,0.0,0.71,0,0.96
0.0,0.0,0.0,0.0,0.07,Community District,2020-06-26T00:00:00.000,0.0,0.03,0,0.03
0.0,0.0,0.0,0.0,0.07,Community District,2020-06-26T00:00:00.000,0.0,0.07,0,0.07
0.0,0.03,0.0,0.0,0.07,Community District,2020-06-26T00:00:00.000,0.0,0.03,0,0.07
0.0,0.0,0.0,0.0,0.35,Community District,2020-06-26T00:00:00.000,0.0,0.35,0,0.28
0.0,1.89,0.0,0.0,1.64,Community District,2020-06-26T00:00:00.000,0.0,0.92,0,2.57
0.0,0.07,0.0,0.0,0.1,Community District,2020-06-26T00:00:00.000,0.0,0.07,0,0.03
0.0,0.07,0.0,0.0,0.1,Community District,2020-06-26T00:00:00.000,0.0,0.07,0,0.39
0.0,0.17,0.0,0.0,0.07,Community District,2020-06-26T00:00:00.000,0.0,0.1,0,0.21
0.0,31.18,0.0,0.0,35.39,Community District,2020-06-26T00:00:00.000,0.0,2.42,3,32.75
,0.86,,,0.74,Community District,2019-06-01T00:00:00.000,,,0,0.0
,12.95,,,6.5,Community District,2019-06-01T00:00:00.000,,,0,0.0
0.0,0.03,0.0,0.0,0.0,Community District,2020-06-26T00:00:00.000,0.0,0.0,0,0.0
,1.17,,,3.03,Community District,2019-06-01T00:00:00.000,,,0,0.0
0.0,0.0,0.0,0.0,0.17,Community District,2020-06-26T00:00:00.000,0.0,0.14,1,0.17
0.0,0.03,0.0,0.0,6.71,Community District,2020-06-26T00:00:00.000,0.0,6.53,0,8.03
0.0,0.32,0.0,0.0,0.85,Community District,2020-06-26T00:00:00.000,0.0,0.57,0,0.35
0.0,0.0,0.0,0.0,0.14,Community District,2020-06-26T00:00:00.000,0.0,0.1,0,0.14
,22.18,,,23.49,Community District,2019-06-01T00:00:00.000,,,2,1.54
0.0,0.03,0.0,0.0,0.0,Community District,2020-06-26T00:00:00.000,0.0,0.0,0,0.03
0.0,0.0,0.0,0.0,0.03,Community District,2020-06-26T00:00:00.000,0.0,0.03,0,0.0
,0.0,,,0.0,Community District,2019-06-01T00:00:00.000,,,0,0.0
0.0,0.07,0.0,0.0,0.28,Community District,2020-06-26T00:00:00.000,0.0,0.17,1,0.21
0.0,0.25,0.0,0.0,0.28,Community District,2020-06-26T00:00:00.000,0.0,0.17,0,0.35
0.0,0.03,0.0,0.0,0.03,Community District,2020-06-26T00:00:00.000,0.0,0.03,0,0.0
0.0,0.0,0.0,0.0,0.14,Community District,2020-06-26T00:00:00.000,0.0,0.0,0,0.1
0.0,0.0,0.0,0.0,0.46,Community District,2020-06-26T00:00:00.000,0.0,0.46,0,0.07
0.0,0.1,0.0,0.0,0.17,Community District,2020-06-26T00:00:00.000,0.0,0.03,0,0.32
,2.97,,,3.84,Community District,2019-06-01T00:00:00.000,,,2,0.0
0.0,0.07,0.0,0.0,0.07,Community District,2020-06-26T00:00:00.000,0.0,0.07,1,0.1
0.0,1.1,0.0,0.03,1.21,Community District,2020-06-26T00:00:00.000,0.0,1.21,0,1.03
