multi_gender_identity,hispanic_or_latino_a_count,do_not_understand_the_question_1,female_gender_identity_count,gender_nonconforming,white_or_caucasian_percentage,do_not_understand_the_question,not_hispanic_or_latino_a
0.0,401,0.0,175.0,0.03,7.42,0.0,824
,0,,,0.0,0.18,,0
,0,,,0.0,0.43,,0
0.0,2,0.0,11.0,0.0,0.03,0.0,22
0.0,14,0.0,15.0,0.0,0.03,0.0,7
0.03,1239,0.0,13.0,0.0,8.46,0.0,352
0.0,1,0.0,1.0,0.0,0.0,0.0,0
0.0,3,0.0,67.0,0.0,0.0,0.0,89
0.0,13,0.0,18.0,0.0,0.07,0.0,12
0.0,149,0.0,134.0,0.0,0.1,0.0,30
,0,,,0.0,0.3,,0
0.0,4,0.0,16.0,0.03,0.03,0.0,71
0.0,1458,0.03,0.0,0.0,5.14,1.0,431
,0,,,0.0,0.12,,0
0.0,417,0.0,13.0,0.0,14.75,0.0,1315
0.03,407,0.0,109.0,0.0,1.75,0.0,536
0.0,3,0.0,6.0,0.0,0.0,0.0,7
0.03,560,0.03,116.0,0.0,1.25,1.0,236
0.0,1,0.0,3.0,0.0,0.03,0.0,5
0.0,235,0.0,7.0,0.0,9.03,0.0,678
,0,,,0.0,0.0,,0
,0,,,0.0,0.06,,0
0.0,10,0.0,11.0,0.0,0.03,0.0,9
0.0,41,0.0,58.0,0.0,1.96,0.0,236
,0,,,0.0,0.09,,0
0.0,5,0.0,4.0,0.0,0.03,0.0,12
0.0,51,0.0,1.0,0.0,1.46,0.0,63
0.03,2289,0.0,91.0,0.0,3.14,0.0,1121
,0,,,0.0,0.06,,0
0.0,7,0.0,9.0,0.0,0.21,0.0,27
,0,,,0.0,0.0,,0
0.0,0,0.0,0.0,0.0,0.0,0.0,1
0.0,8,0.0,20.0,0.0,0.03,0.0,27
0.03,2,0.0,1.0,0.0,0.0,0.0,1
0.0,1,0.0,2.0,0.0,0.0,0.0,2
0.0,0,0.0,1.0,0.0,0.0,0.0,2
0.0,7,0.0,10.0,0.0,0.07,0.0,8
0.07,14,0.0,26.0,0.0,0.42,0.0,72
0.0,3,0.0,2.0,0.0,0.0,0.0,1
0.0,1,0.0,2.0,0.0,0.25,0.0,11
0.0,1,0.0,3.0,0.0,0.0,0.0,6
0.03,1017,0.07,68.0,0.0,3.82,2.0,917
,0,,,0.0,0.0,,0
,0,,,0.0,1.36,,0
0.0,3,0.0,0.0,0.0,0.03,0.0,0
,0,,,0.0,0.18,,0
0.0,2,0.0,4.0,0.0,0.07,0.0,5
0.0,10,0.0,183.0,0.0,7.32,0.0,225
0.0,18,0.0,16.0,0.0,0.1,0.0,10
0.0,5,0.0,3.0,0.0,0.0,0.0,4
0.0,204,0.0,85.0,0.1,0.21,0.0,259
0.0,0,0.0,1.0,0.0,0.0,0.0,2
0.0,1659,0.07,31.0,0.0,3.71,2.0,440
,0,,,0.0,0.37,,0
0.0,18,0.0,9.0,0.0,0.07,0.0,12
,0,,,0.0,0.43,,0
,0,,,0.0,0.0,,0
0.0,8,0.0,95.0,0.0,1.21,0.0,113
0.03,111,0.03,91.0,0.0,1.17,1.0,591
0.03,5,0.0,3.0,0.0,0.03,0.0,2
0.0,5,0.0,3.0,0.0,0.0,0.0,4
0.0,35,0.0,19.0,0.0,0.14,0.0,14
0.0,3,0.0,0.0,0.0,0.03,0.0,1
0.03,17,0.0,30.0,0.0,0.03,0.0,25
0.03,1,0.0,6.0,0.0,0.0,0.0,12
,0,,,0.0,0.0,,0
0.0,3,0.0,3.0,0.0,0.0,0.0,9
,0,,,0.0,0.0,,0
0.07,444,0.0,246.0,0.03,2.53,0.0,929
,0,,,0.0,0.0,,0
0.0,5,0.0,50.0,0.0,0.0,0.0,60
0.0,6,0.0,9.0,0.0,0.07,0.0,20
0.07,355,0.03,96.0,0.0,2.25,1.0,467
,0,,,0.0,0.37,,0
,0,,,0.0,0.18,,1
0.0,4,0.0,5.0,0.0,0.03,0.0,1
0.0,4,0.0,9.0,0.0,0.0,0.0,15
0.0,14,0.0,2.0,0.0,0.07,0.0,17
0.0,0,0.0,5.0,0.0,0.0,0.0,8
,0,,,0.0,0.24,,0
0.0,168,0.0,5.0,0.0,26.36,0.0,787
,0,,,0.0,0.0,,0
0.0,3,0.0,2.0,0.0,0.0,0.0,2
0.03,183,0.0,138.0,0.0,0.21,0.0,11
,0,,,0.0,0.06,,0
0.0,5,0.0,31.0,0.0,0.1,0.0,31
0.0,20,0.0,29.0,0.0,0.42,0.0,19
0.0,83,0.0,73.0,0.0,0.28,0.0,15
0.0,1051,0.03,58.0,0.0,2.46,1.0,667
,3,,,0.06,1.79,,15
,0,,,0.0,2.72,,0
0.0,3,0.0,7.0,0.0,0.03,0.0,6
0.0,6,0.0,7.0,0.0,0.03,0.0,6
0.0,202,0.0,69.0,0.0,0.21,0.0,222
0.0,9,0.0,24.0,0.0,0.07,0.0,32
0.0,3,0.0,2.0,0.0,0.03,0.0,2
0.0,2,0.0,0.0,0.0,0.03,0.0,1
,0,,,0.12,8.92,,0
,0,,,0.0,0.06,,0
0.0,142,0.03,79.0,0.0,11.35,1.0,415
0.0,6,0.0,6.0,0.0,0.0,0.0,6
0.0,1668,0.0,0.0,0.0,2.39,0.0,1805
0.0,0,0.0,3.0,0.0,0.0,0.0,5
,0,,,0.0,0.06,,0
,1,,,0.0,0.18,,1
0.0,4,0.0,12.0,0.0,0.17,0.0,17
0.0,873,0.0,224.0,0.03,1.17,0.0,132
0.0,1,0.0,1.0,0.0,0.03,0.0,1
,0,,,0.0,0.24,,0
,0,,,0.0,0.03,,0
0.03,1931,0.0,36.0,0.0,7.1,0.0,311
0.0,30,0.0,12.0,0.0,0.07,0.0,84
0.0,10,0.0,7.0,0.0,0.0,0.0,5
,0,,,0.0,0.24,,0
,0,,,0.0,0.24,,1
0.03,205,0.0,114.0,0.0,0.85,0.0,590
0.0,30,0.0,50.0,0.0,0.96,0.0,43
0.0,22,0.0,16.0,0.0,0.0,0.0,2
0.0,3,0.0,3.0,0.0,0.0,0.0,3
,25,,,0.06,2.66,,15
,1,,,0.0,0.3,,0
,11,,,0.0,2.47,,3
0.0,93,0.0,80.0,0.0,0.0,0.0,10
0.0,28,0.0,23.0,0.0,0.17,0.0,24
,0,,,0.0,0.12,,0
,0,,,0.0,0.37,,0
0.0,61,0.0,9.0,0.0,0.21,0.0,13
0.0,3,0.0,2.0,0.0,0.0,0.0,0
,4,,,0.0,11.65,,17
0.0,2,0.0,1.0,0.0,0.07,0.0,9
0.0,0,0.0,1.0,0.0,0.0,0.0,1
0.0,40,0.0,30.0,0.0,0.07,0.0,36
