ell_chinese_2,math_level_3_2,ell_arabic_1,ell_french_1,ela_level_4_1,black_2,asian_2,ell_russian_2,ell_haitian_creole_2,white_1,hispanic_2,math_test_takers
No Data,No Data,No Data,No Data,No Data,s,s,No Data,No Data,s,s,No Data
No Data,s,No Data,No Data,s,s,s,No Data,No Data,s,s,s
No Data,26.0%,No Data,No Data,18,24.9%,9.8%,No Data,No Data,31,57.1%,73
No Data,s,No Data,No Data,s,36.5%,s,No Data,No Data,s,52.9%,21
No Data,s,No Data,No Data,s,s,s,No Data,No Data,s,54.5%,s
No Data,s,No Data,No Data,s,s,s,No Data,No Data,s,81.8%,s
No Data,No Data,No Data,No Data,No Data,s,s,No Data,No Data,s,s,No Data
No Data,39.1%,No Data,No Data,38,25.5%,11.3%,No Data,No Data,45,45.0%,46
No Data,18.2%,No Data,No Data,6,29.7%,10.0%,No Data,No Data,19,52.4%,88
No Data,s,No Data,No Data,s,s,s,No Data,No Data,11,s,s
No Data,s,No Data,No Data,s,23.5%,s,No Data,No Data,s,70.4%,18
No Data,s,No Data,No Data,s,20.8%,s,No Data,No Data,s,75.4%,80
No Data,s,No Data,No Data,s,48.8%,s,No Data,No Data,s,51.2%,s
s,No Data,s,s,No Data,s,s,s,s,s,80.0%,No Data
No Data,No Data,No Data,No Data,No Data,s,92.3%,No Data,No Data,s,s,No Data
No Data,s,No Data,No Data,s,47.9%,s,No Data,No Data,s,43.7%,16
No Data,No Data,No Data,No Data,No Data,32.3%,14.5%,No Data,No Data,s,43.5%,No Data
No Data,s,No Data,No Data,s,26.6%,5.6%,No Data,No Data,8,62.8%,43
s,s,s,s,s,s,s,s,s,s,70.0%,s
No Data,s,No Data,No Data,s,26.1%,s,No Data,No Data,10,64.7%,25
No Data,s,No Data,No Data,s,21.3%,14.2%,No Data,No Data,s,58.3%,22
s,s,10,7,s,12.6%,3.3%,s,s,s,78.7%,63
No Data,No Data,No Data,No Data,No Data,25.8%,s,No Data,No Data,s,61.3%,No Data
No Data,s,No Data,No Data,s,30.0%,s,No Data,No Data,10,67.5%,100
No Data,s,No Data,No Data,s,26.2%,s,No Data,No Data,s,72.6%,23
No Data,s,No Data,No Data,6,29.5%,5.3%,No Data,No Data,19,58.5%,150
s,s,s,s,s,s,s,s,s,s,62.5%,8
No Data,s,No Data,No Data,s,s,s,No Data,No Data,12,s,s
No Data,24.6%,No Data,No Data,16,11.3%,7.2%,No Data,No Data,34,59.7%,65
No Data,s,No Data,No Data,8,26.2%,11.7%,No Data,No Data,29,46.6%,81
s,s,s,s,s,s,s,s,s,s,76.2%,9
No Data,s,No Data,No Data,s,34.4%,s,No Data,No Data,s,61.5%,15
No Data,s,No Data,No Data,s,39.0%,s,No Data,No Data,s,51.2%,8
No Data,s,No Data,No Data,10,21.0%,4.0%,No Data,No Data,s,71.9%,62
No Data,s,No Data,No Data,s,31.6%,s,No Data,No Data,s,47.4%,s
