dbn,unnamed_column,school_name,parent_engagement_score,teacher_academic_expectations,enrollment,teacher_horizon_safety_and,parent_horizon_safety_and,horizon_engagement_score,student_engagement_score,horizon_safety_and_respect
02M416,M416,Eleanor Roosevelt High School,7.6,8.6,506,0.81,0.92,0.86,6.9,0.97
26Q067,Q067,J.H.S. 067 Louis Pasteur,6.8,8.1,955,0.83,0.67,0.7,6.8,0.79
04M182,M182,The Bilingual Bicultural School,7.5,8.3,428,0.75,0.83,0.72,,0.79
07X223,X223,M.S. 223 The Laboratory School of Finance and Technology,7.4,7.8,450,0.73,0.9,0.87,7.7,0.88
17K353,K353,Elijah Stroud Middle School,7.5,6.9,174,0.34,0.63,0.57,6.3,0.42
11X541,X541,Global Enterprise High School,6.8,6.9,465,0.47,0.54,0.59,5.6,0.45
08X686,X686,New School for Arts and Science,7.4,7.9,80,0.85,0.89,0.93,7.0,0.97
13K430,K430,Brooklyn Technical High School,6.6,5.9,4662,0.58,0.51,0.55,7.1,0.68
11X175,X175,P.S. 175 City Island,7.3,8.7,386,0.9,0.8,0.85,6.8,0.84
31R445,R44,Port Richmond High School,6.7,7.7,2276,0.6,0.39,0.66,6.0,0.48
32K296,K296,J.H.S. 296 The Halsey,7.3,7.1,546,0.38,0.57,0.73,6.9,0.46
23K643,K643,Brooklyn Democracy Academy,7.6,8.1,149,0.44,0.86,0.77,7.2,0.54
02M111,M111,P.S. 111 Adolph S. Ochs,7.3,6.6,565,0.42,0.6,0.62,7.1,0.53
17K002,K002,M.S. 002,7.1,7.7,436,0.46,0.7,0.7,6.6,0.55
28Q470,Q470,Jamaica High School,6.2,7.2,1548,0.63,0.48,0.59,6.0,0.58
12X271,X271,East Bronx Academy for the Future,6.9,7.1,619,0.38,0.62,0.68,6.3,0.5
03M191,M191,P.S. 191 Amsterdam,7.6,8.1,287,0.57,0.88,0.81,,0.75
84K508,K508,Achievement First Endeavor Charter School,7.0,7.1,259,0.48,0.8,0.5,6.8,0.67
07X203,X203,M.S. 203,7.4,7.5,358,0.61,0.73,0.73,6.8,0.61
84M279,M279,The Opportunity Charter School,7.5,6.3,334,0.32,0.78,0.68,6.4,0.5
11X545,X545,Bronx Aerospace High School,6.3,6.3,403,0.24,0.48,0.35,5.6,0.32
19K072,K072,P.S./I.S. 072 Annette P Goldman,6.3,6.5,796,0.38,0.44,0.31,6.2,0.38
29Q208,Q208,P.S. / I.S. 208,7.4,8.0,733,0.74,0.72,0.69,6.4,0.69
01M650,M650,Cascades High School,7.7,8.9,217,0.54,0.75,0.89,7.8,0.67
17K340,K340,I.S. 340,7.5,8.3,317,0.79,0.77,0.77,6.3,0.73
15K136,K136,I.S. 136 Charles O. Dewey,6.8,7.1,476,0.61,0.67,0.57,6.8,0.67
84K356,K356,Achievement First- Crown Heights Charter School,7.8,7.7,752,0.63,0.84,0.81,7.4,0.72
32K564,K564,Bushwick Community High School,7.5,8.4,392,0.89,0.91,0.85,8.2,0.92
18K235,K235,P.S. 235 Lenox School,6.8,8.2,1376,0.72,0.52,0.65,6.5,0.69
01M448,M448,University Neighborhood High School@,6.7,6.4,592,0.27,0.42,0.48,5.9,0.36
23K150,K150,P.S. 150 Christopher,6.9,6.2,532,0.19,0.6,0.46,6.8,0.28
