ell_arabic_1,ell_french_1,ela_level_3_1,ell_bengali_1,ell_haitian_creole_2,math_l3_l4_2,other_2,ell_spanish,ela_test_takers,hispanic_2,ela_level_1_2,ell_chinese_2,ell_other_2
,,s,,,0.01871657754010695,0.003601440576230492,,385.0,0.6986794717887155,0.7168831168831169,,
,,275,,,0.36754507628294036,0.019719070772555376,,840.0,0.5994057266342517,0.2226190476190476,,
,,s,,,0.16981132075471697,0.01,,58.0,0.4485714285714285,0.293103448275862,,
,,s,,,s,0.016488845780795344,,39.0,0.6401551891367604,0.5641025641025641,,
,,8,,,s,0.03275109170305677,,74.0,0.3231441048034934,0.4459459459459459,,
,,153,,,0.11542100283822138,0.008952187182095625,,1038.0,0.8203458799593082,0.3824662813102119,,
163,186,s,84,0.015708451146716932,0.06416275430359937,0.007854225573358466,2005.0,584.0,0.628023876845743,0.8013698630136986,394,0.0804272698711907
,,210,,,0.2117465224111283,0.02642595499738357,,809.0,0.3560962846677132,0.273176761433869,,
,,714,,,0.2727759914255091,0.032715991350944815,,2454.0,0.2947259565667011,0.2269763651181744,,
,,99,,,0.07862068965517241,0.029238490072005238,,767.0,0.098843552258346,0.408083441981747,,
,,s,,,0.07396449704142012,0.01747756258856873,,355.0,0.1563533301842229,0.4873239436619718,,
,,91,,,0.06412639405204461,0.009459924320605434,,1085.0,0.7070863433092536,0.5078341013824885,,
,,s,,,0.2,s,,81.0,,0.4074074074074074,,
,,768,,,0.29339171974522293,0.020344852463747204,,2815.0,0.6008945963494697,0.2394316163410302,,
,,s,,,s,0.02335456475583864,,62.0,0.4585987261146497,0.4516129032258064,,
,,s,,,s,0.013565891472868217,,126.0,0.3197674418604651,0.5634920634920635,,
21,s,s,10,s,s,s,598.0,114.0,0.896969696969697,0.8947368421052632,s,0.022727272727272728
,,s,,,0.021153846153846155,0.00945273631840796,,529.0,0.5626865671641791,0.720226843100189,,
,,616,,,0.3480225988700565,0.016293493114685167,,2143.0,0.2296856932618522,0.214652356509566,,
,,s,,,s,s,,25.0,0.822992700729927,0.52,,
,,s,,,0.2826086956521739,0.04369538077403246,,61.0,0.2272159800249688,0.1475409836065573,,
,,259,,,0.136,0.02956636005256242,,1275.0,0.4078515111695138,0.3003921568627451,,
,,s,,,0.0392156862745098,0.013640238704177323,,262.0,0.4919011082693947,0.6526717557251909,,
28,9,s,s,0.5276752767527675,s,s,45.0,30.0,0.1623616236162361,0.8666666666666667,s,0.15867158671586715
,,s,,,0.04452054794520548,0.01152073732718894,,323.0,0.5307219662058372,0.6470588235294118,,
9,s,s,s,s,s,s,170.0,63.0,0.8564102564102564,0.8888888888888888,s,s
,,s,,,0.050505050505050504,0.011350737797956867,,195.0,0.5402951191827469,0.5076923076923077,,
,,339,,,0.14648729446935724,0.01967974575235301,,1503.0,0.1114778144481114,0.3033932135728543,,
98,41,s,66,s,s,0.02131782945736434,739.0,221.0,0.7131782945736435,0.8552036199095022,s,0.06686046511627906
,,529,,,0.4464425332290852,0.013232514177693762,,1419.0,0.1771782093143152,0.1705426356589147,,
,,s,,,s,0.025612472160356347,,56.0,0.3841870824053452,0.3035714285714285,,
,,227,,,0.08453350031308704,0.015760441292356184,,1637.0,0.5189125295508275,0.4453268173488088,,
,,186,,,0.12486064659977704,0.02220741727737064,,1003.0,0.4350433044636909,0.325024925224327,,
,,25,,,0.21212121212121213,0.016074450084602367,,106.0,0.3121827411167512,0.330188679245283,,
,,s,,,s,s,,18.0,0.7258064516129032,0.5555555555555556,,
,,271,,,0.11572942135289324,0.0396464318211361,,1518.0,0.3752762251397374,0.3511198945981554,,
,,s,,,0.03908045977011494,0.01901743264659271,,494.0,0.3777073428420496,0.597165991902834,,
,,s,,,0.0594059405940594,0.017241379310344827,,109.0,0.5555555555555556,0.5045871559633027,,
,,33,,,0.09779179810725552,0.007863695937090432,,307.0,0.7096985583224116,0.4918566775244299,,
,,285,,,0.09378349410503752,0.018021838227499205,,1920.0,0.4841513834411109,0.425,,
,,252,,,0.14417744916820702,0.017029328287606435,,1192.0,0.1240933459476505,0.3179530201342282,,
102,s,s,42,0.03769968051118211,0.18181818181818182,0.005750798722044728,356.0,246.0,0.2261980830670926,0.8008130081300813,425,0.13035143769968052
,,23,,,0.34210526315789475,0.008912655971479501,,79.0,0.284313725490196,0.2784810126582278,,
,,s,,,0.20202020202020202,s,,101.0,0.6434494195688225,0.3366336633663366,,
,,83,,,0.09747899159663866,0.029402564904598062,,618.0,0.1047857366280888,0.4045307443365696,,
,,s,,,s,0.011214953271028037,,110.0,0.1682242990654205,0.7272727272727273,,
