other_1,female_2,ell_korean_1,grade_11,math_l3_l4_1,ela_l3_l4_1,math_level_4_1,grade_10,math_level_3_2,math_test_takers,math_level_3_1,category,grade_12,ela_l3_l4_2,grade_9,black_2
6,0.3247298919567827,,292.0,7,7,s,479,s,374.0,s,Students with Disabilities,324.0,0.01818181818181818,571,0.27010804321728693
73,0.561858454889249,,889.0,265,342,94,1005,0.23717059639389737,721.0,171,All Students,818.0,0.40714285714285714,990,0.2371690977849811
7,0.4614285714285714,,66.0,9,19,s,310,s,53.0,s,Enrolled over the Counter,41.0,0.3275862068965517,283,0.08571428571428572
17,0.5227934044616876,,163.0,s,s,s,362,s,43.0,s,Enrolled over the Counter,174.0,s,332,0.2948593598448109
15,0.4781659388646288,,88.0,s,14,s,128,s,65.0,s,Reside in temporary housing,72.0,0.1891891891891892,170,0.37336244541484714
44,0.474059003051882,,957.0,122,177,27,1299,0.08987701040681173,1057.0,95,Poverty,1098.0,0.17052023121387283,1561,0.1422177009155646
25,0.4410933081998115,9.42507068803016E-4,631.0,41,s,15,1065,0.0406885758998435,639.0,26,English Language Learners,392.0,s,1095,0.11467169337103361
101,0.4829931972789115,,951.0,137,296,62,983,0.11591962905718702,647.0,75,All Students,873.0,0.3658838071693449,1015,0.48770277341705914
348,0.5126445426342013,,2422.0,509,908,159,2887,0.18756698821007503,1866.0,350,Poverty,2371.0,0.3700081499592502,2957,0.2464980727648773
21,0.3600583090379008,,376.0,11,38,s,593,s,457.0,s,Students with Disabilities,297.0,0.08189655172413793,792,0.38969873663751214
10,0.4745484400656814,,172.0,s,s,s,216,s,14.0,s,Enrolled over the Counter,129.0,s,92,0.33825944170771755
s,0.4433333333333333,s,108.0,s,s,s,154,s,93.0,s,English Language Learners,146.0,s,192,0.09
56,0.4739952718676123,,211.0,s,7,s,261,s,43.0,s,Enrolled over the Counter,141.0,0.16279069767441862,233,0.8108747044917257
95,0.42756804214223,,1053.0,81,142,13,1394,0.06373008434864105,1067.0,68,All Students,1508.0,0.1254416961130742,1740,0.5780509218612818
7,0.4182058047493404,,155.0,16,19,s,218,s,130.0,s,Reside in temporary housing,150.0,0.15079365079365079,235,0.32717678100263853
27,0.5393574297188755,,487.0,87,111,40,722,0.08687615526802218,541.0,47,Reside in temporary housing,441.0,0.19856887298747763,840,0.26666666666666666
11,0.2992063492063492,,198.0,s,s,s,312,s,282.0,s,Students with Disabilities,281.0,s,469,0.6246031746031746
12,0.5340501792114696,,104.0,s,10,s,182,s,68.0,s,Enrolled over the Counter,49.0,0.14492753623188406,223,0.8154121863799283
104,0.5563715760222311,,1189.0,206,379,87,1381,0.1358447488584475,876.0,119,Poverty,1159.0,0.3658301158301158,1309,0.2993251290194522
s,0.375886524822695,0,84.0,15,s,6,210,0.07894736842105263,114.0,9,English Language Learners,96.0,s,174,s
11,0.3446136491821771,,343.0,17,13,s,470,s,398.0,s,Students with Disabilities,339.0,0.031862745098039214,621,0.2949802594472645
335,0.5892285619688776,,2164.0,471,1032,187,2436,0.21337340345604808,1331.0,284,All Students,2084.0,0.5569347004856988,2377,0.23717029025493874
21,0.4229508196721311,0.001092896174863388,157.0,14,s,s,274,s,206.0,s,English Language Learners,135.0,s,349,0.04480874316939891
6,0.5128205128205128,,114.0,9,21,s,141,s,97.0,s,Reside in temporary housing,81.0,0.18584070796460178,171,0.3175542406311637
16,0.3612228479485116,,210.0,14,22,s,347,s,312.0,s,Students with Disabilities,189.0,0.06748466257668712,497,0.16411906677393404
s,0.4658385093167702,s,37.0,s,s,s,40,s,36.0,s,English Language Learners,25.0,s,59,0.5714285714285714
212,0.4884085213032581,,2023.0,439,634,96,2651,0.1922645739910314,1784.0,343,All Students,2032.0,0.31386138613861386,2870,0.0941938178780284
11,0.4711267605633802,s,359.0,s,s,s,442,s,232.0,s,English Language Learners,146.0,s,473,0.03873239436619718
261,0.4948270975056689,,3212.0,853,1216,299,3773,0.22798353909465022,2430.0,554,All Students,2989.0,0.39609120521172636,4138,0.20358560090702948
189,0.4247038917089678,,1568.0,158,337,61,1862,0.07427258805513016,1306.0,97,All Students,1687.0,0.2303485987696514,1975,0.33065425831923295
s,0.470873786407767,0,92.0,8,s,s,130,s,86.0,s,English Language Learners,63.0,s,127,0.18446601941747573
s,0.4293478260869565,,36.0,s,s,s,54,s,25.0,s,Reside in temporary housing,38.0,s,56,0.842391304347826
13,0.4969549330085261,,83.0,s,9,s,161,s,65.0,s,Enrolled over the Counter,339.0,0.12857142857142856,238,0.4579780755176614
s,0.3920792079207921,0,107.0,7,s,s,146,s,129.0,s,English Language Learners,45.0,s,207,s
139,0.4838544990427568,,1808.0,600,990,425,1998,0.12886597938144329,1358.0,175,Poverty,1976.0,0.5564924114671164,2053,0.43343969368219526
45,0.5137580098002261,,661.0,89,184,41,688,0.0967741935483871,496.0,48,Poverty,570.0,0.3156089193825043,734,0.4926498303807011
27,0.476038338658147,,170.0,6,8,s,319,s,65.0,s,Enrolled over the Counter,141.0,0.12307692307692308,309,0.7603833865814696
9,0.5536547433903577,,155.0,s,14,s,173,s,131.0,s,Reside in temporary housing,109.0,0.11023622047244094,206,0.749611197511664
20,0.3896882494004796,0,357.0,77,s,21,996,0.1414141414141414,396.0,56,English Language Learners,284.0,s,865,0.010391686650679457
6,0.3885869565217391,s,76.0,s,s,s,109,s,91.0,s,English Language Learners,53.0,s,130,0.16304347826086957
42,0.5132547864506627,,607.0,s,16,s,802,s,54.0,s,Enrolled over the Counter,618.0,0.26666666666666666,689,0.2919734904270987
s,0.3013698630136986,s,15.0,s,s,s,19,s,16.0,s,English Language Learners,17.0,s,22,0.3424657534246575
s,0.3453815261044177,,112.0,s,s,s,160,s,84.0,s,Students with Disabilities,107.0,s,119,0.2429718875502008
317,0.4643770240327254,,2690.0,903,1628,622,2986,0.15338427947598254,1832.0,281,All Students,3044.0,0.6295436968290796,3014,0.422021476052497
132,0.4868479221927498,,2085.0,396,714,123,2465,0.14614561027837258,1868.0,273,Poverty,1684.0,0.34081145584725536,2814,0.20545977011494254
92,0.4894038192827201,,1967.0,252,282,88,2278,0.0971563981042654,1688.0,164,All Students,1869.0,0.1655901350557839,2474,0.2942477876106195
