program_lst_id,program_code,program_name,program_address_1,latitude,prog_contact_last_name,prog_contact_phone_no,prog_contact_first_name,census_tract,longitude-office_sun_from_time
500,00A564PR,Neighborhood Family Empowerment Center (Bronx),2471 Morris Avenue ,40.862683,Riq uelme,7185622605,Dalma,401.0,-73.899716-nan
167,00A017PR,Astor Family Services - General Preventive - Bronx,750 Tilden Street,40.87684,Weber,7182313400,Ronna,380.0,-73.862601-nan
287,00A474PR,Family Treatment Rehabilitation Program - Brooklyn,613-619 Throop Avenue,40.680919,Dennnie,7186021211,Bridgette,273.0,-73.940518-nan
496,00A556PR,Intensive Preventive and AfterCare Services-SI,340 Prospect Avenue,,McAndrew,7182735305,Linda,,nan-nan
556,00A503PR,PS 55 Beacon Bronx Prevention Program,450 Saint Paul`s Place,,Frankel,7182941715,Jon,,nan-nan
637,00A672PR,Family Link-GP,2488 Grnad Concourse,,Seebaran,6465323540,Navin,,nan-nan
343,00A,Jamaica Family Center-FT/R - Queens,89-56 162nd Street,40.705395,Muzac,7182978000,Tatiana,44601.0,-73.798368-nan
606,00A653PR,Manhattan Family Treatment/Rehabilitation Pgm.,274 West 145th Street,40.822455,Sands,7188751167,Laurie,232.0,-73.941034-nan
218,00A311PR,Brownsville Family Support Center,1165 Rockaway Avenue,40.651442,Rosario,7183852043,Esther,1098.0,-73.906077-nan
310,00A449PR,Family Treatment/Rehabilitation,2632 Atlantic Avenue,40.675703,Jackson,7186874733,Brenda,1198.0,-73.897232-nan
623,00A631PR,General Preventive-Bronx,400 East Fordham Road,40.861668,Doran,7182204700,Bonnie,38302.0,-73.891337-nan
383,00A465PR1,First Step Program -FTR - Brooklyn,810 Classon Avenue,40.672776,Cherry,7182305100,Lana,215.0,-73.960846-nan
334,00A381PR,Beacon Ties - General Preventive - Manhattan,301 W 140th Street,40.819767,"Blumenthal,LMSW",2123681622,Jennifer A.,22102.0,-73.944433-nan
618,00A625PR,Family Life Medical Dev Prev. Svcs-Brownsville,444 Thomas S Boyland Street,,Cocks,718803200000.00%,Thomas,,nan-nan
200,00A130PR,Child & Family Counseling - G.P. - Queens,23-16 30th Avenue,40.76916,Sotirakis,7182749007,Jean,73.0,-73.926258-nan
41400.00%,00A416PR,General Preventive Program (Queens),163-18 Jamaica Avenue,40.704799,Villegas -Daniels ,7185236868,Elizabeth,44601.0,-73.796524-nan
631,00A667PR,Brooklyn FTR Program,180 Livingston Street,40.690052,Barnett,7182379700,Alathia,37.0,-73.986838-nan
305,00A429PR,Queens FTR Program,11-43 47th Avenue,40.744846,Sombai,7185513548,Roland,7.0,-73.949757-nan
313,00A374PR,East Harlem Family Treatment/Rehabilitation,205 East 122nd Street,40.801606,Luburic,2129871806,Nadia ,194.0,-73.936823-nan
499,00A551PR,Intensive Preventive Aftercare/Adolescents,191 Joralemon Street,40.692671,Kang,7184224232,Mi Seon,9.0,-73.991785-nan
180,00A207PR,Manhattan Preventive Services - GP ,69 West 118th Street,40.802819,Guerrero,2129874873,Alirio,190.0,-73.947496-nan
379,00A294PR,Gerard C. Durr Center of Southern Brooklyn,333 Avenue X,40.590503,Denize,7183757444,Barbara,388.0,-73.970659-nan
185,00A260PR,Asian Family Services - General Preventive - Man.,165 Eldridge Street,40.720074,Ah-Yune,2129410030,Judy,18.0,-73.990996-nan
619,00A648PR,Corona Family Development Center,103-24 Roosevelt Avenue,40.749564,Cocks,7184267020,Thomas,405.0,-73.862474-nan
278,00A285PR,Trude Weishaupt Clinic -GP Queens,140-15B Sanford Avenue,40.757276,Marte,7185392500,Nelly,853.0,-73.826647-nan
163,00A385PR,Family Support Center Inc. - G.P. - Brooklyn ,150 Court Street,40.688806,Alhusseini,7186438000,Lena,45.0,-73.992806-nan
192,00A656PR,United Families - General Preventive - Bklyn,151 Lawrence Street,40.691506,Carroll,2124373500,Gwendolyn,11.0,-73.986297-nan
