bronx,rental_assist_bronx,rental_assist_enhanced,cbo_referrals,tanf_cases,manhattan,receiving_both_ssi_ssd,african_american,rental_assist_above_enhanced_queens,reopened_cases,private_market_rental_1
14079,169,181,63,1545,6591,2086,18624,2006,229,574
13850,161,121,47,1441,6793,2093,18833,2037,109,421
13289,156,88,98,1423,6022,1958,17232,2211,221,315
13990,179,189,41,1544,6567,2088,18561,1959,237,626
13979,179,186,47,1581,6570,2097,18523,1945,255,628
13622,171,84,99,1410,6042,1977,17434,2254,246,289
13626,162,118,64,1535,6800,2091,18713,2095,160,409
14062,170,172,77,1597,6593,2085,18658,2016,274,560
14086,182,177,77,1551,6754,2100,18730,1965,261,606
14107,173,164,82,1577,6556,2076,18746,1987,252,533
14254,160,74,105,1286,5959,1927,17745,2574,231,243
13167,158,94,98,1439,6115,1971,17588,2171,223,412
14519,140,86,69,1148,6131,1875,18269,2715,210,254
14251,154,83,85,1291,5968,1905,17708,2480,197,251
13916,164,126,58,1524,6807,2106,18883,2057,166,429
