code1,requirement5_1,requirement5_7,appperseat1specialized,prgdesc4,grade9geapplicantsperseat5,city,council_district,requirement4_2,offer_rate4,eligibility5,admissionspriority51,interest8,requirement3_4,requirement1_4,auditioninformation4,requirement3_8,location,admissionspriority17,grade9gefilledflag5,eligibility3,grade9swdfilledflag3,grade9swdapplicantsperseat6,eligibility4,community_board,code4,pct_stu_enough_variety,girls,requirement1_5,interest6,grade9gefilledflag8,requirement4_1,appperseat2specialized,seats9swd8,attendance_rate,grade9swdfilledflag10,admissionspriority32,grade9swdapplicants2,graduation_rate,seats9swd3,grade9gefilledflag2,requirement2_3,requirement2_4,grade9swdapplicantsperseat5,admissionspriority13,admissionspriority27,grade9swdapplicants4,grade9geapplicantsperseat8,admissionspriority25,prgdesc10,method2,seats2specialized,seats102,boys,program5,grade9geapplicantsperseat7,grade9swdapplicants5,program4,grade9swdapplicantsperseat4
K90H,,,,,,Brooklyn,47,,,,,,,,,,"8310 21st Avenue, Brooklyn NY 11214(40.60498, -73.995084)",,,Open only to continuing eighth graders,Y,,,11,,0.63,,,,,,,,0.87,,Then to New York City residents,140,0.85,N/A - continuing program,Y,,,,,,,,,,Ed. Opt.,,No,,,,,,
X94A,,,,,,Bronx,17,,,,,,,,,,"965 Longwood Avenue, Bronx NY 10459(40.817741, -73.897876)",,,,,,,2,,0.72,,,,,,,,0.8,,,,0.5,,,,,,,,,,,,,,,,,,,,
K69B,,,,"Prepares students for careers in electrical and mechanical systems related to transportation and industrial and commercial wiring systems. Students are trained in a state-of-the-art lab, utilizing tools and equipment that are aligned with the MTA's training facility. Students are eligible for direct employment with MTA agencies including NYC Transit. Certificates/Industry Exams: OSHA 10hr and SkillsUSA Construction Wiring.",1,Brooklyn,37,"Standardized Test Scores: English Language Arts (1.9-4.5), Math (1.8-4.5)",,,,,"Course Grades: English (60-100), Math (61-100), Science (55-100), Social Studies (55-100)",Attendance,,,"1 Wells Street, Brooklyn NY 11208(40.67878, -73.875328)",Open to New York City residents,N,,N,4,,5,K69M,0.78,,Attendance,Computer Science & Technology,,,,,0.84,,,46,0.73,9,N,Punctuality,Punctuality,3,Open to New York City residents,,54,,,,Screened,,Yes-5,,Computer Networking,1,30,Transit Technician Technology,3
A13A,,,,,,Manhattan,6,,,,,,,,,,"145 West 84th Street, Manhattan NY 10024(40.786134, -73.974483)",,,,,,,7,,0.69,,,,,,,,0.84,,,,0.83,,,,,,,,,,,,,,,,,,,,
M42J,,,,"A four-year rigorous curriculum prepares students for college and career. Students take daily drama and movement classes on acting techniques and tuning their physical instruments in preparation for full productions in 11th and 12th grades. Students study theater history, voice and speech, improvisation, and digital filmmaking. Students complete internships with cultural organizations, compete yearly in the National Shakespeare Competition, and graduate with both a CTE and arts endorsement.",6,Manhattan,5,Audition,,,,,"Standardized Test Scores: English Language Arts (2.3-4.5), Math (1.7-4.5)",Attendance,Come prepared to present two memorized one-minute monologues from published playwrights. Characters chosen should be age-appropriate.,,"317 East 67th Street, Manhattan NY 10065(40.765638, -73.959777)",,Y,,Y,,,8,M42N,0.69,,Attendance,,,Audition,,,0.93,,,46,0.97,5,Y,Course Grades: Average (76-100),Course Grades: Average (74-100),4,Open to New York City residents,,33,,,,Audition,,Yes-3,,Instrumental Music,,20,Drama,4
A24A,,,,,,Manhattan,10,,,,,,,,,,"650 Academy Street, Manhattan NY 10034(40.865556, -73.925464)",,,,,,,12,,0.89,,,,,,,,0.68,,,,,,,,,,,,,,,,,,,,,,,,
Q44A,,,,,,Hollis,23,,-98% of offers went to this group,,,,,Test: coding session (on-site),,,"188-04 91st Avenue, Hollis NY 11423(40.711857, -73.771196)",,,,,,,12,,0.71,,Test: coding session (on-site),,,,,,0.86,,,,0.86,,,,,,,,,,,,,,,,,,,,
Q46A,,,,,,Jamaica,24,,-100% of offers went to this group,,,,,,,,"167-01 Gothic Drive, Jamaica NY 11432(40.714551, -73.798658)",,,,,,,8,,0.92,,,,,,,,0.85,,,,0.84,,,,,,,,,,,,,,,,,,,,
K70C,,,,"Science, Technology, Engineering, Arts, and Math (STEAM) provides a CTE focus on a range of courses including: culinary, information technology, graphics, engineering, and architecture. The program includes innovative technical training leading to certification and opportunities to earn college credit. Students are expected to participate in our ninth grade summer program as well as Saturday classes for program acceleration",4,Brooklyn,33,,,,,,Course Grades: Average (66-100),Attendance,,,"105 Tech Place, Brooklyn NY 11201(40.695444, -73.986105)",,N,,Y,,,2,K70H,0.76,,Attendance,,,"Standardized Test Scores: English Language Arts (1.9-4.5), Math (1.8-4.5)",,,0.88,,,75,0.74,10,N,Punctuality,Punctuality,7,Open to New York City residents,,57,,,,Ed. Opt.,,No,,Computer Information Systems and Repair,,70,Brooklyn STEAM Center,11
M79A,,,,,,Manhattan,1,,,,,,,,,,"100 Trinity Place, Manhattan NY 10006(40.70927, -74.012328)",,,,,,,1,,0.71,,,,,,,,0.88,,,,0.9,,,,,,,,,,,,,,,,,,,,
