address_1,latitude,longitude,wholesale_club_supercenter_1,_3rd_largest_property_use_1,third_party_certification_2,nyc_borough_block_and_lot,hospital_general_medical_5,medical_office_weekly,last_modified_date_electric,alert_energy_meter_has,council_district,energy_star_score,electricity_use_generated_2,source_eui_kbtu_ft,estimated_data_flag_fuel_2,multifamily_housing_number_1,multifamily_housing_number_7,multifamily_housing_total_1,property_gfa_calculated_1,fuel_oil_4_use_kbtu,hospital_general_medical_8,fuel_oil_5_6_use_kbtu,estimated_values_energy,postcode,avoided_emissions_offsite,release_date,_3rd_largest_property_use,leed_us_project_id,municipally_supplied_potable_2,data_center_pdu_input_meter,electricity_use_grid_purchase_1,construction_status,enclosed_mall_gross_floor,hospital_general_medical_11,primary_property_type,data_quality_checker_date,property_gfa_calculated,annual_maximum_demand_mm,parking_completely_enclosed,medical_office_number_of_2,convention_center_gross_floor,metered_areas_energy,supermarket_grocery_gross,municipally_supplied_potable_3,multifamily_housing_total,other_gross_floor_area_ft,national_median_source_eui
1717 Fulton Avenue,40.841596,-73.897767,Not Available,Not Available,Not Available,2029300075,Not Available,Not Available,04/10/2020 05:34 PM EDT,Ok,15.0,15,Not Available,164,Not Available,Not Available,Not Available,Not Available,40375.0,Not Available,Not Available,Not Available,No,10457,0,2020-08-28T16:28:36.000,Not Available,Not Available,Not Available,Not Available,450399.9,Existing,Not Available,Not Available,K-12 School,Not Available,40375.0,07/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,111.6
468 East 140th Street,40.809534,-73.919903,Not Available,Not Available,Not Available,2022840034,Not Available,Not Available,04/10/2020 05:35 PM EDT,Ok,8.0,81,Not Available,83.1,Not Available,Not Available,Not Available,Not Available,108000.0,Not Available,Not Available,Not Available,No,10454,0,2020-08-28T16:28:36.000,Not Available,Not Available,0,Not Available,477600,Existing,Not Available,Not Available,K-12 School,Not Available,108000.0,07/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,120.8
2060 Lafayette Avenue,40.822665,-73.853366,Not Available,Not Available,Not Available,2036090016,Not Available,Not Available,04/10/2020 05:36 PM EDT,Ok,18.0,48,Not Available,114.9,No,Not Available,Not Available,Not Available,88375.0,5621000,Not Available,Not Available,No,10473,0,2020-08-28T16:28:36.000,Not Available,Not Available,24607.6,Not Available,457919.9,Existing,Not Available,Not Available,K-12 School,Not Available,88375.0,07/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,113.1
730 Bryant Avenue,40.815455,-73.88577,Not Available,Not Available,Not Available,2027630279,Not Available,Not Available,04/10/2020 05:34 PM EDT,Ok,17.0,82,Not Available,118.5,Not Available,Not Available,Not Available,Not Available,166975.0,Not Available,Not Available,Not Available,No,10474,0,2020-08-28T16:28:36.000,Not Available,Not Available,Not Available,Not Available,1256799.9,Existing,Not Available,Not Available,K-12 School,Not Available,166975.0,06/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,174.3
111 WALL STREET,40.704553,-74.006636,Not Available,Not Available,Not Available,1000350010,Not Available,Not Available,04/27/2020 05:07 PM EDT,Ok,1.0,66,Not Available,147.2,Not Available,Not Available,Not Available,Not Available,885474.0,Not Available,Not Available,Not Available,No,10005,0,2020-07-08T15:37:18.000,Not Available,Not Available,4235.5,Not Available,10320537.5,Existing,Not Available,Not Available,Office,Not Available,885474.0,Not Available,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,185.1
226 Bristol Street,40.665878,-73.911705,Not Available,Not Available,Not Available,3035410001,Not Available,Not Available,04/14/2020 02:38 PM EDT,Ok,41.0,65,Not Available,112.1,Not Available,Not Available,Not Available,Not Available,106800.0,Not Available,Not Available,Not Available,No,11212,0,2020-08-28T16:28:36.000,Not Available,Not Available,17099.9,Not Available,527359.9,Existing,Not Available,Not Available,K-12 School,Not Available,106800.0,10/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,132.4
135-21 241st Street,40.671561,-73.734043,Not Available,Not Available,Not Available,4132220001,Not Available,Not Available,04/17/2020 12:53 PM EDT,Ok,31.0,32,Not Available,131.6,Not Available,Not Available,Not Available,Not Available,39960.0,Not Available,Not Available,Not Available,No,11422,0,2020-08-28T16:28:36.000,Not Available,Not Available,Not Available,Not Available,187440,Existing,Not Available,Not Available,K-12 School,Not Available,39960.0,12/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,109.8
9115 5th Avenue,40.618415,-74.028842,Not Available,Not Available,Not Available,3060880001,Not Available,Not Available,08/18/2020 04:17 PM EDT,Ok,43.0,76,Not Available,90,No,Not Available,Not Available,Not Available,116400.0,5080653.7,Not Available,Not Available,No,11209,0,2020-08-28T16:28:36.000,Not Available,Not Available,1656.4,Not Available,547599.9,Existing,Not Available,Not Available,K-12 School,Not Available,116400.0,09/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,122.3
763 Knickerbocker Avenue,40.693293,-73.90864,Not Available,Not Available,Not Available,3034060001,Not Available,Not Available,04/14/2020 02:37 PM EDT,Ok,37.0,28,Not Available,117.6,Not Available,Not Available,Not Available,Not Available,67200.0,Not Available,Not Available,Not Available,No,11207,0,2020-08-28T16:28:36.000,Not Available,Not Available,Not Available,Not Available,313920,Existing,Not Available,Not Available,K-12 School,Not Available,67200.0,10/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,94.3
2951 West 3rd Street,40.57732,-73.971313,Not Available,Not Available,Not Available,3072810001,Not Available,Not Available,04/17/2020 10:27 AM EDT,Ok,48.0,70,Not Available,101.8,No,Not Available,Not Available,Not Available,93600.0,5738676.1,Not Available,Not Available,No,11224,0,2020-08-28T16:28:36.000,Not Available,Not Available,8248.2,Not Available,354240,Existing,Not Available,Not Available,K-12 School,Not Available,93600.0,06/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,126.4
