q1_1,q10_r2_c2,q23_c3_r4,q13_1,q15_c11_r4,q10_r3_c1,q21_c2_r4,q17_c5_r1,q9_19,q23_c5_r4,q18_c2_r1,q20_c3_r4,q18_c3_r3,q3_3,q6_1,q14_c1_r2,q20_c10_r3,q20_c1_r3,q21_c11_r2,q21_c8_r2,q15_c9_r4,q17_c12_r1,q17_c3_r1,q15_c8_r2,q17_c6_r4,q18_c5_r4,q17_c11_r4,q18_c8_r1,q17_c7_r1,q9_17,q21_c13_r4,q18_c7_r3,q21_c9_r2,q15_c2_r2,q15_c6_r2,q18_c7_r1,q17_c7_r4,q18_c3_r1,q17_c6_r1,q18_c1_r3,q17_c5_r4,q15_c4_r4,q21_c7_r2,q20_c10_r4,q20_c10_r1,q17_c1_r1,q18_c10_r3,q9_16,q23_c1_r4,q12_c1_r4,q15_c10_r3,q8_r4_c2,q15_c4_r2,q18_c4_r3,q21_c4_r3,q20_c10_r2,q18_c7_r4,q11_r1_c2,q21_c10_r3,q22_1,q21_c6_r4,q15_c11_r3,q15_c12_r2,q9_9,q18_c10_r2,q11_r3_c3,q21_c10_r4,q17_c10_r3,q20_c8_r3,q18_c2_r2,q17_c10_r2,q10_r4_c2,q20_c5_r3,q15_c5_r4,q23_c1_r3,q15_c3_r3,q16_2,q21_c7_r4,q20_c2_r2,q12_c1_r2,q12_c1_r1,q18_c9_r1,q20_c5_r4,q14_c1_r1,q8_r2_c1,q17_c12_r3
Norma,0,,0,,0,,,0,,,,,1,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,2.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,,
James,0,,0,,0,,,1,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Michael,0,,0,,0,,,1,,,,,0,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,1.0,
Amy,0,,0,,0,0 hrs,,1,,0 hrs,,0 hrs,0,0,,,,,,,,,,,0 hrs,,,,1,,,,0 hrs,,,,0 hrs,,0 hrs,,0 hrs,,,,,,0,,0 hrs,,0.0,0 hrs,0 hrs,0 hrs,,,1,,0,,,,0,,1,,,,0 hrs,,0,,0 hrs,,0 hrs,1,,,0 hrs,0 hrs,,,,1.0,
Sean,0,,0,,0,,,0,,,,,0,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Aimei,0,,0,,0,,,0,,0 hrs,,,0,0,,,,,,,,,,,,,,,0,,,,0 hrs,,,,,,0 hrs,,,,,,,,0,,0 hrs,,0.0,,,,,,1,,0,,,,0,,0,,,,0 hrs,,0,,,,0 hrs,1,,,0 hrs,0 hrs,,,,0.0,
Kathleen,0,,0,,0,,,1,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,1.0,
Kristen,0,,0,,0,0 hrs,,0,,0 hrs,,0 hrs,0,0,,,,,,,,,,,,,,,1,,,,0 hrs,,,,0 hrs,,0 hrs,,0 hrs,,,,,,0,,0 hrs,,0.0,0 hrs,0 hrs,0 hrs,,,0,,0,,,,0,,0,,,,0 hrs,,0,,,,0 hrs,1,,,0 hrs,0 hrs,,,,1.0,
Babette,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,3.0,
Miriam,0,,0,,0,,,1,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Alicia,0,,0,,0,,,1,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,,
Nadia,0,,0,,0,,,1,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,1.0,
AnneMarie,0,,0,,0,0 hrs,,1,,0 hrs,,0 hrs,0,0,,,,,,,,,,,,,,,1,,,,0 hrs,,,,0 hrs,,0 hrs,,,,,,,,0,,0 hrs,,1.0,,0 hrs,0 hrs,,,1,,0,,,,0,,0,,,,0 hrs,,0,,,,0 hrs,1,,,0 hrs,0 hrs,,,,1.0,
Leslyn,0,,0,,0,0 hrs,,0,,1-10 hrs,,0 hrs,0,0,,,,,,,,,,,0 hrs,,,,1,,,,0 hrs,,,,1-10 hrs,,0 hrs,,0 hrs,,,,,,0,,0 hrs,,25.0,0 hrs,0 hrs,0 hrs,,,1,,0,0 hrs,,,0,,0,,,,0 hrs,,0,,,,0 hrs,1,,,0 hrs,0 hrs,,,,0.0,
,0,,0,,0,,,1,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,1.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
