block,si_req_sediment,ecoli,deleted,si_result_biological_growth,sample_collected,census_tract,si_result_debris_insects,tank_num,council_district
4429,Y,A,No,N,Y,33202.0,N,1,15.0
850,Y,A,No,N,Y,56.0,N,1,2.0
789,Y,A,No,N,Y,113.0,N,1,3.0
1361,Y,A,No,N,Y,8603.0,N,1,4.0
1150,Y,A,No,N,Y,165.0,N,1,6.0
166,Y,A,No,N,Y,29.0,N,1,1.0
1052,Y,A,No,N,Y,121.0,N,3,3.0
552,Y,A,No,N,Y,65.0,N,1,1.0
1717,Y,A,No,N,Y,190.0,N,1,9.0
821,Y,A,No,N,Y,54.0,N,1,3.0
1307,Y,A,No,N,Y,100.0,N,1,4.0
1993,Y,A,No,N,Y,211.0,N,1,7.0
142,Y,A,No,N,Y,11.0,N,1,33.0
1143,Y,A,No,N,Y,157.0,N,1,6.0
2179,Y,A,No,N,Y,273.0,N,1,10.0
1170,Y,A,No,N,Y,167.0,N,1,6.0
1883,Y,A,No,N,Y,199.0,N,1,7.0
1496,Y,A,No,N,Y,15001.0,N,1,4.0
151,Y,A,No,N,Y,33.0,N,1,1.0
1086,Y,A,No,N,Y,153.0,N,2,39.0
1300,Y,A,No,N,Y,92.0,N,1,4.0
1401,Y,A,No,N,Y,120.0,N,1,4.0
835,Y,A,No,N,Y,76.0,N,7,4.0
2085,Y,A,No,N,Y,31.0,N,2,35.0
1395,Y,A,No,N,Y,11402.0,N,1,4.0
7050,Y,A,No,N,Y,342.0,N,1,47.0
1410,Y,A,No,N,Y,128.0,N,1,4.0
1480,Y,A,No,N,Y,116.0,N,1,5.0
1309,Y,A,No,N,Y,100.0,N,1,4.0
140,Y,A,No,N,Y,11.0,N,2,33.0
16,Y,A,No,N,Y,31703.0,N,2,1.0
859,Y,A,No,N,Y,74.0,N,1,2.0
1162,Y,A,No,N,Y,159.0,N,1,6.0
764,Y,A,No,N,Y,81.0,N,1,3.0
1122,Y,A,No,N,Y,153.0,N,1,6.0
94,Y,A,No,N,Y,1501.0,N,1,1.0
832,Y,A,No,N,Y,76.0,N,1,4.0
1513,Y,A,No,N,Y,14801.0,N,1,5.0
3102,Y,A,No,N,Y,695.0,N,1,29.0
1565,Y,A,No,N,Y,14401.0,N,1,5.0
1600,Y,A,No,N,Y,190.0,N,1,9.0
1446,Y,A,No,N,Y,126.0,N,1,5.0
1522,Y,A,No,N,Y,15801.0,N,1,5.0
1266,Y,A,No,N,Y,104.0,N,3,4.0
1250,Y,A,No,N,Y,175.0,N,1,6.0
894,Y,A,No,N,Y,80.0,N,1,4.0
511,Y,A,No,N,Y,43.0,N,1,1.0
940,Y,A,No,N,Y,78.0,N,1,2.0
572,Y,A,No,N,Y,63.0,N,1,3.0
1412,Y,A,No,N,Y,140.0,N,2,4.0
1199,Y,A,No,N,Y,169.0,N,1,6.0
867,Y,A,No,N,Y,82.0,N,1,4.0
3623,Y,A,No,N,Y,28.0,N,1,17.0
3730,Y,A,No,N,Y,44.0,N,1,18.0
1885,Y,A,No,N,Y,199.0,N,1,7.0
1163,Y,A,No,N,Y,159.0,N,1,6.0
1386,Y,A,No,N,Y,130.0,N,2,4.0
3938,Y,A,No,N,Y,212.0,N,1,18.0
710,Y,A,No,N,Y,117.0,N,1,3.0
1008,Y,A,No,N,Y,137.0,N,1,4.0
1409,Y,A,No,N,Y,128.0,N,1,4.0
775,Y,A,No,N,Y,91.0,N,1,3.0
1367,Y,A,No,N,Y,10601.0,N,1,5.0
80,Y,A,No,N,Y,13.0,N,9,1.0
775,Y,A,No,N,Y,91.0,N,1,3.0
1604,Y,A,No,N,Y,168.0,N,1,8.0
788,Y,A,No,N,Y,113.0,N,1,3.0
866,Y,A,No,N,Y,82.0,N,2,4.0
1024,Y,A,No,N,Y,131.0,N,2,4.0
4757,Y,A,No,N,Y,928.0,N,1,42.0
1890,Y,A,No,N,Y,191.0,N,1,6.0
746,Y,A,No,N,Y,93.0,N,1,3.0
720,Y,A,No,N,Y,93.0,N,1,3.0
1236,Y,A,No,N,Y,175.0,N,1,6.0
1186,Y,A,No,N,Y,163.0,N,1,6.0
1199,Y,A,No,N,Y,169.0,N,1,6.0
1740,Y,A,No,N,Y,25902.0,N,2,36.0
5,Y,A,No,N,Y,9.0,N,1,1.0
1170,Y,A,No,N,Y,167.0,N,2,6.0
850,Y,A,No,N,Y,56.0,N,1,2.0
880,Y,A,No,N,Y,68.0,N,1,2.0
2138,Y,A,No,N,Y,251.0,N,1,10.0
1284,Y,A,No,N,Y,94.0,N,1,4.0
1331,Y,A,No,N,Y,108.0,N,1,4.0
754,Y,A,No,N,Y,103.0,N,1,3.0
1282,Y,A,No,N,Y,94.0,N,1,4.0
1428,Y,A,No,N,Y,126.0,N,1,4.0
1283,Y,A,No,N,Y,94.0,N,1,4.0
1304,Y,A,No,N,Y,100.0,N,1,4.0
77,Y,A,No,N,Y,1502.0,N,1,1.0
1411,Y,A,No,N,Y,128.0,N,1,4.0
877,Y,A,No,N,Y,68.0,N,1,2.0
1251,Y,A,No,N,Y,179.0,N,1,6.0
1473,Y,A,No,N,Y,132.0,N,1,5.0
1055,Y,A,No,N,Y,121.0,N,1,3.0
2054,Y,A,No,N,Y,23501.0,N,2,9.0
33,Y,A,No,N,Y,7.0,N,1,1.0
1532,Y,A,No,N,Y,14602.0,N,1,5.0
