dbn,principal,parent_horizon_engagement,engagement_score,teacher_horizon_communication,teacher_engagement_score,parent_communication_score,student_horizon_safety_and,academic_expectations_score,student_horizon_academic
08X305,Ivan Cohen,0.59,6.0,0.35,5.6,7.1,0.43,6.7,0.25
06M457,Nicholas Politis,0.95,7.8,0.87,8.7,8.5,0.76,8.5,0.68
07X379,Anne Fennelly,0.4,6.5,0.33,6.3,7.2,0.39,7.2,0.34
17K539,Leonard Kassan,0.65,7.4,1.0,9.1,7.6,0.39,8.0,0.63
02M425,Lawrence Pendergast,0.46,6.6,0.79,7.6,6.9,0.54,7.3,0.52
28Q687,Jie Zhang,0.75,7.1,0.85,7.7,6.9,0.78,7.9,0.89
06M210,Evelyn Linares,1.0,8.1,0.69,7.9,8.4,0.97,8.2,0.92
21K098,Mrs. Marian Nagler,0.63,7.1,0.74,7.7,7.0,0.65,7.8,0.69
08X366,Cameron Berube,1.0,7.5,0.66,7.7,8.2,0.42,8.0,0.69
01M448,Robert Miller,0.65,6.1,0.22,5.8,7.0,0.35,6.8,0.41
31R445,Timothy M. Gannon,0.65,6.6,0.74,7.2,6.6,0.35,7.2,0.31
04M224,Liliana Sarro,0.9,7.4,0.64,6.9,7.8,0.73,8.0,1.0
09X263,Brady Smith,0.91,7.3,0.72,7.6,7.9,0.74,7.8,0.57
04M825,Lisa Nelson,0.8,7.7,0.89,8.2,8.0,0.8,8.4,1.0
03M243,Elaine Schwartz,1.0,8.6,0.97,9.0,8.2,1.0,8.9,1.0
03M044,Liza Ortiz,0.66,6.6,0.31,6.0,7.2,0.61,7.1,0.63
04M037,Alison Mckenzie,0.98,7.7,0.51,7.4,8.5,,8.2,
12X267,Leticia Pineiro,0.56,6.7,0.65,7.4,7.1,0.32,7.5,0.45
23K643,Thomas Mckenna,0.79,7.6,0.7,8.1,8.6,0.5,8.3,0.5
09X329,Rod Bowen,0.82,6.4,0.3,5.6,7.9,0.54,7.0,0.41
19K583,Altagracia Liciaga,0.62,6.1,0.43,5.7,7.9,0.54,7.1,0.36
07X223,Ramon Gonzalez,0.83,7.5,0.66,7.5,8.3,0.92,8.3,1.0
22K207,Mary Bosco,0.73,7.8,0.96,8.5,8.0,0.6,8.4,0.77
02M051,Nancy Sing Bock,0.94,8.5,0.88,8.9,8.1,,8.6,
24Q600,Denise Vittor,0.49,6.3,0.62,6.8,6.6,0.54,7.1,0.36
02M416,Dimitri Saliani,0.95,7.2,0.85,7.1,7.4,1.0,8.1,0.84
31R072,Peter Macellari,0.42,6.9,0.84,7.9,6.7,0.38,7.7,0.69
11X544,Francisco Sanchez,0.91,7.4,0.91,8.2,7.6,0.62,7.8,0.41
29Q492,Andrea G. Holt,0.62,6.1,0.26,5.5,6.6,0.35,6.6,0.47
10X660,Roberto Hernandez,0.59,6.4,0.79,7.3,6.8,0.27,7.1,0.15
31R003,Donna Gioello,0.54,7.6,0.88,8.0,7.9,,8.4,
05M161,Barbara D. Freeman,0.85,7.8,0.67,7.5,8.2,0.65,8.4,0.92
12X682,Nancy Mann,0.88,7.3,0.98,8.0,8.1,0.78,8.0,0.68
05M046,George Young,0.72,7.9,0.81,8.0,8.0,0.64,8.3,0.92
05M133,Pamela Craig,0.72,7.2,0.71,6.9,7.7,0.56,7.7,0.6
20K505,Geraldine Maione,0.49,6.6,0.74,7.1,6.4,0.66,7.1,0.41
03M299,Stephen Noonan,0.59,6.0,0.16,5.6,6.9,0.39,6.7,0.41
10X696,Alessandro Weiss,1.0,7.9,0.81,8.2,7.7,1.0,8.7,1.0
01M137,Melissa Rodriguez,0.89,7.6,0.6,7.2,8.0,,7.8,
32K384,Brunhilda Perez-Ortiz,0.65,7.4,0.55,6.9,7.7,0.93,7.9,1.0
02M580,David Raubvogel,0.65,6.5,0.53,6.3,7.1,0.82,7.3,0.63
16K534,William Cooper,0.66,6.5,0.41,5.8,6.9,0.45,7.0,0.53
14K632,Javier Guzman,0.52,6.1,0.62,6.1,7.9,0.43,6.8,0.2
21K411,Ari Hoogenboom,0.28,7.2,0.91,9.2,5.4,0.4,7.6,0.17
04M101,Alexander Castillo,0.63,6.8,0.6,7.0,7.5,0.34,7.4,0.53
28Q690,Diahann E. Malcolm,0.65,6.4,0.74,7.2,7.0,0.15,7.1,0.2
22K014,Anne Tully,0.66,7.2,0.82,8.2,7.5,0.42,7.8,0.58
84M707,Ron Tabano & Marc Donald,0.72,7.7,0.82,8.1,8.1,0.75,8.3,0.62
16K455,Spencer Holder,0.49,6.9,0.98,8.1,6.4,0.23,7.4,0.36
10X390,Robert Mercedes,0.87,7.1,0.6,7.0,8.1,,7.7,
02M630,Scott M. Feltzin,0.59,5.0,0.0,2.9,6.0,0.39,6.0,0.25
23K284,Shenean Lindsay,0.65,7.2,0.55,6.9,7.8,0.5,7.7,0.72
84K357,Jeff Li & Melissa Parry,0.66,5.5,0.0,3.6,7.4,0.38,6.8,0.53
06M278,Maureen Guido,0.81,7.3,0.57,7.3,7.8,0.57,7.8,0.82
08X332,Sharif Rucker,0.65,6.5,0.41,6.3,7.3,0.5,7.3,0.57
09X004,Vincent Resto,0.73,6.9,0.53,6.3,7.9,0.31,7.7,0.67
14K157,Maribel Torres,1.0,8.6,1.0,8.9,8.8,,9.1,
21K096,Denise Sandra Levinsky,0.49,6.4,0.53,6.4,6.5,0.42,7.1,0.43
01M015,Thomas Staebell,0.76,7.6,0.58,7.5,8.1,,8.0,
12X297,Charles Osewalt,0.78,7.1,0.79,7.3,8.3,,7.8,
12X129,Yvette Beasley,0.56,7.1,0.82,8.1,6.9,0.38,7.9,0.69
32K383,Barbara Sanders,0.52,6.6,0.47,6.9,6.5,0.3,7.3,0.48
27Q042,Riva Madden,0.61,7.1,0.78,7.8,7.0,0.02,7.7,0.57
19K452,Yolanda Martin,0.9,7.3,0.47,7.0,7.7,0.76,8.0,0.94
27Q323,Brian O'Connell,0.96,7.9,0.96,8.5,7.9,0.98,8.6,1.0
03M250,Jeanne Rotunda,0.76,8.0,0.93,9.1,7.7,1.0,8.6,1.0
02M130,Lily Woo,0.81,8.1,0.76,8.5,7.8,,8.5,
17K544,Sheila Hanley,0.78,6.9,0.72,7.2,7.3,0.43,7.4,0.52
23K332,Deborah Pierce,0.12,6.8,0.73,7.4,6.1,0.39,7.3,0.62
01M361,Maria Velez Clarke,0.81,8.1,0.78,8.5,8.0,,8.5,
27Q226,Sonia Nieves,0.59,6.5,0.62,7.1,6.9,0.0,7.3,0.32
17K189,Berthe G. Faustin,0.61,7.1,0.71,7.0,7.6,0.53,7.9,0.87
24Q087,Caryn Michaeli,1.0,7.9,0.64,7.3,8.6,1.0,8.4,1.0
30Q227,Renee David,0.63,6.5,0.43,5.8,7.1,0.69,7.4,0.69
