start_date,longitude,street_name,nta,building_owner_name,facility_type,lot
2022-08-08T00:00:00.000,-73.898309,Reservoir Avenue,Van Cortlandt Village,NYC School Construction Authority (NYCSCA),School,70.0
2024-06-26T00:00:00.000,-73.922463,Hancock Street,Stuyvesant Heights,NYC School Construction Authority (NYCSCA),School,1.0
2024-05-09T00:00:00.000,-73.964251,COLUMBUS AVENUE,Upper West Side,New York City Housing Authority (NYCHA),Residence,1.0
2022-03-22T00:00:00.000,-73.945959,Maujer Street,East Williamsburg,New York City Housing Authority (NYCHA),Residence,1.0
2022-01-24T00:00:00.000,-73.917869,Morris Ave,East Concourse-Concourse Village,New York Public Library,Other,1.0
2024-05-06T00:00:00.000,-73.997217,West 31 Street,Seagate-Coney Island,New York City Housing Authority (NYCHA),Residence,15.0
2019-10-15T00:00:00.000,-73.990378,West 23rd street,Seagate-Coney Island,New York City Housing Authority (NYCHA),Residence,15.0
2021-01-13T00:00:00.000,-73.98104,West 44th Street,Midtown-Midtown South,"APF 28 W 44 Owner LP, C/o APF Properties, LLC",Commercial,19.0
2025-12-08T00:00:00.000,-73.912351,Bristol Street,Brownsville,NYC School Construction Authority (NYCSCA),School,8.0
2022-04-28T00:00:00.000,-73.992901,West 27th Street,Seagate-Coney Island,New York City Housing Authority (NYCHA),Residence,14.0
2025-11-28T00:00:00.000,-73.949835,East 79th Street,Yorkville,77th St. and East End Ave Corp. c/o D.E. Prop Mgmt,Residence,14.0
2024-07-29T00:00:00.000,-73.974801,Central Park West,Upper West Side,"Scott Landesman, Trustee of 145 CPW UWS Trust",Residence,29.0
2021-07-14T00:00:00.000,-73.942299,Queens Plaza North,Queensbridge-Ravenswood-Long Island City,Queensboro Tower LLC,Commercial,1.0
2025-01-27T00:00:00.000,-73.896771,East 105th Street,Canarsie,New York City Housing Authority (NYCHA),Residence,1.0
2024-10-07T00:00:00.000,-74.020291,Short Avenue,park-cemetery-etc-Manhattan,NYC School Construction Authority (NYCSCA),School,10.0
2017-12-19T00:00:00.000,-73.981954,5th Avenue,Murray Hill-Kips Bay,New York Public Library,Commercial,74.0
2025-08-05T00:00:00.000,-73.977318,North Elliot Walk,Fort Greene,New York City Housing Authority (NYCHA),Residence,1.0
2019-09-03T00:00:00.000,-73.975923,West 55 Street,Midtown-Midtown South,17 and 24 Corporation,Residence,20.0
2025-09-10T00:00:00.000,-73.863105,Eldert Lane,East New York,Linden Plaza Preservation L.P.,Residence,1.0
2026-03-16T00:00:00.000,-73.973231,Park Ave,Midtown-Midtown South,350 Park EAT LLC,Commercial,33.0
2021-10-20T00:00:00.000,-73.999453,West 33 Street,Seagate-Coney Island,New York City Housing Authority (NYCHA),Residence,14.0
2021-04-22T00:00:00.000,-73.976421,5th Avenue,Midtown-Midtown South,Brookfield Properties,Commercial,7502.0
2021-05-25T00:00:00.000,-73.891762,Flatlands Avenue,Canarsie,New York City Housing Authority (NYCHA),Other,205.0
2019-06-03T00:00:00.000,-73.973256,East 42nd Street,Turtle Bay-East Midtown,SL Green Realty Corp.,Commercial,7501.0
2025-09-05T00:00:00.000,-73.864774,Junction Blvd,Corona,LeFrak Property Management,Commercial,1.0
2025-04-10T00:00:00.000,-73.909708,Glenmore Avenue,Brownsville,New York City Housing Authority (NYCHA),Residence,1.0
2023-06-08T00:00:00.000,-73.800784,Willets Point Blvd,Ft. Totten-Bay Terrace-Clearview,Clearview Gardens Corporation,Residence,10.0
2025-09-10T00:00:00.000,-73.863105,Eldert Lane,East New York,Linden Plaza Preservation L.P.,Residence,1.0
2022-05-10T00:00:00.000,-73.959501,West 121st Street,Morningside Heights,Teachers College at Columbia University,School,1.0
2025-11-20T00:00:00.000,-73.957261,Broadway,Manhattanville,NYCHA Real Estate Development   Design & Construct,Residence,1.0
2020-12-05T00:00:00.000,-73.974012,E. 5th St,Kensington-Ocean Parkway,Leon Goldenberg,,1.0
2025-05-28T00:00:00.000,-73.96306,Willoughby Avenue,Clinton Hill,Pratt Institute,School,120.0
2025-03-10T00:00:00.000,-73.85024,Adee Avenue,Allerton-Pelham Gardens,New York City Housing Authority (NYCHA),Residence,1.0
2024-05-28T00:00:00.000,-74.011041,Broadway,Battery Park City-Lower Manhattan,"Silverstein Properties, Inc.",Commercial,7501.0
2023-09-26T00:00:00.000,-73.858501,Queens Blvd,Rego Park,Christopher Bassignani,Commercial,1.0
2023-07-25T00:00:00.000,-74.009869,Broadway,Battery Park City-Lower Manhattan,Hanley Braginsky,Residence,17.0
2025-07-30T00:00:00.000,-73.799061,162nd Street,Jamaica,New York City Housing Authority (NYCHA),Residence,36.0
2025-10-09T00:00:00.000,-73.907612,Mother Gaston Blvd.,Brownsville,New York City Housing Authority (NYCHA),Residence,1.0
2024-12-26T00:00:00.000,-73.940002,Bushwick Avenue,Bushwick South,NYC School Construction Authority (NYCSCA),School,1.0
2019-04-16T00:00:00.000,-73.983372,West End Avenue,Upper West Side,305 West End Property LLC,Residence,77.0
2019-04-21T00:00:00.000,-73.848649,Fleet Street,Forest Hills,Hao-Dong Ma,Residence,11.0
2023-03-04T00:00:00.000,-73.853524,Purdy Street,Parkchester,NYC School Construction Authority (NYCSCA),School,55.0
2025-07-31T00:00:00.000,-73.909493,East New York Avenue,Brownsville,New York City Housing Authority (NYCHA),Residence,1.0
2020-06-17T00:00:00.000,-73.916823,Courtlandt Avenue,Melrose South-Mott Haven North,New York City Housing Authority (NYCHA),Residence,1.0
2022-08-29T00:00:00.000,-73.943695,Av. Of Puerto Rico,East Williamsburg,New York City Housing Authority (NYCHA),Residence,46.0
2020-07-13T00:00:00.000,-73.954286,Church Ave,Erasmus,Holy Cross RC Church,Residence,56.0
2025-04-01T00:00:00.000,-73.980189,West 55th Street,Midtown-Midtown South,871 Seventh LLC and 871 Seventh Sponsor LLC,Commercial,1.0
2022-03-28T00:00:00.000,-73.980985,Hudson Avenue,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,"Consolidated Edison   Company of NY, Inc.",Other,1.0
