bin,community_board,floor,cross_street_and,entire_floor,bbl
2015241.0,7.0,Sub-Bas,,No,2032470070.0
3039906.0,3.0,1st-4th Fl,,No,3014900001.0
1081301.0,7.0,15th,,No,1018360001.0
3327882.0,1.0,1ST FLR,,No,3030240001.0
2001950.0,4.0,1st Floor,,No,2024220001.0
3321770.0,13.0,Cellar,,No,3070490015.0
3188894.0,13.0,11th,,No,3070150015.0
1034206.0,5.0,10th Floor,,No,1012590019.0
3081032.0,16.0,2nd Floor,,No,3035200008.0
3385303.0,13.0,12th,,No,3070530014.0
1050766.0,8.0,30,,No,1015760014.0
1028714.0,7.0,12th Floor,,No,1011270029.0
4004978.0,1.0,2st Floor,,No,4004120001.0
3321414.0,18.0,1,,No,3081740001.0
1086339.0,1.0,1st Flr,,No,1000010010.0
1017602.0,5.0,4th,,Yes,1008690074.0
3335247.0,2.0,5,,No,3020400001.0
1080441.0,5.0,2,,No,1012700020.0
3343253.0,5.0,1,,No,3042719001.0
1035473.0,5.0,23rd,,No,1012870033.0
3321764.0,13.0,Cellar,,No,3070470014.0
1034520.0,5.0,05,,No,1012687502.0
3321346.0,18.0,2,,No,3081580205.0
1037546.0,6.0,Sub-bsmt,,No,1013157501.0
4047310.0,4.0,12,,No,4019180001.0
3339436.0,16.0,2,,No,3034890001.0
4459431.0,7.0,Cellar,,No,4047580010.0
3343253.0,5.0,16,,No,3042719001.0
1083643.0,9.0,5th,,No,1019750001.0
1084124.0,9.0,15th,,No,1019840001.0
3127184.0,12.0,basement,,No,3053990001.0
3054897.0,2.0,9,,No,3019050120.0
2093493.0,11.0,2nd,,No,2045810001.0
1001026.0,1.0,23,,No,1000477501.0
4050482.0,6.0,13,,Yes,4020920001.0
1001100.0,1.0,1st,,Yes,1000650017.0
4208882.0,12.0,2ND,,No,4097610036.0
3424544.0,16.0,4,,No,3034890001.0
3071024.0,1.0,Basement,,No,3030460001.0
1031008.0,7.0,8th Floor,,No,1011840077.0
4077359.0,6.0,roof,,No,4032290011.0
2041247.0,9.0,1st Floor,,No,2039480055.0
3339438.0,16.0,12,,No,3034890001.0
2091223.0,1.0,Basement,,No,2024160001.0
3327884.0,1.0,3rd,,No,3030250046.0
3117240.0,17.0,Cellar,,No,3051040056.0
1083724.0,5.0,1st,,Yes,1010080001.0
3819133.0,2.0,5.5,,No,
1035473.0,5.0,9th,,No,1012870033.0
2091116.0,1.0,11,,No,2023240001.0
1031310.0,7.0,Ground Fl,,No,1011980029.0
2091143.0,1.0,8th,,No,2023110001.0
3171301.0,12.0,basement,,Yes,3065310048.0
2058396.0,12.0,1st,,No,2046750020.0
3326977.0,6.0,3,,No,3005330001.0
5004549.0,1.0,1st/2nd,,No,5001600007.0
1030007.0,7.0,Basement,,No,1011450001.0
2091977.0,1.0,1st,,No,2026540002.0
3123134.0,12.0,Roof,,No,3052940024.0
1082576.0,7.0,3,,No,1011540101.0
3205865.0,14.0,2nd Floor,,No,3075570052.0
2092903.0,9.0,8th,,No,2038860002.0
3000839.0,2.0,3,,No,3001820012.0
3035761.0,8.0,Roof 5,,Yes,3013470001.0
5095816.0,1.0,3rd,,No,5001960001.0
1001971.0,1.0,13th,,No,1001770002.0
2092077.0,3.0,19th,,No,2028950001.0
3336056.0,6.0,18,,No,3003940001.0
1017860.0,5.0,20th Floor,,No,1008730067.0
3056874.0,2.0,2,,No,3019830010.0
1079341.0,11.0,9th,,No,1016730006.0
1000880.0,1.0,38,,No,1000390012.0
1088394.0,1.0,8,,No,1001670001.0
2096623.0,9.0,4,,No,2039377501.0
1087298.0,6.0,Basement,,No,1009620097.0
2091137.0,1.0,7,,No,2023110001.0
1047043.0,8.0,Basement,,No,1015030066.0
3336056.0,6.0,3,,No,3003940001.0
3327986.0,1.0,6TH,,No,3031050001.0
1032308.0,7.0,2nd,,No,1012190047.0
3327887.0,1.0,1st,,No,3030260001.0
1048103.0,8.0,Roof,,No,1015170148.0
2118428.0,1.0,15TH,,No,2023040001.0
2009867.0,3.0,Roof,,No,2029390093.0
3062494.0,1.0,Roof,,No,3023680029.0
4052715.0,6.0,6,,No,4022480228.0
1028637.0,7.0,7,,No,1011250025.0
2021923.0,9.0,1,,No,2035640001.0
2014900.0,5.0,4,,No,2032220620.0
3224947.0,18.0,Basement,,No,3080180001.0
3326976.0,6.0,Roof,,No,3005330001.0
4006121.0,1.0,Basement,,No,4005420040.0
4451839.0,12.0,6,,No,4101270001.0
1011689.0,2.0,8,,No,1006270043.0
2091185.0,3.0,18,,No,2023950001.0
1084127.0,9.0,8th,,No,1019840001.0
2093916.0,1.0,15th,,No,2022980040.0
3337274.0,13.0,4th Floor,,No,3072390001.0
