business_address,qualify_alcohol,sla_license_type,sidewalk_dimensions_length,sidewalk_dimensions_width,longitude,healthcompliance_terms,street,census_tract
"72-12 Northern Blvd, Queens, NY",yes,OP,60.0,12.0,-73.894439,yes,Northern Blvd,291.0
"3101 34th Ave, Queens, NY",no,,75.0,12.0,-73.927121,yes,34th Ave,59.0
"496  Crescent Ave, Brooklyn, NY",no,,20.0,3.0,,yes,Crescent Ave,
"136 ALEXANDER AVENUE, Bronx, NY",yes,OP,,,-73.927094,yes,136 ALEXANDER AVENUE,19.0
"30-05 Astoria Blvd., Queens, NY",yes,OP,27.0,18.0,-73.918831,yes,Astoria Blvd.,69.0
"1701 1  88 street , Manhattan, NY",yes,RW,40.0,40.0,,yes,88 street,
"3916 Prince Street , Queens, NY",no,,12.0,4.0,-73.832244,yes,Prince Street,871.0
"48 Macdougal St., Manhattan, NY",yes,RW,16.0,13.0,-74.002738,yes,Macdougal St.,49.0
"2460 BROADWAY, Manhattan, NY",no,,38.0,15.0,-73.974027,yes,BROADWAY,179.0
"34 WEST   32 STREET, Manhattan, NY",yes,OP,40.0,8.0,-73.987101,yes,34 WEST   32 STREET,76.0
"12710 LIBERTY AVENUE, Queens, NY",yes,RW,19.0,10.0,-73.817537,yes,LIBERTY AVENUE,15802.0
"605 Third Ave, Manhattan, NY",no,,9.0,15.0,-73.975682,yes,Third Ave,88.0
"319 E  53rd Street , Manhattan, NY",yes,OP,25.0,14.0,-73.966489,yes,53rd Street,98.0
"260  Halsey Street, Brooklyn, NY",no,,24.0,7.0,-73.943152,yes,Halsey Street,269.0
"8329  Broadway , Queens, NY",yes,RW,,,-73.879413,yes,Broadway,471.0
"121 Madison Avenue, Manhattan, NY",yes,RW,48.0,7.0,-73.984662,yes,Madison Avenue,74.0
"9535 40th Road, Queens, NY",yes,OP,158.0,8.0,-73.869846,yes,40th Road,465.0
"193 FROST STREET, Brooklyn, NY",yes,OP,96.0,4.0,-73.943536,yes,193 FROST STREET,497.0
