objectid,globalid,business_address,community_board,time_of_submission,sla_serial_number,sidewalk_dimensions_area,bulding_number,roadway_dimensions_width,food_service_establishment
10887,{7572F034-431E-4169-8B6F-1B85796B885F},"50 GREENWICH AVENUE, Manhattan, NY",2.0,2020-09-08T09:19:00.000,Jul-94,60.0,undefined,8.0,50081021
10849,{EBDDD9DA-3F80-402E-86AD-74A5FE98E28F},"119 WEST   23 STREET, Manhattan, NY",4.0,2020-09-04T14:44:00.000,,125.0,undefined,,50092653
1058,d191376e-fd83-4904-8ab6-3b41bd8d3ff8,"159 Central Ave, Brooklyn, NY",4.0,2020-06-19T14:51:00.000,1281342,45.0,159,,50019166
10344,{FD9E3D5E-46E8-4086-8E56-FC8AE6EC86BC},"2024 86th Street, Brooklyn, NY",11.0,2020-08-17T16:41:00.000,,1125.0,2024,,50085663
10103,{06D154A4-0B6B-4A5E-8AFA-F2AE0A0008B7},"83 Haven Ave., Manhattan, NY",12.0,2020-08-10T14:26:00.000,,260.0,83,,50072407
1025,50e6ec3b-fb79-4ffa-851f-d6503432b455,"215  East 4th street , Manhattan, NY",3.0,2020-06-19T14:42:00.000,,175.0,215,10.0,50102342
10861,{79B358B7-DBD0-4FD9-8F93-9045D9950D4A},"118 baxter street, manhattan, ny",2.0,2020-09-05T00:42:00.000,,,undefined,8.0,50044089
10095,{10BFE491-26B3-4081-8ABA-664E738C8BAD},"144  Second Avenue, Manhattan, NY",3.0,2020-08-10T11:27:00.000,Jan-17,672.0,144,8.0,40384528
10023,{80934DA8-1BF0-408A-855B-BF9E125D7D92},"3 Doyers , Manhattan, NY",3.0,2020-08-07T16:19:00.000,,,3,,50005809
1074,a27b01d3-3cd6-4b40-86ca-3694401a78b7,"244  3RD AVE, Manhattan, NY",6.0,2020-06-19T14:56:00.000,1297077,624.0,244,,50059249
10149,{46CD67BB-A2D8-4CF3-8410-70C0F4105BA5},"452  Washin gton Street, Manhattan, NY",1.0,2020-08-11T17:02:00.000,May-65,1800.0,452,,50072404
10112,{024D1717-2772-4B0F-817B-EE2808EB7C3D},"6319  39th Ave , Queens, NY",2.0,2020-08-10T16:37:00.000,,240.0,6319,,50100213
