queens_cooperatives_comparable_properties_boro_block_lot,queens_cooperatives_comparable_properties_address,comparable_rental_3_expense_per_sqft,comparable_rental_1_address,comparable_rental_2_market_value_per_sqft,comparable_rental_2_gross_sqft,comparable_rental_1_market_value_per_sqft,comparable_rental_1_gross_sqft,comparable_rental_1_year_built,comparable_rental_2_estimated_gross_income,latitude,comparable_rental_3_market_value_per_sqft,comparable_rental_3_full_market_value,longitude,comparable_rental_3_distance_from_coop_in_miles,comparable_rental_1_estimated_gross_income,comparable_rental_1_full_market_value,comparable_rental_3_address,comparable_rental_2_estimated_expense,comparable_rental_3_year_built,comparable_rental_1_total_units,census_tract,comparable_rental_2_full_market_value,comparable_rental_2_boro_block_lot,queens_cooperatives_comparable_properties_gross_sqft,comparable_rental_2_year_built,queens_cooperatives_comparable_properties_net_operating_income
4-02166-0016,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""108 62 DRIVE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}", ,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""105 62 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",64.52,97200.0,57.11,85908,1956,1673321.0,, , ,, ,1418689,4906000, ,804861.0, ,108,,6271000.0,4-02138-0043,99613,1942.0,866436
4-10535-0050,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""204 FOOTHILL AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",7.83,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""190 HILLSIDE AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",37.87,74361.0,43.84,100116,1960,1079295.0,,46.2,"3,363,000",,0.75,1314699,4389000,91 193 STREET,499563.0,1959,110,,2816000.0,4-10821-0070,185016,1949.0,1441274
4-03099-0042,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""65 WETHEROLE STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}", ,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""65 WETHEROLE STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",48.33,26400.0,58.22,59532,1953,396576.0,, , ,, ,976920,3466000, ,171430.0, ,72,,1276000.0,4-03087-0021,131436,1954.0,1155323
4-02214-0019,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""69 108 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",6.28,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""68 YELLOWSTONE BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",47.86,139052.0,58.17,133323,1941,1926710.0,,56.43,"7,898,000",,0.21,2071133,7755000,68 YELLOWSTONE BOULEVARD,885248.0,1941,118,,6655000.0,4-02210-0001,132750,1940.0,1117755
4-16231-0044,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""121 OCEAN"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",6.78,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""131 OCEAN"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",52.03,32000.0,31.91,35159,1957,516160.0,,46.95,"2,817,000",,4.82,375968,1122000,23 MOTT AVENUE,247680.0,1960,48,,1665000.0,4-15890-0030,69504,2004.0,551167
4-02154-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""66 YELLOWSTONE BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",7.15,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""98 QUEENS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",55.55,139236.0,41.18,204340,1952,2003898.0,,49.02,"7,685,000",,0.23,2691329,8414000,68 YELLOWSTONE BOULEVARD,886621.0,1941,206,,7735000.0,4-02134-0001,222030,1963.0,1569752
4-09884-0043,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""175 DEVONSHIRE ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}", ,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""170 CEDARCROFT ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",48.86,48400.0,45.65,52000,1930,655217.0,, , ,, ,665100,2374000, ,229256.0, ,66,,2365000.0,4-09844-0005,94800,1955.0,741336
4-02376-0101,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""52 65 PLACE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",7.43,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""50 39 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",53.04,263120.0,37.43,378186,1931,4073098.0,,47.19,"6,065,000",,0.91,5538796,14156000,72 41 AVENUE,2036549.0,1955,472,,13957000.0,4-01491-0021,357000,1959.0,1934940
4-06670-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""78 MAIN STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",6.48,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""139 JEWEL AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",45.35,77856.0,48.28,20920,1949,1136573.0,,44.39,"1,727,000",,0.32,334391,1010000,147 75 AVENUE,504385.0,1950,24,,3531000.0,4-06680-0001,110298,1950.0,915473
4-01945-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""99 57 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}", ,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""58 GRANGER STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",39.57,235000.0,46.09,86400,1962,3078636.0,, , ,, ,1204591,3982000, ,1680991.0, ,102,,9298000.0,4-01918-0095,156960,1966.0,1018670
4-00341-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""35 29 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4.03,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""35 29 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",60.79,61000.0,65.82,35568,1940,879120.0,,46.43,"1,006,000",,0.11,581826,2341000,35 28 STREET,343478.0,1971,48,,3708000.0,4-00342-0024,47000,1929.0,309730
4-09758-0021,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""160 89 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",6.73,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""88 164 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",37.56,138240.0,35.34,156240,1962,1727007.0,,24.09,"3,267,000",,0.19,2017498,5522000,89 164 STREET,820393.0,1928,162,,5192000.0,4-09814-0026,165200,1962.0,1083712
4-02144-0020,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""105 62 DRIVE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",6.68,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""62 108 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",50.46,111520.0,43.6,73470,1955,1713210.0,,45.46,"3,761,000",,0.1,996649,3203000,63 108 STREET,893327.0,1955,76,,5627000.0,4-02144-0015,54996,1956.0,362424
4-07732-0150,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""210 75 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",7.71,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""245 GRND CNTRL PARKWAY"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",33.92,195000.0,48.43,263883,1966,2870589.0,,69.59,"12,866,000",,1.98,3947690,12779000,182 WEXFORD TERRACE,1501311.0,1964,240,,6615000.0,4-12051-0020,243396,1981.0,1747583
4-05180-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""42 KISSENA BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",7.08,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""41 BOWNE STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",55.91,267554.0,55.49,166508,1961,4140926.0,,57.42,"15,533,000",,0.21,2604494,9240000,42 COLDEN STREET,1818457.0,1962,157,,14960000.0,4-05137-0093,219845,1962.0,1908255
4-04343-0125,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""139 31 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",6.08,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""144 35 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",70.75,79050.0,38.6,129650,1957,1306385.0,,60.24,"4,587,000",,0.47,1677253,5005000,144 35 AVENUE,533792.0,1969,120,,5593000.0,4-04994-0078,180262,1967.0,1788199
4-02269-0020,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""77 113 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",5.21,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""111 76 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",58.83,60025.0,93.27,57909,1937,976877.0,,60.93,"1,232,000",,0.21,1067820,5401000,75 GRND CNTRL PARKWAY SR,419664.0,1964,66,,3531000.0,4-02265-0079,93000,1951.0,653790
4-01509-0052,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""42 LAYTON STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}", ,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""41 JUDGE STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",44.03,19101.0,31.22,74000,1941,242449.0,, , ,, ,819989,2310000, ,116788.0, ,66,,841000.0,4-01518-0047,43122,1992.0,253127
4-04767-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""16 163 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}", ,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""13 147 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",56.34,58380.0,59.13,24927,1950,929352.0,, , ,, ,474128,1474000, ,317783.0, ,36,,3289000.0,4-04157-0002,26272,1971.0,249978
4-07738-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""73 BELL BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",6.63,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""43 DOUGLASTON PARKWAY"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",70.99,1228778.0,60.77,114402,1963,21316772.0,,78.94,"11,660,000",,3.21,1961788,6952000,16 BELL BOULEVARD,8908776.0,1973,148,,87230000.0,4-07117-0003,162264,1947.0,1460376
4-01430-0043,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""33 82 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4.76,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""33 85 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",57.9,57888.0,33.28,50900,1954,860870.0,,30.36,"1,815,000",,0.17,605146,1694000,84 34 AVENUE,374654.0,1951,49,,3352000.0,4-01268-0001,71562,1951.0,473025
4-09186-0049,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""86 102 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",6.95,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""109 PARK LANE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",44.68,31023.0,37.54,76188,1929,434979.0,,38.09,"2,025,000",,0.49,963417,2860000,87 113 STREET,152450.0,1933,77,,1386000.0,4-09306-0030,69000,1931.0,449880
4-04602-0119,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""168 12 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",7.02,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""16 BELL BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",56.34,58380.0,78.2,147700,1973,929352.0,,60.06,"8,800,000",,1.38,2655707,11550000,23 WATERS EDGE DRIVE,317783.0,1969,152,,3289000.0,4-04157-0002,40692,1971.0,388608
4-02212-0014,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""69 108 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",7.15,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""68 YELLOWSTONE BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",58.17,133323.0,47.86,139052,1940,2071133.0,,49.02,"7,685,000",,0.2,1926710,6655000,68 YELLOWSTONE BOULEVARD,844775.0,1941,108,,7755000.0,4-02210-0018,185650,1941.0,1312545
