queens_cooperatives_comparable_properties_address,queens_cooperatives_comparable_properties_gross_income_per_sqft,queens_cooperatives_comparable_properties_market_value_per_sqft,comparable_rental_1_neighborhood,comparable_rental_1_gross_income_per_sqft,comparable_rental_2_distance_from_coop_in_miles,comparable_rental_1_distance_from_coop_in_miles,nta,comparable_rental_3_building_classification,comparable_rental_3_boro_block_lot,bin,community_board,queens_cooperatives_comparable_properties_year_built,comparable_rental_1_boro_block_lot,comparable_rental_3_estimated_expense,comparable_rental_3_gross_sqft,comparable_rental_3_gross_income_per_sqft,community_council,queens_cooperatives_comparable_properties_total_units,comparable_rental_2_building_classification,comparable_rental_3_neighborhood
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""144 SANFORD AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.5,43.59,FLUSHING-NORTH,14.39,0.21,0.13,,D7-ELEVATOR,4-05046-0020,,,1952,4-05050-0004,"1,063,020","166,508",15.64,,180,D1-ELEVATOR,FLUSHING-NORTH
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""94 34 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11.25,35.74,JACKSON HEIGHTS,10.4,0.36,0.06,, ,,,,1959,4-01455-0060, , , ,,81,D1-ELEVATOR, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""10 162 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",16.57,37.57,WHITESTONE,15.92,1.21,1.33,,D1-ELEVATOR,4-05958-0030,,,1958,4-04157-0002,"1,028,325","146,525",16.57,,32,D3-ELEVATOR,BAYSIDE
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""77 AUSTIN STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",16.9,53.65,FOREST HILLS,13.67,0.11,0.0,,D1-ELEVATOR,4-03334-0292,,,1929,4-03334-0299,"335,400","51,545",16.9,,72,D1-ELEVATOR,FOREST HILLS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""69 215 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",16.24,45.81,BAYSIDE,16.02,1.48,1.49,, ,,,,1950,4-06280-0001, , , ,,48,C9-WALK-UP, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""98 64 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",13.66,45.61,REGO PARK,13.38,0.14,0.14,,D7-ELEVATOR,4-02090-0047,,,1949,4-02090-0026,"662,812","98,000",13.66,,146,D1-ELEVATOR,REGO PARK
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""64 SAUNDERS STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.89,55.79,REGO PARK,16.71,0.05,0.0,,D1-ELEVATOR,4-03085-0002,,,1950,4-03085-0055,"356,279","67,188",13.52,,42,D1-ELEVATOR,REGO PARK
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""33 PARSONS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",13.32,41.61,FLUSHING-NORTH,11.7,0.23,0.14,,D1-ELEVATOR,4-05003-0023,,,1937,4-04957-0044,"416,886","59,100",13.32,,53,D1-ELEVATOR,FLUSHING-NORTH
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""47 215 PLACE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",20.0,76.64,OAKLAND GARDENS,20.31,1.13,1.0,,C9-WALK-UP,4-07943-0050,,,1950,4-07660-0002,"222,104","24,480",20.77,,39,C9-WALK-UP,QUEENS VILLAGE
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""88 ELMHURST AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11.4,35.83,ELMHURST,12.53,0.12,0.05,, ,,,,1941,4-01554-0023, , , ,,90,D1-ELEVATOR, 
